capability_id,capability_class,capability_value,ownership_scope,owner_rule,artifact_evidence_rule,carrier_multiplicity_rule,closure_role
atomic::signal::momentum_20::v1,atomic_signal,momentum_20,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact value,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
atomic::signal::momentum_60::v1,atomic_signal,momentum_60,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact value,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
atomic::signal::mean_reversion_5::v1,atomic_signal,mean_reversion_5,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact value,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
atomic::filter::always::v1,atomic_filter,always,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact value,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
atomic::filter::trend_100::v1,atomic_filter,trend_100,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact value,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
atomic::horizon::5::v1,atomic_horizon,5,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact value,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
atomic::horizon::20::v1,atomic_horizon,20,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact value,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
atomic::sizing::unit::v1,atomic_sizing,unit,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact value,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
atomic::sizing::half::v1,atomic_sizing,half,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact value,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
atomic::exit::horizon::v1,atomic_exit,horizon,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact value,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
atomic::exit::signal_flip::v1,atomic_exit,signal_flip,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact value,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
atomic::risk::notional_cap_1::v1,atomic_risk,notional_cap_1,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact value,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
atomic::risk::vol_target_10::v1,atomic_risk,vol_target_10,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact value,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
interface::signal_filter::momentum_20+always::v1,interface_signal_filter,momentum_20+always,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact registered interface,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
interface::signal_filter::momentum_20+trend_100::v1,interface_signal_filter,momentum_20+trend_100,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact registered interface,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
interface::signal_filter::momentum_60+always::v1,interface_signal_filter,momentum_60+always,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact registered interface,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
interface::signal_filter::momentum_60+trend_100::v1,interface_signal_filter,momentum_60+trend_100,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact registered interface,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
interface::signal_filter::mean_reversion_5+always::v1,interface_signal_filter,mean_reversion_5+always,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact registered interface,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
interface::signal_filter::mean_reversion_5+trend_100::v1,interface_signal_filter,mean_reversion_5+trend_100,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact registered interface,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
interface::horizon_exit::5+horizon::v1,interface_horizon_exit,5+horizon,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact registered interface,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
interface::horizon_exit::5+signal_flip::v1,interface_horizon_exit,5+signal_flip,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact registered interface,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
interface::horizon_exit::20+horizon::v1,interface_horizon_exit,20+horizon,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact registered interface,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
interface::horizon_exit::20+signal_flip::v1,interface_horizon_exit,20+signal_flip,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact registered interface,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
interface::sizing_risk::unit+notional_cap_1::v1,interface_sizing_risk,unit+notional_cap_1,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact registered interface,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
interface::sizing_risk::unit+vol_target_10::v1,interface_sizing_risk,unit+vol_target_10,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact registered interface,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
interface::sizing_risk::half+notional_cap_1::v1,interface_sizing_risk,half+notional_cap_1,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact registered interface,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
interface::sizing_risk::half+vol_target_10::v1,interface_sizing_risk,half+vol_target_10,active_maintenance_responsibility,every source strategy whose canonical specification contains this exact registered interface,canonical_strategy_spec_sha256,all matching source strategies,primary_identity_union
