origin_id,docket_id,seed_role,menu_seed,multistart_seed,origin_bootstrap_seed
FSLP2-O2005,focused_docket,final,2688438139911079790,6234630918147743557,4326121895055047903
FSLP2-O2005,broad_docket,final,5080108779481203115,2319333142551709900,1216506553830686487
FSLP2-O2006,focused_docket,final,5566024752443333809,86592304108130820,5312609364555408030
FSLP2-O2006,broad_docket,final,1496103141198831556,2292559864068902612,5471641314201096724
FSLP2-O2007,focused_docket,final,240978399147882456,718265278661414203,8761713314972821658
FSLP2-O2007,broad_docket,final,3299226164537284657,5572351418059399852,341397894995117675
FSLP2-O2008,focused_docket,final,3243879917547569635,6297823785768011604,2886519743365944203
FSLP2-O2008,broad_docket,final,5236626489942503700,6536322999899389859,4782125739380609765
FSLP2-O2009,focused_docket,final,5241868650427442182,1669073412391821572,7159262729399555027
FSLP2-O2009,broad_docket,final,4786706283279375579,4934750981821718578,4402047890623180422
FSLP2-O2010,focused_docket,final,1901644484056724655,417784680645147739,3514877723822867896
FSLP2-O2010,broad_docket,final,8006759117620331296,7867722060070010776,7264947830712957820
FSLP2-O2011,focused_docket,final,4242191919570764666,8349167747550719240,8543353508648078032
FSLP2-O2011,broad_docket,final,2061539965103902002,8591836342035210419,6844290469195915173
FSLP2-O2012,focused_docket,final,1257069095535966940,7349665595067476266,816067624249988515
FSLP2-O2012,broad_docket,final,5078642248061451671,835214672811600126,856461245798056085
FSLP2-O2013,focused_docket,final,5556139668797141497,2941381005203907613,251105652400019165
FSLP2-O2013,broad_docket,final,1863288018690645237,6163148961778589722,946020619113551434
FSLP2-O2014,focused_docket,final,3707712357071014367,8929956819455861798,6869977060762088014
FSLP2-O2014,broad_docket,final,77661544824038928,6638155877876418805,826052767666535213
FSLP2-O2015,focused_docket,final,5091777178571643473,2769085748645336643,3377105075873564696
FSLP2-O2015,broad_docket,final,944730692202280126,3471095259988994766,1244079247778054938
FSLP2-O2016,focused_docket,final,8405534063573301989,2907196172260754583,445829479176046460
FSLP2-O2016,broad_docket,final,6847938696216080364,3556080839484484156,7052810262866873562
FSLP2-O2017,focused_docket,final,4458168583385552306,1754539142492544638,5183657828865918296
FSLP2-O2017,broad_docket,final,3158466328614736257,7079870005407676626,3619991458338633821
FSLP2-O2018,focused_docket,final,7190816966075972622,7958621917349986462,2813155532548227665
FSLP2-O2018,broad_docket,final,6325519973535111445,3390542729250260779,5980962536321319795
FSLP2-O2019,focused_docket,final,4847921284855043280,284563734159584407,5536033350217860983
FSLP2-O2019,broad_docket,final,1620782083796823682,6602375621251616370,1532783686162357831
FSLP2-O2020,focused_docket,final,2365764062376808297,5226937170724623856,2779601496192117134
FSLP2-O2020,broad_docket,final,7653419497102003253,7843922603125799887,6424019406341614274
FSLP2-O2021,focused_docket,final,6776237163762544076,6149926200019124890,1267663698897832763
FSLP2-O2021,broad_docket,final,7400546201104877415,7470608270774612843,7688307371471792328
FSLP2-O2022,focused_docket,final,8675585457338836875,7463796871084195011,1974824202530504877
FSLP2-O2022,broad_docket,final,5047984706030711542,146266879710464742,3573675946145234006
FSLP2-O2023,focused_docket,final,353207143970853416,5109072893462256633,819476118082832883
FSLP2-O2023,broad_docket,final,2968629127308499368,715607893775056536,207335676543362224
FSLP2-O2024,focused_docket,final,3371219867310968315,2474912253908942506,1329235618170799151
FSLP2-O2024,broad_docket,final,5970380023837192428,111917401491769838,7138568556722317084
