origin_id,docket_id,seed_role,menu_seed,multistart_seed,origin_bootstrap_seed
FSLP2-O2005,focused_docket,final,7653182194643904988,7291381905050712425,8876587016099203873
FSLP2-O2005,broad_docket,final,7192996061280654248,4261201856023512848,5441973357543303794
FSLP2-O2006,focused_docket,final,8936309906279881236,2411146473511268110,2122162598469847284
FSLP2-O2006,broad_docket,final,2319787427086799059,6421441306155736748,284342659077565767
FSLP2-O2007,focused_docket,final,4111127218029783834,8001297228995145570,6244287801316660363
FSLP2-O2007,broad_docket,final,1074610143013016100,4238999109301060408,3636258784651876435
FSLP2-O2008,focused_docket,final,2580797648308429930,8732368881636490558,7313410694081631220
FSLP2-O2008,broad_docket,final,2687990399479180452,3244011979438433628,111618861120511953
FSLP2-O2009,focused_docket,final,62256246079837982,7133249623496130843,7575219978830779745
FSLP2-O2009,broad_docket,final,6519550470812197723,5713183832532605488,2394670388099105388
FSLP2-O2010,focused_docket,final,3788343280140608156,209412872082234991,8633025070131378814
FSLP2-O2010,broad_docket,final,6320018758451784998,4151965500231948227,4413524397442110274
FSLP2-O2011,focused_docket,final,3554557540008386951,254752449624747162,5017199582223127579
FSLP2-O2011,broad_docket,final,7488627273055137151,2245891414820404142,569964984418047170
FSLP2-O2012,focused_docket,final,8583745101869195543,4170834088119163572,1431640867883002955
FSLP2-O2012,broad_docket,final,8361316887733952726,7714801312529604288,4536572535117627203
FSLP2-O2013,focused_docket,final,6486016408411119316,1567948382235555415,4640834893541565103
FSLP2-O2013,broad_docket,final,7531622792383074681,6745131143421423425,5464519198308631714
FSLP2-O2014,focused_docket,final,105489846244122151,8303043524084954003,3845966698600107517
FSLP2-O2014,broad_docket,final,3154250545677804382,4692224410658530468,6146901144550092009
FSLP2-O2015,focused_docket,final,4496980314484291748,5432524127020710818,8100999644726928334
FSLP2-O2015,broad_docket,final,399600519508129627,5534135842984143816,1734505590043855419
FSLP2-O2016,focused_docket,final,3767694233449385222,8773463600608032255,2958884706632713178
FSLP2-O2016,broad_docket,final,7053736969035005748,76224125537898561,2198760113550618948
FSLP2-O2017,focused_docket,final,6869306432359389412,2129056415443341547,1558151055107095229
FSLP2-O2017,broad_docket,final,7889124490453473799,5169516866901310038,6796783030054395221
FSLP2-O2018,focused_docket,final,8610369898542984618,429552480190811666,7779276466411332198
FSLP2-O2018,broad_docket,final,531339655541698145,2116486934149056759,6775085743871668139
FSLP2-O2019,focused_docket,final,8841406586708154327,3428760399004095575,6048284034565751813
FSLP2-O2019,broad_docket,final,8527103128137002184,2147458832195674121,1547230297426889554
FSLP2-O2020,focused_docket,final,6919179313385239818,7836476218497926059,421760876336235517
FSLP2-O2020,broad_docket,final,3951805692106574213,3829065765984192298,8250255598082238137
FSLP2-O2021,focused_docket,final,185506016437444718,8004321291762532042,7037370627959719965
FSLP2-O2021,broad_docket,final,11975359131693447,3329828930898360604,4961308806720209773
FSLP2-O2022,focused_docket,final,6452357345875999177,7849366189953441961,173876867018050500
FSLP2-O2022,broad_docket,final,4984963327615465539,3989006265124611520,3788860468979712180
FSLP2-O2023,focused_docket,final,7106006980466549766,1198990067384372024,6049210018122881023
FSLP2-O2023,broad_docket,final,8123228839212399485,88694884302125629,2011263306593595628
FSLP2-O2024,focused_docket,final,2425982319435505296,338216074396878909,1020738431402061203
FSLP2-O2024,broad_docket,final,4871842524691383902,6773520758951483844,6734336448416299799
