origin_id,decision_year,complete_pairs,changed_pairs,active_changed_pairs,same_security_active_changed_pairs,comparator_cash_pairs,original_contrast,cash_floor_contrast,nested_no_harm_zero_contrast
FSLP2-O2005,2005,64,43,37,0,6,-0.0016199397504624942,0.0007778467474841332,0.0007778467474841332
FSLP2-O2006,2006,64,47,25,0,22,0.0003956045676627735,0.0043896932481824955,0.0043896932481824955
FSLP2-O2007,2007,64,47,39,0,8,0.21351672962678148,0.02313238491762229,0.02313238491762229
FSLP2-O2008,2008,64,30,30,1,0,0.014599522686699215,0.026543859866111342,0.026543859866111342
FSLP2-O2009,2009,64,51,45,0,6,-0.00047536142806228407,0.0022848213837507385,0.0022848213837507385
FSLP2-O2010,2010,64,44,34,1,10,-0.01718632088847778,-0.014901413821577381,-0.014901413821577381
FSLP2-O2011,2011,64,46,37,0,9,0.013935012754458825,0.014159712273100623,0.014159712273100623
FSLP2-O2012,2012,64,53,28,2,25,0.03810591855718264,0.04818619303860233,0.04818619303860233
FSLP2-O2013,2013,64,39,35,0,4,-0.007323002093585747,-0.007323002093585747,-0.007323002093585747
FSLP2-O2014,2014,64,37,34,0,3,9.18037759449152e-5,-0.0024599747866705293,-0.0024599747866705293
FSLP2-O2015,2015,64,55,44,1,11,-0.016349987605011874,-0.011238710905153415,-0.011238710905153415
FSLP2-O2016,2016,64,45,41,0,4,0.003914601273377031,0.029755462619015897,0.029755462619015897
FSLP2-O2017,2017,64,34,30,0,4,0.020141564778801947,0.012401469401442012,0.012401469401442012
FSLP2-O2018,2018,64,33,33,1,0,-0.022637365283505267,-0.020123713468916636,-0.020123713468916636
FSLP2-O2019,2019,61,47,27,0,20,0.061329603298062876,0.03700037786083752,0.03700037786083752
FSLP2-O2020,2020,64,46,38,0,8,0.006288460728385289,0.009025917485268292,0.009025917485268292
FSLP2-O2021,2021,64,41,27,0,14,-0.016144536410078826,-0.02457194605324673,-0.02457194605324673
FSLP2-O2022,2022,64,35,35,2,0,-0.012835834390514583,-0.00044890312814835874,-0.00044890312814835874
FSLP2-O2023,2023,64,40,34,0,6,-0.005942816175230957,-0.013882445984217206,-0.013882445984217206
FSLP2-O2024,2024,64,45,36,0,9,0.0029952051956778844,0.006479441769167399,0.006479441769167399
