origin_id,universe_id,instrument_class,status,decision_year,decision_date,active_interval_count,complete_predecision_count,liquidity_eligible_count,selected_count,required_minimum,liquidity_cap,expected_predecision_sessions,selected_future_delisting_flag_rows,selected_future_resolved_delisting_flag_rows
FSLP3-O2005,liquid_common_equity,common_equity,PASSED,2005,2005-12-30,4757,3286,1075,100,80,100,1508,4,4
FSLP3-O2005,liquid_plain_etf,plain_etf,FAILED_MINIMUM_ELIGIBLE,2005,2005-12-30,221,31,16,16,20,50,1508,0,0
FSLP3-O2006,liquid_common_equity,common_equity,PASSED,2006,2006-12-29,4706,3284,1216,100,80,100,1507,4,4
FSLP3-O2006,liquid_plain_etf,plain_etf,PASSED,2006,2006-12-29,376,84,47,47,20,50,1507,0,0
FSLP3-O2007,liquid_common_equity,common_equity,PASSED,2007,2007-12-31,4610,3064,1262,100,80,100,1510,7,7
FSLP3-O2007,liquid_plain_etf,plain_etf,PASSED,2007,2007-12-31,646,106,68,50,20,50,1510,0,0
FSLP3-O2008,liquid_common_equity,common_equity,PASSED,2008,2008-12-31,4340,2895,1163,100,80,100,1511,5,5
FSLP3-O2008,liquid_plain_etf,plain_etf,PASSED,2008,2008-12-31,761,117,78,50,20,50,1511,0,0
FSLP3-O2009,liquid_common_equity,common_equity,PASSED,2009,2009-12-31,4081,2831,1204,100,80,100,1511,2,2
FSLP3-O2009,liquid_plain_etf,plain_etf,PASSED,2009,2009-12-31,837,132,86,50,20,50,1511,5,5
FSLP3-O2010,liquid_common_equity,common_equity,PASSED,2010,2010-12-31,3944,2809,1163,100,80,100,1511,0,0
FSLP3-O2010,liquid_plain_etf,plain_etf,PASSED,2010,2010-12-31,968,167,99,50,20,50,1511,4,4
FSLP3-O2011,liquid_common_equity,common_equity,PASSED,2011,2011-12-30,3783,2777,1128,100,80,100,1511,1,1
FSLP3-O2011,liquid_plain_etf,plain_etf,PASSED,2011,2011-12-30,1166,199,102,50,20,50,1511,0,0
FSLP3-O2012,liquid_common_equity,common_equity,PASSED,2012,2012-12-31,3656,2730,1149,100,80,100,1510,1,1
FSLP3-O2012,liquid_plain_etf,plain_etf,PASSED,2012,2012-12-31,1239,316,122,50,20,50,1510,0,0
FSLP3-O2013,liquid_common_equity,common_equity,PASSED,2013,2013-12-31,3655,2743,1193,100,80,100,1511,1,1
FSLP3-O2013,liquid_plain_etf,plain_etf,PASSED,2013,2013-12-31,1332,459,167,50,20,50,1511,0,0
FSLP3-O2014,liquid_common_equity,common_equity,PASSED,2014,2014-12-31,3781,2705,1208,100,80,100,1510,4,4
FSLP3-O2014,liquid_plain_etf,plain_etf,PASSED,2014,2014-12-31,1451,521,189,50,20,50,1510,0,0
FSLP3-O2015,liquid_common_equity,common_equity,PASSED,2015,2015-12-31,3752,2597,1220,100,80,100,1510,6,6
FSLP3-O2015,liquid_plain_etf,plain_etf,PASSED,2015,2015-12-31,1644,587,216,50,20,50,1510,0,0
FSLP3-O2016,liquid_common_equity,common_equity,PASSED,2016,2016-12-30,3612,2502,1223,100,80,100,1510,6,6
FSLP3-O2016,liquid_plain_etf,plain_etf,PASSED,2016,2016-12-30,1774,663,233,50,20,50,1510,0,0
FSLP3-O2017,liquid_common_equity,common_equity,PASSED,2017,2017-12-29,3576,2415,1211,100,80,100,1509,7,7
FSLP3-O2017,liquid_plain_etf,plain_etf,PASSED,2017,2017-12-29,1900,738,269,50,20,50,1509,0,0
FSLP3-O2018,liquid_common_equity,common_equity,PASSED,2018,2018-12-31,3600,2387,1209,100,80,100,1510,2,2
FSLP3-O2018,liquid_plain_etf,plain_etf,PASSED,2018,2018-12-31,2058,777,285,50,20,50,1510,0,0
FSLP3-O2019,liquid_common_equity,common_equity,PASSED,2019,2019-12-31,3585,2388,1255,100,80,100,1510,0,0
FSLP3-O2019,liquid_plain_etf,plain_etf,PASSED,2019,2019-12-31,2177,841,321,50,20,50,1510,0,0
FSLP3-O2020,liquid_common_equity,common_equity,PASSED,2020,2020-12-31,3732,2475,1335,100,80,100,1511,1,1
FSLP3-O2020,liquid_plain_etf,plain_etf,PASSED,2020,2020-12-31,2296,916,378,50,20,50,1511,0,0
FSLP3-O2021,liquid_common_equity,common_equity,PASSED,2021,2021-12-31,4365,2498,1371,100,80,100,1511,2,2
FSLP3-O2021,liquid_plain_etf,plain_etf,PASSED,2021,2021-12-31,2692,1016,415,50,20,50,1511,0,0
FSLP3-O2022,liquid_common_equity,common_equity,PASSED,2022,2022-12-30,4291,2501,1370,100,80,100,1510,1,1
FSLP3-O2022,liquid_plain_etf,plain_etf,PASSED,2022,2022-12-30,2987,1115,457,50,20,50,1510,0,0
FSLP3-O2023,liquid_common_equity,common_equity,PASSED,2023,2023-12-29,4020,2510,1390,100,80,100,1509,1,1
FSLP3-O2023,liquid_plain_etf,plain_etf,PASSED,2023,2023-12-29,3300,1213,469,50,20,50,1509,0,0
