benchmark,method,beam_width,source_size,retained_size,cardinality_gap,removed_count,compression_ratio,operational_loss,operating_value_loss,generative_loss,value_loss,retained_ids,evaluated_count,total_subsets,evaluation_effort_ratio,feasible,complete_search,optimality_certified,theorem_evidence
base,exact_enumeration,,6,3,0,3,1//2,0//1,0//1,0//1,0//1,inactive;strategy_2;strategy_3,32,32,1//1,true,true,true,false
base,greedy_balanced,,6,3,0,3,1//2,0//1,0//1,0//1,0//1,inactive;strategy_3;strategy_4,15,32,15//32,true,false,false,false
base,greedy_operational,,6,3,0,3,1//2,0//1,0//1,0//1,0//1,inactive;strategy_3;strategy_4,15,32,15//32,true,false,false,false
base,greedy_generative,,6,3,0,3,1//2,1//1,1765//1024,-549//4096,6511//4096,inactive;strategy_2;strategy_5,15,32,15//32,true,false,false,false
base,greedy_value,,6,3,0,3,1//2,0//1,0//1,0//1,0//1,inactive;strategy_3;strategy_4,15,32,15//32,true,false,false,false
base,greedy_multistart,,6,3,0,3,1//2,0//1,0//1,0//1,0//1,inactive;strategy_3;strategy_4,60,32,15//8,true,false,false,false
base,pareto_beam,2,6,3,0,3,1//2,0//1,0//1,0//1,0//1,inactive;strategy_2;strategy_3,22,32,11//16,true,false,false,false
base,pareto_beam,4,6,3,0,3,1//2,0//1,0//1,0//1,0//1,inactive;strategy_2;strategy_3,30,32,15//16,true,false,false,false
base,pareto_beam,8,6,3,0,3,1//2,0//1,0//1,0//1,0//1,inactive;strategy_2;strategy_3,32,32,1//1,true,true,true,false
base,pareto_beam,16,6,3,0,3,1//2,0//1,0//1,0//1,0//1,inactive;strategy_2;strategy_3,32,32,1//1,true,true,true,false
expanded,exact_enumeration,,8,2,0,6,3//4,1//2,2025//8192,0//1,2025//8192,inactive;candidate_1,128,128,1//1,true,true,true,false
expanded,greedy_balanced,,8,2,0,6,3//4,1//2,2025//8192,0//1,2025//8192,inactive;candidate_1,29,128,29//128,true,false,false,false
expanded,greedy_operational,,8,2,0,6,3//4,1//2,2025//8192,0//1,2025//8192,inactive;candidate_1,29,128,29//128,true,false,false,false
expanded,greedy_generative,,8,2,0,6,3//4,1//1,11857//8192,0//1,11857//8192,inactive;candidate_2,29,128,29//128,true,false,false,false
expanded,greedy_value,,8,2,0,6,3//4,1//2,2025//8192,0//1,2025//8192,inactive;candidate_1,29,128,29//128,true,false,false,false
expanded,greedy_multistart,,8,2,0,6,3//4,1//2,2025//8192,0//1,2025//8192,inactive;candidate_1,116,128,29//32,true,false,false,false
expanded,pareto_beam,2,8,2,0,6,3//4,1//2,2025//8192,0//1,2025//8192,inactive;candidate_1,44,128,11//32,true,false,false,false
expanded,pareto_beam,4,8,2,0,6,3//4,1//2,2025//8192,0//1,2025//8192,inactive;candidate_1,70,128,35//64,true,false,false,false
expanded,pareto_beam,8,8,2,0,6,3//4,1//2,2025//8192,0//1,2025//8192,inactive;candidate_1,98,128,49//64,true,false,false,false
expanded,pareto_beam,16,8,2,0,6,3//4,1//2,2025//8192,0//1,2025//8192,inactive;candidate_1,121,128,121//128,true,false,false,false
