benchmark,source_size,retained_size,removed_count,compression_ratio,retained_ids,epsilon_operational,epsilon_generative,operational_loss,operating_value_loss,generative_loss,value_loss,operational_loss_decimal,operating_value_loss_decimal,generative_loss_decimal,value_loss_decimal,feasible,pareto,decomposition_gate,theorem_evidence
base,6,1,5,5//6,inactive,1//1,1//4,4//1,175//16,10071//32768,368471//32768,4.0000000000,10.9375000000,0.3073425293,11.2448425293,false,true,true,false
base,6,2,4,2//3,inactive;strategy_3,1//1,1//4,0//1,0//1,10071//32768,10071//32768,0.0000000000,0.0000000000,0.3073425293,0.3073425293,false,true,true,false
base,6,2,4,2//3,inactive;strategy_2,1//1,1//4,1//1,1765//1024,10071//32768,66551//32768,1.0000000000,1.7236328125,0.3073425293,2.0309753418,false,false,true,false
base,6,2,4,2//3,inactive;strategy_1,1//1,1//4,2//1,5035//2048,10071//32768,90631//32768,2.0000000000,2.4584960938,0.3073425293,2.7658386230,false,false,true,false
base,6,2,4,2//3,inactive;strategy_4,1//1,1//4,2//1,14939//4096,10071//32768,129583//32768,2.0000000000,3.6472167969,0.3073425293,3.9545593262,false,false,true,false
base,6,2,4,2//3,inactive;strategy_5,1//1,1//4,3//1,4647//1024,10071//32768,158775//32768,3.0000000000,4.5380859375,0.3073425293,4.8454284668,false,false,true,false
base,6,3,3,1//2,inactive;strategy_2;strategy_3,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,true,true,false
base,6,3,3,1//2,inactive;strategy_3;strategy_4,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,true,true,false
base,6,3,3,1//2,inactive;strategy_1;strategy_3,1//1,1//4,0//1,0//1,45//4096,45//4096,0.0000000000,0.0000000000,0.0109863281,0.0109863281,true,false,true,false
base,6,3,3,1//2,inactive;strategy_3;strategy_5,1//1,1//4,0//1,0//1,10071//32768,10071//32768,0.0000000000,0.0000000000,0.3073425293,0.3073425293,false,false,true,false
base,6,3,3,1//2,inactive;strategy_1;strategy_2,1//1,1//4,1//1,5035//4096,10071//32768,50351//32768,1.0000000000,1.2292480469,0.3073425293,1.5365905762,false,false,true,false
base,6,3,3,1//2,inactive;strategy_2;strategy_4,1//1,1//4,1//1,5035//4096,10071//32768,50351//32768,1.0000000000,1.2292480469,0.3073425293,1.5365905762,false,false,true,false
base,6,3,3,1//2,inactive;strategy_2;strategy_5,1//1,1//4,1//1,1765//1024,-549//4096,6511//4096,1.0000000000,1.7236328125,-0.1340332031,1.5895996094,true,true,true,false
base,6,3,3,1//2,inactive;strategy_1;strategy_5,1//1,1//4,2//1,5035//2048,-81//8192,20059//8192,2.0000000000,2.4584960938,-0.0098876953,2.4486083984,false,false,true,false
base,6,3,3,1//2,inactive;strategy_4;strategy_5,1//1,1//4,2//1,1441//512,-225//2048,5539//2048,2.0000000000,2.8144531250,-0.1098632812,2.7045898438,false,false,true,false
base,6,3,3,1//2,inactive;strategy_1;strategy_4,1//1,1//4,2//1,5035//2048,10071//32768,90631//32768,2.0000000000,2.4584960938,0.3073425293,2.7658386230,false,false,true,false
base,6,4,2,1//3,inactive;strategy_1;strategy_2;strategy_3,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
base,6,4,2,1//3,inactive;strategy_1;strategy_3;strategy_4,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
base,6,4,2,1//3,inactive;strategy_2;strategy_3;strategy_4,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
base,6,4,2,1//3,inactive;strategy_2;strategy_3;strategy_5,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
base,6,4,2,1//3,inactive;strategy_3;strategy_4;strategy_5,1//1,1//4,0//1,0//1,0//1,0//1,0.0000000000,0.0000000000,0.0000000000,0.0000000000,true,false,true,false
base,6,4,2,1//3,inactive;strategy_1;strategy_3;strategy_5,1//1,1//4,0//1,0//1,45//4096,45//4096,0.0000000000,0.0000000000,0.0109863281,0.0109863281,true,false,true,false
base,6,4,2,1//3,inactive;strategy_1;strategy_2;strategy_5,1//1,1//4,1//1,5035//4096,-171//16384,19969//16384,1.0000000000,1.2292480469,-0.0104370117,1.2188110352,true,false,true,false
base,6,4,2,1//3,inactive;strategy_2;strategy_4;strategy_5,1//1,1//4,1//1,5035//4096,-171//16384,19969//16384,1.0000000000,1.2292480469,-0.0104370117,1.2188110352,true,false,true,false
base,6,4,2,1//3,inactive;strategy_1;strategy_2;strategy_4,1//1,1//4,1//1,5035//4096,10071//32768,50351//32768,1.0000000000,1.2292480469,0.3073425293,1.5365905762,false,false,true,false
