solver,belief,compressed_state,action,value
exact_policy_iteration,low,baseline,research:discover,1371264//210925
exact_policy_iteration,high,baseline,continue,1529332//210925
exact_policy_iteration,low,capable,research:discover,84716//8437
exact_policy_iteration,high,capable,research:discover,88668//8437
exact_policy_iteration,low,frontier,continue,156//11
exact_policy_iteration,high,frontier,continue,188//11
float64_value_iteration,low,baseline,research:discover,6.501192366677367
float64_value_iteration,high,baseline,continue,7.250596183199827
float64_value_iteration,low,capable,research:discover,10.041009837342294
float64_value_iteration,high,capable,research:discover,10.509422780331509
float64_value_iteration,low,frontier,continue,14.18181818154047
float64_value_iteration,high,frontier,continue,17.090909090631378
