initial_index,initial_coordinate,future_index,future_coordinate,discounted_weight,normalized_share
31,0.25,1,0.0,0.0010961539590376183,0.0002477307947425018
31,0.25,2,0.008333333333333333,0.001357801127816214,0.00030686305488646445
31,0.25,3,0.016666666666666666,0.0016730789842824352,0.0003781158504478305
31,0.25,4,0.025,0.0020513882556890115,0.00046361374578571675
31,0.25,5,0.03333333333333333,0.0025035520903857,0.0005658027724271684
31,0.25,6,0.041666666666666664,0.0030419790438191534,0.0006874872639031288
31,0.25,7,0.05,0.0036808139549815064,0.0008318639538258207
31,0.25,8,0.058333333333333334,0.0044360586931501194,0.0010025492646519273
31,0.25,9,0.06666666666666667,0.00532563922338099,0.001203594464484104
31,0.25,10,0.075,0.006369390128182095,0.001439482168969154
31,0.25,11,0.08333333333333333,0.007588923395337228,0.001715096687346214
31,0.25,12,0.09166666666666666,0.009007345879483741,0.002035660168763326
31,0.25,13,0.1,0.010648790416817978,0.0024066266342008635
31,0.25,14,0.10833333333333334,0.012537730157843615,0.002833527015672658
31,0.25,15,0.11666666666666667,0.014698055152330402,0.0033217604644266716
31,0.25,16,0.125,0.017151905082837145,0.003876330548721196
31,0.25,17,0.13333333333333333,0.0199182722482413,0.004501529528102535
31,0.25,18,0.14166666666666666,0.023011413664261474,0.005200579488123094
31,0.25,19,0.15,0.026439138850337093,0.0059752453801761845
31,0.25,20,0.15833333333333333,0.03020106804133418,0.006825441377341527
31,0.25,21,0.16666666666666666,0.034286981011050495,0.007748857708497414
31,0.25,22,0.175,0.038675395796182004,0.008740639449937136
31,0.25,23,0.18333333333333332,0.04333252571697369,0.009793150812036057
31,0.25,24,0.19166666666666668,0.04821175905501101,0.010895857546432491
31,0.25,25,0.2,0.053253786473291397,0.012035355742963858
31,0.25,26,0.20833333333333334,0.05838746620934199,0.013195567363311293
31,0.25,27,0.21666666666666667,0.06353146761340778,0.014358111680630161
31,0.25,28,0.225,0.06859667315415804,0.015502848132839721
31,0.25,29,0.23333333333333334,0.07348925285854972,0.01660857114603224
31,0.25,30,0.24166666666666667,0.07811425996924455,0.017653822753049272
31,0.25,31,0.25,1.0823795397153524,0.2446177759756697
31,0.25,32,0.25833333333333336,0.0861997015336719,0.019481132546609856
31,0.25,33,0.26666666666666666,0.08949988460579933,0.020226973920910652
