belief_index,coordinate,gap,potential,cost,net_value,research_region,component
1,0.0,0.0,0.1633388529328044,0.72,-0.5566611470671956,false,0
2,0.008333333333333333,0.0,0.16600420391057422,0.72,-0.5539957960894257,false,0
3,0.016666666666666666,0.0,0.16887913262884194,0.72,-0.5511208673711581,false,0
4,0.025,0.0,0.17197657732682986,0.72,-0.5480234226731702,false,0
5,0.03333333333333333,0.0,0.17530955594124537,0.72,-0.5446904440587546,false,0
6,0.041666666666666664,0.0,0.17889109396457675,0.72,-0.5411089060354233,false,0
7,0.05,0.0,0.1827341660805206,0.72,-0.5372658339194794,false,0
8,0.058333333333333334,0.0,0.1868516581995236,0.72,-0.5331483418004763,false,0
9,0.06666666666666667,0.0,0.1912563561992052,0.72,-0.5287436438007947,false,0
10,0.075,0.0,0.1959609667631203,0.72,-0.5240390332368796,false,0
11,0.08333333333333333,0.0,0.20097817420576805,0.72,-0.519021825794232,false,0
12,0.09166666666666666,0.0,0.20632073514234112,0.72,-0.5136792648576589,false,0
13,0.1,0.0,0.21200161044794888,0.72,-0.5079983895520511,false,0
14,0.10833333333333334,0.0,0.21803413134683036,0.72,-0.5019658686531696,false,0
15,0.11666666666666667,0.0,0.22443219389973393,0.72,-0.4955678061002661,false,0
16,0.125,0.0,0.23121047383655402,0.72,-0.48878952616344595,false,0
17,0.13333333333333333,0.0,0.2383846517966658,0.72,-0.4816153482033342,false,0
18,0.14166666666666666,0.0,0.24597163771908193,0.72,-0.47402836228091805,false,0
19,0.15,0.0,0.2539897824276248,0.72,-0.46601021757237515,false,0
20,0.15833333333333333,0.0,0.2624590643759734,0.72,-0.4575409356240266,false,0
21,0.16666666666666666,0.0,0.2714012399954794,0.72,-0.4485987600045206,false,0
22,0.175,0.0,0.28083994703731036,0.72,-0.4391600529626896,false,0
23,0.18333333333333332,0.0,0.29080075162528696,0.72,-0.429199248374713,false,0
24,0.19166666666666668,0.0,0.3013111313539477,0.72,-0.41868886864605226,false,0
25,0.2,0.0,0.31240038861691094,0.72,-0.40759961138308903,false,0
26,0.20833333333333334,0.0,0.32409949039507513,0.72,-0.39590050960492484,false,0
27,0.21666666666666667,0.0,0.33644083294922544,0.72,-0.38355916705077453,false,0
