strategy_id,ticker,directional_signal,entry_filter,holding_horizon,sizing_rule,exit_rule,risk_constraint,in_initial_library,in_safe_library,in_frontier_only_library,enabled_initial,enabled_safe,enabled_frontier_only,development_gross_utility,development_net_utility,validation_gross_utility,validation_net_utility,locked_gross_utility,locked_net_utility,mean_validation_turnover,coverage_selection_count,current_selection_count,average_selection_count,novelty_selection_count
AGG__mean_reversion_5__always__h20__half__horizon__notional_cap_1,AGG,mean_reversion_5,always,20,half,horizon,notional_cap_1,false,false,false,true,true,false,0.014128834455142198,0.008995290885354302,0.015065159474377686,0.009754549001964378,-0.005151432885686132,-0.01026510835820758,0.04213036565977742,3,0,0,0
AGG__mean_reversion_5__always__h20__half__horizon__vol_target_10,AGG,mean_reversion_5,always,20,half,horizon,vol_target_10,false,false,false,true,true,false,0.014128834455142198,0.008995290885354302,0.015065159474377686,0.009754549001964378,-0.006782686745080312,-0.011896901170606527,0.04213036565977742,1,0,0,0
AGG__mean_reversion_5__always__h20__half__signal_flip__notional_cap_1,AGG,mean_reversion_5,always,20,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.012254174836832485,-0.0015168336809284991,0.00863035140427284,-0.004493741393233147,-0.005258340588509869,-0.018533790709004575,0.1041335453100159,0,0,0,0
AGG__mean_reversion_5__always__h20__half__signal_flip__vol_target_10,AGG,mean_reversion_5,always,20,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.012254174836832485,-0.0015168336809284991,0.00863035140427284,-0.004493741393233147,-0.006595286016633146,-0.019841501771127635,0.1041335453100159,0,0,0,0
AGG__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,AGG,mean_reversion_5,always,20,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.027320386827191394,0.01704978870698021,0.0295050194555393,0.018879429712149978,-0.01325907017549539,-0.023497555849364964,0.08426073131955485,0,0,0,0
AGG__mean_reversion_5__always__h20__unit__horizon__vol_target_10,AGG,mean_reversion_5,always,20,unit,horizon,vol_target_10,false,false,false,true,true,false,0.027352465329556774,0.017075647526499572,0.0295050194555393,0.018879429712149978,-0.018075968229594765,-0.028346823313248486,0.08426073131955485,0,0,0,0
AGG__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,AGG,mean_reversion_5,always,20,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.024054513916866638,-0.0034930963131176935,0.016972149655246783,-0.009282568116653156,-0.012715759810319964,-0.03927542992663901,0.2082670906200318,0,0,0,0
AGG__mean_reversion_5__always__h20__unit__signal_flip__vol_target_10,AGG,mean_reversion_5,always,20,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.024042871708375393,-0.0035048003370417606,0.016972149655246783,-0.009282568116653156,-0.01638660806284252,-0.04281358136825791,0.2082670906200318,0,0,0,0
AGG__mean_reversion_5__always__h5__half__horizon__notional_cap_1,AGG,mean_reversion_5,always,5,half,horizon,notional_cap_1,false,false,false,true,true,false,0.009306004612796232,-0.003798925111530655,0.011742797946971651,-0.0015827318856546737,-0.005177822305540627,-0.019402990656100863,0.10572337042925278,0,0,0,0
AGG__mean_reversion_5__always__h5__half__horizon__vol_target_10,AGG,mean_reversion_5,always,5,half,horizon,vol_target_10,false,false,false,true,true,false,0.009306004612796232,-0.003798925111530655,0.011742797946971651,-0.0015827318856546737,-0.006768298143221847,-0.020961959934834268,0.10572337042925278,0,0,0,0
AGG__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,AGG,mean_reversion_5,always,5,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.011224837135536807,-0.004966827257454912,0.008354954516362248,-0.007975601476145846,-0.001762477331588024,-0.01899465313275934,0.12957074721780604,0,0,0,0
AGG__mean_reversion_5__always__h5__half__signal_flip__vol_target_10,AGG,mean_reversion_5,always,5,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.011224837135536807,-0.004966827257454912,0.008354954516362248,-0.007975601476145846,-0.003011889433369067,-0.02019660277927886,0.12957074721780604,0,0,0,0
AGG__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,AGG,mean_reversion_5,always,5,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.018023120437939938,-0.008195273956056352,0.02309108685942816,-0.0035687431229054316,-0.012633467282576652,-0.04108898965143126,0.21144674085850557,0,0,0,0
AGG__mean_reversion_5__always__h5__unit__horizon__vol_target_10,AGG,mean_reversion_5,always,5,unit,horizon,vol_target_10,false,false,false,true,true,false,0.018044983026684575,-0.008171415416384603,0.02309108685942816,-0.0035687431229054316,-0.015547386191106613,-0.04378971357769182,0.21144674085850557,0,0,0,0
AGG__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,AGG,mean_reversion_5,always,5,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.02204628629049188,-0.010344212341077644,0.016450081976418438,-0.016220313694726807,-0.005496243189627984,-0.039970256410211485,0.2591414944356121,0,0,0,0
AGG__mean_reversion_5__always__h5__unit__signal_flip__vol_target_10,AGG,mean_reversion_5,always,5,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.022051846267247766,-0.01033872626634077,0.016450081976418438,-0.016220313694726807,-0.0069531602583453615,-0.04117285865777282,0.2591414944356121,0,0,0,0
AGG__mean_reversion_5__trend_100__h20__half__horizon__notional_cap_1,AGG,mean_reversion_5,trend_100,20,half,horizon,notional_cap_1,false,false,false,true,true,false,0.016550158461191882,0.012043106903627337,0.014780654938788149,0.010973133324927834,0.006981895978674171,0.004223814387436613,0.030206677265500796,0,0,0,0
AGG__mean_reversion_5__trend_100__h20__half__horizon__vol_target_10,AGG,mean_reversion_5,trend_100,20,half,horizon,vol_target_10,false,false,false,true,true,false,0.016550158461191882,0.012043106903627337,0.014780654938788149,0.010973133324927834,0.005350414144002737,0.0025917468091128035,0.030206677265500796,0,0,0,0
AGG__mean_reversion_5__trend_100__h20__half__signal_flip__notional_cap_1,AGG,mean_reversion_5,trend_100,20,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.013326141511656802,0.001559827867642739,0.005444711987656204,-0.0037727292290551722,0.002756692892901776,-0.0042592072260638145,0.07313195548489666,0,0,0,0
AGG__mean_reversion_5__trend_100__h20__half__signal_flip__vol_target_10,AGG,mean_reversion_5,trend_100,20,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.013326141511656802,0.001559827867642739,0.005444711987656204,-0.0037727292290551722,0.0014196248342625793,-0.0055671380743694075,0.07313195548489666,0,0,0,0
AGG__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,AGG,mean_reversion_5,trend_100,20,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.03226891728847618,0.023252631588019324,0.029131614985677175,0.021513611201142112,0.012265323183376866,0.006741740856582433,0.06041335453100159,0,0,0,0
AGG__mean_reversion_5__trend_100__h20__unit__horizon__vol_target_10,AGG,mean_reversion_5,trend_100,20,unit,horizon,vol_target_10,false,false,false,true,true,false,0.03230099753832349,0.023279820446970544,0.029131614985677175,0.021513611201142112,0.007314888599363295,0.0017920560300447694,0.06041335453100159,0,0,0,0
AGG__mean_reversion_5__trend_100__h20__unit__signal_flip__notional_cap_1,AGG,mean_reversion_5,trend_100,20,unit,signal_flip,notional_cap_1,false,false,false,true,true,false,0.02630118061616398,0.002767051867922303,0.010711681018987014,-0.007728831065664532,0.004275855832337761,-0.009765487091855282,0.14626391096979333,0,0,0,0
AGG__mean_reversion_5__trend_100__h20__unit__signal_flip__vol_target_10,AGG,mean_reversion_5,trend_100,20,unit,signal_flip,vol_target_10,false,false,false,true,true,false,0.026289538113245834,0.002755346960918392,0.010711681018987014,-0.007728831065664532,0.000624035630773662,-0.013278748378375983,0.14626391096979333,0,0,0,0
AGG__mean_reversion_5__trend_100__h5__half__horizon__notional_cap_1,AGG,mean_reversion_5,trend_100,5,half,horizon,notional_cap_1,false,false,false,true,true,false,0.010056467802631268,-0.0005432756695989266,0.00946746162591429,0.0008510891311694395,-0.009132996798459659,-0.015544011137471841,0.06836248012718601,0,0,0,0
AGG__mean_reversion_5__trend_100__h5__half__horizon__vol_target_10,AGG,mean_reversion_5,trend_100,5,half,horizon,vol_target_10,false,false,false,true,true,false,0.010056467802631268,-0.0005432756695989266,0.00946746162591429,0.0008510891311694395,-0.009425944670404396,-0.01582414301898013,0.06836248012718601,0,0,0,0
AGG__mean_reversion_5__trend_100__h5__half__signal_flip__notional_cap_1,AGG,mean_reversion_5,trend_100,5,half,signal_flip,notional_cap_1,false,false,false,true,true,false,0.012021184758348563,-0.0012478266954952615,0.0062399778973879,-0.004380175490493383,-0.007772650496083035,-0.01568916500107258,0.08426073131955485,0,0,0,0
AGG__mean_reversion_5__trend_100__h5__half__signal_flip__vol_target_10,AGG,mean_reversion_5,trend_100,5,half,signal_flip,vol_target_10,false,false,false,true,true,false,0.012021184758348563,-0.0012478266954952615,0.0062399778973879,-0.004380175490493383,-0.007812466353677643,-0.015700213393441725,0.08426073131955485,0,0,0,0
AGG__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,AGG,mean_reversion_5,trend_100,5,unit,horizon,notional_cap_1,false,false,false,true,true,false,0.019669847369465605,-0.0015344245327002085,0.01869961756883982,0.00146147258191129,-0.019348912472058596,-0.0321726200665811,0.13672496025437203,0,0,0,0
