strategy_id,ticker,operational,generative,total,currently_dominated,generatively_valuable
AGG__momentum_20__trend_100__h20__unit__horizon__vol_target_10,AGG,0.0,0.0,0.0,true,false
BIL__mean_reversion_5__trend_100__h20__half__horizon__vol_target_10,BIL,0.0,0.0,0.0,true,false
BND__momentum_60__trend_100__h20__unit__horizon__vol_target_10,BND,0.0,0.0,0.0,true,false
BSV__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,BSV,0.0,0.0,0.0,true,false
DBA__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,DBA,0.0,0.0,0.0,true,false
DBC__momentum_60__always__h5__half__signal_flip__notional_cap_1,DBC,0.0,0.0,0.0,true,false
DEM__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,DEM,0.0,0.0,0.0,true,false
DIA__momentum_20__always__h20__unit__horizon__notional_cap_1,DIA,0.0,0.0,0.0,true,false
DVY__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,DVY,0.0,0.0,0.0,true,false
EEM__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,EEM,0.0,0.0,0.0,true,false
EFA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,EFA,0.0,0.0,0.0,true,false
EMB__momentum_20__trend_100__h20__unit__horizon__vol_target_10,EMB,0.0,0.0,0.0,true,false
EPP__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,EPP,0.0,0.0,0.0,true,false
EWA__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,EWA,0.0,0.0,0.0,true,false
EWC__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,EWC,0.0,0.0,0.0,true,false
EWG__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,EWG,0.0,0.0,0.0,true,false
EWH__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,EWH,0.0,0.0,0.0,true,false
EWJ__mean_reversion_5__always__h20__half__horizon__vol_target_10,EWJ,0.0,0.0,0.0,true,false
