rule,step,strategy_id,operationally_redundant,generatively_redundant,decision,source_size,resulting_size,closure_size_before,closure_size_after,maximum_frontier_change
innovation_safe,1,DBC__momentum_60__trend_100__h20__half__signal_flip__notional_cap_1,true,true,remove,202,201,113,113,0.0
innovation_safe,2,DBC__momentum_60__always__h5__half__signal_flip__notional_cap_1,true,false,retain,201,201,113,113,0.0
innovation_safe,3,UNG__mean_reversion_5__trend_100__h5__half__signal_flip__vol_target_10,true,true,remove,201,200,113,113,0.0
innovation_safe,4,UNG__mean_reversion_5__trend_100__h5__unit__signal_flip__vol_target_10,true,false,retain,200,200,113,113,0.0
innovation_safe,5,SHV__mean_reversion_5__trend_100__h20__half__horizon__notional_cap_1,true,true,remove,200,199,113,113,0.0
innovation_safe,6,SHV__mean_reversion_5__trend_100__h20__half__horizon__vol_target_10,true,false,retain,199,199,113,113,0.0
innovation_safe,7,GDX__mean_reversion_5__trend_100__h20__half__signal_flip__vol_target_10,true,true,remove,199,198,113,113,0.0
innovation_safe,8,GDX__mean_reversion_5__trend_100__h20__unit__signal_flip__vol_target_10,true,false,retain,198,198,113,113,0.0
innovation_safe,9,BIL__mean_reversion_5__trend_100__h20__half__horizon__notional_cap_1,true,true,remove,198,197,113,113,0.0
innovation_safe,10,BIL__mean_reversion_5__trend_100__h20__half__horizon__vol_target_10,true,false,retain,197,197,113,113,0.0
innovation_safe,11,SHY__momentum_20__always__h20__half__horizon__notional_cap_1,true,true,remove,197,196,113,113,0.0
innovation_safe,12,SHY__momentum_20__always__h20__half__horizon__vol_target_10,true,false,retain,196,196,113,113,0.0
innovation_safe,13,BSV__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,196,195,113,113,0.0
innovation_safe,14,BSV__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,true,false,retain,195,195,113,113,0.0
innovation_safe,15,USO__momentum_60__trend_100__h5__half__signal_flip__notional_cap_1,true,true,remove,195,194,113,113,0.0
innovation_safe,16,USO__momentum_60__always__h5__half__signal_flip__notional_cap_1,true,false,retain,194,194,113,113,0.0
innovation_safe,17,FXY__mean_reversion_5__trend_100__h5__unit__horizon__vol_target_10,true,true,remove,194,193,113,113,0.0
innovation_safe,18,FXY__mean_reversion_5__trend_100__h5__unit__horizon__notional_cap_1,true,false,retain,193,193,113,113,0.0
innovation_safe,19,FXE__momentum_60__always__h20__unit__signal_flip__notional_cap_1,true,true,remove,193,192,113,113,0.0
innovation_safe,20,UUP__momentum_60__trend_100__h20__unit__signal_flip__vol_target_10,true,true,remove,192,191,113,113,0.0
innovation_safe,21,UUP__momentum_60__trend_100__h20__unit__signal_flip__notional_cap_1,true,false,retain,191,191,113,113,0.0
innovation_safe,22,FXE__momentum_60__always__h20__unit__signal_flip__vol_target_10,true,false,retain,191,191,113,113,0.0
innovation_safe,23,DBA__momentum_20__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,191,190,113,113,0.0
innovation_safe,24,DBA__momentum_20__trend_100__h20__unit__signal_flip__notional_cap_1,true,false,retain,190,190,113,113,0.0
innovation_safe,25,MBB__momentum_60__trend_100__h20__unit__horizon__notional_cap_1,true,true,remove,190,189,113,113,0.0
innovation_safe,26,MBB__momentum_60__trend_100__h20__unit__horizon__vol_target_10,true,false,retain,189,189,113,113,0.0
innovation_safe,27,EWJ__mean_reversion_5__always__h20__unit__horizon__vol_target_10,true,true,remove,189,188,113,113,0.0
