audit,characteristic,group,policy_count,generatively_valuable_policy_count,mean_generative_value,maximum_generative_value,comparison_identified,theorem_evidence
locked_terminal,frontier_coverage,operationally_silent,22,1,0.0000707136,0.0015556991,true,false
locked_terminal,frontier_coverage,operationally_active,3,0,0.0000000000,0.0000000000,true,false
locked_terminal,module_uniqueness,no_within_audit_variation,25,1,0.0000622280,0.0015556991,false,false
locked_terminal,candidate_module_constraint,maximum_dependent_candidate_count,24,1,0.0000648208,0.0015556991,true,false
locked_terminal,candidate_module_constraint,below_maximum_dependent_candidate_count,1,0,0.0000000000,0.0000000000,true,false
locked_terminal,best_descendant_support,supports_best_descendant,1,1,0.0015556991,0.0015556991,true,false
locked_terminal,best_descendant_support,does_not_support_best_descendant,24,0,0.0000000000,0.0000000000,true,false
annual_walk_forward,frontier_coverage,operationally_silent,95,1,0.0005624094,0.0534288909,true,false
annual_walk_forward,frontier_coverage,operationally_active,5,0,0.0000000000,0.0000000000,true,false
annual_walk_forward,module_uniqueness,no_within_audit_variation,100,1,0.0005342889,0.0534288909,false,false
annual_walk_forward,candidate_module_constraint,maximum_dependent_candidate_count,98,1,0.0005451928,0.0534288909,true,false
annual_walk_forward,candidate_module_constraint,below_maximum_dependent_candidate_count,2,0,0.0000000000,0.0000000000,true,false
annual_walk_forward,best_descendant_support,supports_best_descendant,1,1,0.0534288909,0.0534288909,true,false
annual_walk_forward,best_descendant_support,does_not_support_best_descendant,99,0,0.0000000000,0.0000000000,true,false
