audit_id,schedule_id,method,belief_state,source_frontier,selected_frontier,exact_equal,locked_tolerance_preserved
locked_terminal_v1,uniform_cardinality,global_safe,1,4525575264127683//72057594037927936,4525575264127683//72057594037927936,true,true
locked_terminal_v1,uniform_cardinality,global_safe,2,1422137195911431//4503599627370496,1422137195911431//4503599627370496,true,true
locked_terminal_v1,uniform_cardinality,global_safe,3,4731888340177683//9007199254740992,4731888340177683//9007199254740992,true,true
locked_terminal_v1,uniform_cardinality,stepwise_safe,1,4525575264127683//72057594037927936,4525575264127683//72057594037927936,true,true
locked_terminal_v1,uniform_cardinality,stepwise_safe,2,1422137195911431//4503599627370496,1422137195911431//4503599627370496,true,true
locked_terminal_v1,uniform_cardinality,stepwise_safe,3,4731888340177683//9007199254740992,4731888340177683//9007199254740992,true,true
locked_terminal_v1,uniform_cardinality,frontier_only,1,4525575264127683//72057594037927936,4525575264127683//72057594037927936,true,true
locked_terminal_v1,uniform_cardinality,frontier_only,2,1422137195911431//4503599627370496,1422137195911431//4503599627370496,true,true
locked_terminal_v1,uniform_cardinality,frontier_only,3,4731888340177683//9007199254740992,4731888340177683//9007199254740992,true,true
locked_terminal_v1,nonshared_modules,global_safe,1,4525575264127683//72057594037927936,4525575264127683//72057594037927936,true,true
locked_terminal_v1,nonshared_modules,global_safe,2,1422137195911431//4503599627370496,1422137195911431//4503599627370496,true,true
locked_terminal_v1,nonshared_modules,global_safe,3,4731888340177683//9007199254740992,4731888340177683//9007199254740992,true,true
locked_terminal_v1,nonshared_modules,stepwise_safe,1,4525575264127683//72057594037927936,4525575264127683//72057594037927936,true,true
locked_terminal_v1,nonshared_modules,stepwise_safe,2,1422137195911431//4503599627370496,1422137195911431//4503599627370496,true,true
locked_terminal_v1,nonshared_modules,stepwise_safe,3,4731888340177683//9007199254740992,4731888340177683//9007199254740992,true,true
locked_terminal_v1,nonshared_modules,frontier_only,1,4525575264127683//72057594037927936,4525575264127683//72057594037927936,true,true
locked_terminal_v1,nonshared_modules,frontier_only,2,1422137195911431//4503599627370496,1422137195911431//4503599627370496,true,true
locked_terminal_v1,nonshared_modules,frontier_only,3,4731888340177683//9007199254740992,4731888340177683//9007199254740992,true,true
locked_terminal_v1,validation_computation,global_safe,1,4525575264127683//72057594037927936,4525575264127683//72057594037927936,true,true
locked_terminal_v1,validation_computation,global_safe,2,1422137195911431//4503599627370496,1422137195911431//4503599627370496,true,true
locked_terminal_v1,validation_computation,global_safe,3,4731888340177683//9007199254740992,4731888340177683//9007199254740992,true,true
locked_terminal_v1,validation_computation,stepwise_safe,1,4525575264127683//72057594037927936,4525575264127683//72057594037927936,true,true
