audit_id,algorithm_id,left_schedule_id,right_schedule_id,left_selected_active_count,right_selected_active_count,intersection_count,union_count,symmetric_difference_count,jaccard_similarity
locked_terminal_v1,current_stepwise_safe_deletion,equal_active_strategy,validation_computation,25,25,25,25,0,1//1
locked_terminal_v1,current_stepwise_safe_deletion,equal_active_strategy,governance_complexity,25,25,25,25,0,1//1
locked_terminal_v1,current_stepwise_safe_deletion,validation_computation,governance_complexity,25,25,25,25,0,1//1
locked_terminal_v1,heaviest_safe_first,equal_active_strategy,validation_computation,25,25,6,44,38,3//22
locked_terminal_v1,heaviest_safe_first,equal_active_strategy,governance_complexity,25,25,10,40,30,1//4
locked_terminal_v1,heaviest_safe_first,validation_computation,governance_complexity,25,25,20,30,10,2//3
locked_terminal_v1,weighted_greedy,equal_active_strategy,validation_computation,25,26,21,30,9,7//10
locked_terminal_v1,weighted_greedy,equal_active_strategy,governance_complexity,25,25,14,36,22,7//18
locked_terminal_v1,weighted_greedy,validation_computation,governance_complexity,26,25,13,38,25,13//38
locked_terminal_v1,weighted_greedy_reverse_delete,equal_active_strategy,validation_computation,25,25,21,29,8,21//29
locked_terminal_v1,weighted_greedy_reverse_delete,equal_active_strategy,governance_complexity,25,25,14,36,22,7//18
locked_terminal_v1,weighted_greedy_reverse_delete,validation_computation,governance_complexity,25,25,13,37,24,13//37
locked_terminal_v1,multistart_random_deletion,equal_active_strategy,validation_computation,25,25,6,44,38,3//22
locked_terminal_v1,multistart_random_deletion,equal_active_strategy,governance_complexity,25,25,6,44,38,3//22
locked_terminal_v1,multistart_random_deletion,validation_computation,governance_complexity,25,25,25,25,0,1//1
locked_terminal_v1,preprocessed_highs_mip,equal_active_strategy,validation_computation,25,25,22,28,6,11//14
locked_terminal_v1,preprocessed_highs_mip,equal_active_strategy,governance_complexity,25,25,14,36,22,7//18
locked_terminal_v1,preprocessed_highs_mip,validation_computation,governance_complexity,25,25,14,36,22,7//18
annual_walk_forward_v2,current_stepwise_safe_deletion,equal_active_strategy,validation_computation,100,100,100,100,0,1//1
annual_walk_forward_v2,current_stepwise_safe_deletion,equal_active_strategy,governance_complexity,100,100,100,100,0,1//1
annual_walk_forward_v2,current_stepwise_safe_deletion,validation_computation,governance_complexity,100,100,100,100,0,1//1
annual_walk_forward_v2,heaviest_safe_first,equal_active_strategy,validation_computation,100,100,24,176,152,3//22
annual_walk_forward_v2,heaviest_safe_first,equal_active_strategy,governance_complexity,100,100,39,161,122,39//161
annual_walk_forward_v2,heaviest_safe_first,validation_computation,governance_complexity,100,100,85,115,30,17//23
annual_walk_forward_v2,weighted_greedy,equal_active_strategy,validation_computation,100,101,93,108,15,31//36
annual_walk_forward_v2,weighted_greedy,equal_active_strategy,governance_complexity,100,100,77,123,46,77//123
annual_walk_forward_v2,weighted_greedy,validation_computation,governance_complexity,101,100,80,121,41,80//121
annual_walk_forward_v2,weighted_greedy_reverse_delete,equal_active_strategy,validation_computation,100,100,93,107,14,93//107
annual_walk_forward_v2,weighted_greedy_reverse_delete,equal_active_strategy,governance_complexity,100,100,77,123,46,77//123
annual_walk_forward_v2,weighted_greedy_reverse_delete,validation_computation,governance_complexity,100,100,80,120,40,2//3
annual_walk_forward_v2,multistart_random_deletion,equal_active_strategy,validation_computation,100,100,60,140,80,3//7
annual_walk_forward_v2,multistart_random_deletion,equal_active_strategy,governance_complexity,100,100,52,148,96,13//37
annual_walk_forward_v2,multistart_random_deletion,validation_computation,governance_complexity,100,100,56,144,88,7//18
annual_walk_forward_v2,preprocessed_highs_mip,equal_active_strategy,validation_computation,100,100,95,105,10,19//21
annual_walk_forward_v2,preprocessed_highs_mip,equal_active_strategy,governance_complexity,100,100,79,121,42,79//121
annual_walk_forward_v2,preprocessed_highs_mip,validation_computation,governance_complexity,100,100,80,120,40,2//3
