audit_id,audit_label,schedule_id,algorithm_id,applicability,status,source_active_count,selected_active_count,source_exact_burden,selected_exact_burden,burden_saved,burden_savings_ratio,compression_ratio,algorithm_competition_rank,attains_exact_preprocessing_optimum,exact_preprocessing_optimum_burden,exact_preprocessing_optimum_certified,global_stepwise_absolute_gap,global_stepwise_relative_gap,distinct_active_unique_carrier_count,all_active_unique_carriers_retained,exact_mandatory_retention,exact_frontier_preservation,exact_closure_preservation,exact_feasible,heldout_opportunity_diagnostic,heldout_unit,heldout_timing,benchmark_evidence_class
locked_terminal_v1,Terminal financial audit,equal_active_strategy,current_stepwise_safe_deletion,LOCKED_PARENT_ENDPOINT,HISTORICAL_LOCKED_ENDPOINT_EXACTLY_RECHECKED,80,25,80//1,25//1,55//1,11//16,5//16,1,true,25//1,true,0//1,0//1,3,true,true,true,true,true,8162187676336809//72057594037927936,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT,human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence
locked_terminal_v1,Terminal financial audit,equal_active_strategy,heaviest_safe_first,APPLICABLE,certified_irreducible_heuristic,80,25,80//1,25//1,55//1,11//16,5//16,1,true,25//1,true,0//1,0//1,3,true,true,true,true,true,8162187676336809//72057594037927936,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT,human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence
locked_terminal_v1,Terminal financial audit,equal_active_strategy,weighted_greedy,APPLICABLE_IDENTITY_CLOSURE_ONLY,feasible_heuristic,80,25,80//1,25//1,55//1,11//16,5//16,1,true,25//1,true,0//1,0//1,3,true,true,true,true,true,8162187676336809//72057594037927936,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT,human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence
locked_terminal_v1,Terminal financial audit,equal_active_strategy,weighted_greedy_reverse_delete,APPLICABLE_IDENTITY_CLOSURE_ONLY,feasible_heuristic,80,25,80//1,25//1,55//1,11//16,5//16,1,true,25//1,true,0//1,0//1,3,true,true,true,true,true,8162187676336809//72057594037927936,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT,human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence
locked_terminal_v1,Terminal financial audit,equal_active_strategy,multistart_random_deletion,APPLICABLE,certified_irreducible_heuristic,80,25,80//1,25//1,55//1,11//16,5//16,1,true,25//1,true,0//1,0//1,3,true,true,true,true,true,8162187676336809//72057594037927936,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT,human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence
locked_terminal_v1,Terminal financial audit,equal_active_strategy,preprocessed_highs_mip,APPLICABLE_IDENTITY_CLOSURE_ONLY,exactly_rechecked_solver_candidate,80,25,80//1,25//1,55//1,11//16,5//16,1,true,25//1,true,0//1,0//1,3,true,true,true,true,true,8162187676336809//72057594037927936,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT,human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence
locked_terminal_v1,Terminal financial audit,equal_active_strategy,requirement_mask_dp,NOT_APPLICABLE_REQUIREMENT_LIMIT,SKIPPED_RESIDUAL_REQUIREMENTS_41_EXCEED_LIMIT_22,80,,80//1,,,,,,,25//1,true,0//1,0//1,3,,,,,,,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,NOT_EVALUATED_DURING_OPTIMIZATION,human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence
locked_terminal_v1,Terminal financial audit,equal_active_strategy,optional_second_solver_crosscheck,OPTIONAL,UNAVAILABLE_NO_SECOND_SOLVER_DECLARED,80,,80//1,,,,,,,25//1,true,0//1,0//1,3,,,,,,,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,NOT_EVALUATED_DURING_OPTIMIZATION,human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence
locked_terminal_v1,Terminal financial audit,validation_computation,current_stepwise_safe_deletion,LOCKED_PARENT_ENDPOINT,HISTORICAL_LOCKED_ENDPOINT_EXACTLY_RECHECKED,80,25,1558//1,450//1,1108//1,554//779,5//16,6,false,338//1,true,112//1,56//169,3,true,true,true,true,true,8162187676336809//72057594037927936,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT,human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence
locked_terminal_v1,Terminal financial audit,validation_computation,heaviest_safe_first,APPLICABLE,certified_irreducible_heuristic,80,25,1558//1,338//1,1220//1,610//779,5//16,1,true,338//1,true,112//1,56//169,3,true,true,true,true,true,8162187676336809//72057594037927936,terminal locked-2020-2024 enabled-descendant net-utility opportunity units,EX_POST_AFTER_ALL_OPTIMIZATION_AND_BENCHMARK_ASSIGNMENT,human-readable preprocessing theorem plus exact finite computation and original-instance recheck; not Lean verification and not solver evidence
