strategy_id,ticker,coverage_potential,current_belief_improvement,average_validation_score,raw_parameter_novelty,locked_net_utility_improvement,coverage_rank,current_rank,average_rank,novelty_rank,locked_rank
DIA__mean_reversion_5__always__h20__half__horizon__notional_cap_1,DIA,0.0,0.0,0.021603346841919707,0.14285714285714285,-0.06452722925609664,48,2,248,1157,277
DIA__mean_reversion_5__always__h20__half__horizon__vol_target_10,DIA,0.0,0.0,0.02127130016637705,0.2857142857142857,-0.05935811971042521,49,3,257,18,226
DIA__mean_reversion_5__always__h20__half__signal_flip__notional_cap_1,DIA,0.0,0.0,0.00799648077013572,0.14285714285714285,-0.05671811539310348,50,4,649,1158,202
DIA__mean_reversion_5__always__h20__half__signal_flip__vol_target_10,DIA,0.0,0.0,0.006358366511886204,0.2857142857142857,-0.059666740385158616,51,5,701,19,231
DIA__mean_reversion_5__always__h20__unit__horizon__notional_cap_1,DIA,0.0,0.0,0.03088344460138374,0.14285714285714285,-0.06480394537762393,52,6,125,1159,284
DIA__mean_reversion_5__always__h20__unit__horizon__vol_target_10,DIA,0.0,0.0,0.02381443512792461,0.2857142857142857,-0.058407214255255566,53,7,210,20,218
DIA__mean_reversion_5__always__h20__unit__signal_flip__notional_cap_1,DIA,0.0,0.0,0.007961388899303312,0.14285714285714285,-0.04082160439306005,54,8,650,1160,79
DIA__mean_reversion_5__always__h20__unit__signal_flip__vol_target_10,DIA,0.0,0.0,-0.007174539331748124,0.2857142857142857,-0.05354700397742265,55,9,1297,21,170
DIA__mean_reversion_5__always__h5__half__horizon__notional_cap_1,DIA,0.0,0.0,-0.0019052284888799566,0.2857142857142857,-0.06453014287455998,56,10,1053,22,278
DIA__mean_reversion_5__always__h5__half__horizon__vol_target_10,DIA,0.0,0.0,-0.0027938028460324487,0.42857142857142855,-0.06715140067102342,57,11,1101,1,312
DIA__mean_reversion_5__always__h5__half__signal_flip__notional_cap_1,DIA,0.0,0.0,-0.0029126196574678002,0.14285714285714285,-0.06508360392202195,58,12,1108,1161,289
DIA__mean_reversion_5__always__h5__half__signal_flip__vol_target_10,DIA,0.0,0.0,-0.004295324493284777,0.2857142857142857,-0.06691657632669525,59,13,1177,23,308
DIA__mean_reversion_5__always__h5__unit__horizon__notional_cap_1,DIA,0.0,0.0,-0.012072379774279355,0.14285714285714285,-0.05732350764162042,60,14,1495,1162,207
DIA__mean_reversion_5__always__h5__unit__horizon__vol_target_10,DIA,0.0,0.0,-0.01472766118609828,0.2857142857142857,-0.05594821921807592,61,15,1581,24,196
DIA__mean_reversion_5__always__h5__unit__signal_flip__notional_cap_1,DIA,0.0,0.0,-0.01272919087152426,0.14285714285714285,-0.05523672544037159,62,16,1519,1163,186
DIA__mean_reversion_5__always__h5__unit__signal_flip__vol_target_10,DIA,0.0,0.0,-0.022250810897038856,0.2857142857142857,-0.06142441231708706,63,17,1785,25,253
DIA__mean_reversion_5__trend_100__h20__half__horizon__notional_cap_1,DIA,0.0,0.0,0.015348659628220122,0.2857142857142857,-0.06891283535230426,64,18,401,26,333
DIA__mean_reversion_5__trend_100__h20__half__horizon__vol_target_10,DIA,0.0,0.0,0.014602893714473958,0.14285714285714285,-0.07038618210645543,65,19,417,1164,345
DIA__mean_reversion_5__trend_100__h20__half__signal_flip__notional_cap_1,DIA,0.0,0.0,-0.0005440187450374144,0.2857142857142857,-0.07054416427864806,66,20,989,27,349
DIA__mean_reversion_5__trend_100__h20__half__signal_flip__vol_target_10,DIA,0.0,0.0,-0.0015774155000299927,0.14285714285714285,-0.0720621956438292,67,21,1034,1165,377
DIA__mean_reversion_5__trend_100__h20__unit__horizon__notional_cap_1,DIA,0.0,0.0,0.02310085472909718,0.14285714285714285,-0.054959298220324374,68,22,219,1166,183
DIA__mean_reversion_5__trend_100__h20__unit__horizon__vol_target_10,DIA,0.0,0.0,0.026258366992218757,0.2857142857142857,-0.07581708066174841,69,23,175,28,432
DIA__mean_reversion_5__trend_100__h20__unit__signal_flip__notional_cap_1,DIA,0.0,0.0,-0.006209477205904293,0.14285714285714285,-0.054486906453521694,70,24,1263,1167,178
DIA__mean_reversion_5__trend_100__h20__unit__signal_flip__vol_target_10,DIA,0.0,0.0,-0.009328844880470259,0.14285714285714285,-0.07048261064431546,71,25,1384,1168,346
