trial_id,input_modules,closed_modules
1,,
1,module_1,module_1
1,module_2,module_2
1,module_1;module_2,module_1;module_2
1,module_3,module_3
1,module_1;module_3,module_1;module_3
1,module_2;module_3,module_2;module_3
1,module_1;module_2;module_3,module_1;module_2;module_3
1,module_4,module_4
1,module_1;module_4,module_1;module_4
1,module_2;module_4,module_2;module_4
1,module_1;module_2;module_4,module_1;module_2;module_4
1,module_3;module_4,module_3;module_4
1,module_1;module_3;module_4,module_1;module_3;module_4
1,module_2;module_3;module_4,module_2;module_3;module_4
1,module_1;module_2;module_3;module_4,module_1;module_2;module_3;module_4
2,,
2,module_1,module_1
2,module_2,module_2
2,module_1;module_2,module_1;module_2
2,module_3,module_3
2,module_1;module_3,module_1;module_3
2,module_2;module_3,module_2;module_3
2,module_1;module_2;module_3,module_1;module_2;module_3
2,module_4,module_4
2,module_1;module_4,module_1;module_4
2,module_2;module_4,module_2;module_4
2,module_1;module_2;module_4,module_1;module_2;module_4
2,module_3;module_4,module_3;module_4
2,module_1;module_3;module_4,module_1;module_3;module_4
2,module_2;module_3;module_4,module_2;module_3;module_4
2,module_1;module_2;module_3;module_4,module_1;module_2;module_3;module_4
3,,
3,module_1,module_1;module_2
3,module_2,module_1;module_2
3,module_1;module_2,module_1;module_2
3,module_3,module_3;module_4
3,module_1;module_3,module_1;module_2;module_3;module_4
3,module_2;module_3,module_1;module_2;module_3;module_4
3,module_1;module_2;module_3,module_1;module_2;module_3;module_4
3,module_4,module_3;module_4
3,module_1;module_4,module_1;module_2;module_3;module_4
3,module_2;module_4,module_1;module_2;module_3;module_4
3,module_1;module_2;module_4,module_1;module_2;module_3;module_4
3,module_3;module_4,module_3;module_4
3,module_1;module_3;module_4,module_1;module_2;module_3;module_4
3,module_2;module_3;module_4,module_1;module_2;module_3;module_4
3,module_1;module_2;module_3;module_4,module_1;module_2;module_3;module_4
3,module_5,module_5
3,module_1;module_5,module_1;module_2;module_5
3,module_2;module_5,module_1;module_2;module_5
3,module_1;module_2;module_5,module_1;module_2;module_5
3,module_3;module_5,module_3;module_4;module_5
3,module_1;module_3;module_5,module_1;module_2;module_3;module_4;module_5
3,module_2;module_3;module_5,module_1;module_2;module_3;module_4;module_5
3,module_1;module_2;module_3;module_5,module_1;module_2;module_3;module_4;module_5
3,module_4;module_5,module_3;module_4;module_5
3,module_1;module_4;module_5,module_1;module_2;module_3;module_4;module_5
3,module_2;module_4;module_5,module_1;module_2;module_3;module_4;module_5
3,module_1;module_2;module_4;module_5,module_1;module_2;module_3;module_4;module_5
3,module_3;module_4;module_5,module_3;module_4;module_5
3,module_1;module_3;module_4;module_5,module_1;module_2;module_3;module_4;module_5
3,module_2;module_3;module_4;module_5,module_1;module_2;module_3;module_4;module_5
3,module_1;module_2;module_3;module_4;module_5,module_1;module_2;module_3;module_4;module_5
4,,
4,module_1,module_1
4,module_2,module_2
4,module_1;module_2,module_1;module_2
4,module_3,module_3
4,module_1;module_3,module_1;module_3
4,module_2;module_3,module_2;module_3
4,module_1;module_2;module_3,module_1;module_2;module_3
4,module_4,module_4
4,module_1;module_4,module_1;module_4
4,module_2;module_4,module_2;module_4
4,module_1;module_2;module_4,module_1;module_2;module_4
4,module_3;module_4,module_3;module_4
4,module_1;module_3;module_4,module_1;module_3;module_4
4,module_2;module_3;module_4,module_2;module_3;module_4
4,module_1;module_2;module_3;module_4,module_1;module_2;module_3;module_4
5,,
5,module_1,module_1
5,module_2,module_1;module_2
5,module_1;module_2,module_1;module_2
5,module_3,module_1;module_2;module_3
5,module_1;module_3,module_1;module_2;module_3
5,module_2;module_3,module_1;module_2;module_3
5,module_1;module_2;module_3,module_1;module_2;module_3
5,module_4,module_1;module_2;module_3;module_4
5,module_1;module_4,module_1;module_2;module_3;module_4
5,module_2;module_4,module_1;module_2;module_3;module_4
5,module_1;module_2;module_4,module_1;module_2;module_3;module_4
5,module_3;module_4,module_1;module_2;module_3;module_4
5,module_1;module_3;module_4,module_1;module_2;module_3;module_4
5,module_2;module_3;module_4,module_1;module_2;module_3;module_4
5,module_1;module_2;module_3;module_4,module_1;module_2;module_3;module_4
6,,
6,module_1,module_1
6,module_2,module_1;module_2
6,module_1;module_2,module_1;module_2
6,module_3,module_1;module_2;module_3
6,module_1;module_3,module_1;module_2;module_3
6,module_2;module_3,module_1;module_2;module_3
6,module_1;module_2;module_3,module_1;module_2;module_3
7,,
7,module_1,module_1;module_2
7,module_2,module_1;module_2
7,module_1;module_2,module_1;module_2
7,module_3,module_3
7,module_1;module_3,module_1;module_2;module_3
7,module_2;module_3,module_1;module_2;module_3
7,module_1;module_2;module_3,module_1;module_2;module_3
8,,
8,module_1,module_1;module_2
8,module_2,module_1;module_2
8,module_1;module_2,module_1;module_2
8,module_3,module_3;module_4
8,module_1;module_3,module_1;module_2;module_3;module_4
8,module_2;module_3,module_1;module_2;module_3;module_4
8,module_1;module_2;module_3,module_1;module_2;module_3;module_4
8,module_4,module_3;module_4
8,module_1;module_4,module_1;module_2;module_3;module_4
8,module_2;module_4,module_1;module_2;module_3;module_4
8,module_1;module_2;module_4,module_1;module_2;module_3;module_4
8,module_3;module_4,module_3;module_4
8,module_1;module_3;module_4,module_1;module_2;module_3;module_4
8,module_2;module_3;module_4,module_1;module_2;module_3;module_4
8,module_1;module_2;module_3;module_4,module_1;module_2;module_3;module_4
9,,
9,module_1,module_1
9,module_2,module_1;module_2
