trial_id,current_belief,next_belief,probability
1,1,1,1//2
1,1,2,1//2
1,1,3,0//1
1,2,1,0//1
1,2,2,1//2
1,2,3,1//2
1,3,1,1//2
1,3,2,0//1
1,3,3,1//2
2,1,1,1//4
2,1,2,3//4
2,1,3,0//1
2,1,4,0//1
2,2,1,0//1
2,2,2,1//4
2,2,3,3//4
2,2,4,0//1
2,3,1,0//1
2,3,2,0//1
2,3,3,1//4
2,3,4,3//4
2,4,1,3//4
2,4,2,0//1
2,4,3,0//1
2,4,4,1//4
3,1,1,1//2
3,1,2,1//2
3,2,1,1//2
3,2,2,1//2
4,1,1,1//2
4,1,2,1//2
4,1,3,0//1
4,1,4,0//1
4,2,1,0//1
4,2,2,1//2
4,2,3,1//2
4,2,4,0//1
4,3,1,0//1
4,3,2,0//1
4,3,3,1//2
4,3,4,1//2
4,4,1,1//2
4,4,2,0//1
4,4,3,0//1
4,4,4,1//2
5,1,1,1//4
5,1,2,3//4
5,2,1,3//4
5,2,2,1//4
6,1,1,3//4
6,1,2,1//4
6,1,3,0//1
6,1,4,0//1
6,2,1,0//1
6,2,2,3//4
6,2,3,1//4
6,2,4,0//1
6,3,1,0//1
6,3,2,0//1
6,3,3,3//4
6,3,4,1//4
6,4,1,1//4
6,4,2,0//1
6,4,3,0//1
6,4,4,3//4
7,1,1,1//2
7,1,2,1//2
7,1,3,0//1
7,1,4,0//1
7,2,1,0//1
7,2,2,1//2
7,2,3,1//2
7,2,4,0//1
7,3,1,0//1
7,3,2,0//1
7,3,3,1//2
7,3,4,1//2
7,4,1,1//2
7,4,2,0//1
7,4,3,0//1
7,4,4,1//2
8,1,1,1//2
8,1,2,1//2
8,2,1,1//2
8,2,2,1//2
9,1,1,1//2
9,1,2,1//2
9,1,3,0//1
9,1,4,0//1
9,2,1,0//1
9,2,2,1//2
9,2,3,1//2
9,2,4,0//1
9,3,1,0//1
9,3,2,0//1
9,3,3,1//2
9,3,4,1//2
9,4,1,1//2
9,4,2,0//1
9,4,3,0//1
9,4,4,1//2
10,1,1,1//2
10,1,2,1//2
10,1,3,0//1
10,1,4,0//1
10,2,1,0//1
10,2,2,1//2
10,2,3,1//2
10,2,4,0//1
10,3,1,0//1
10,3,2,0//1
10,3,3,1//2
10,3,4,1//2
10,4,1,1//2
10,4,2,0//1
10,4,3,0//1
10,4,4,1//2
11,1,1,1//4
11,1,2,3//4
11,1,3,0//1
11,2,1,0//1
11,2,2,1//4
11,2,3,3//4
11,3,1,3//4
11,3,2,0//1
11,3,3,1//4
12,1,1,1//4
12,1,2,3//4
12,1,3,0//1
12,1,4,0//1
12,2,1,0//1
12,2,2,1//4
12,2,3,3//4
12,2,4,0//1
12,3,1,0//1
12,3,2,0//1
12,3,3,1//4
12,3,4,3//4
12,4,1,3//4
12,4,2,0//1
12,4,3,0//1
12,4,4,1//4
13,1,1,1//4
13,1,2,3//4
13,1,3,0//1
13,2,1,0//1
13,2,2,1//4
13,2,3,3//4
13,3,1,3//4
13,3,2,0//1
13,3,3,1//4
14,1,1,3//4
14,1,2,1//4
14,1,3,0//1
14,2,1,0//1
14,2,2,3//4
14,2,3,1//4
14,3,1,1//4
14,3,2,0//1
14,3,3,3//4
15,1,1,1//4
15,1,2,3//4
15,1,3,0//1
15,1,4,0//1
15,2,1,0//1
15,2,2,1//4
15,2,3,3//4
15,2,4,0//1
15,3,1,0//1
15,3,2,0//1
15,3,3,1//4
15,3,4,3//4
15,4,1,3//4
15,4,2,0//1
15,4,3,0//1
15,4,4,1//4
16,1,1,3//4
16,1,2,1//4
16,1,3,0//1
16,1,4,0//1
16,2,1,0//1
16,2,2,3//4
16,2,3,1//4
16,2,4,0//1
16,3,1,0//1
16,3,2,0//1
16,3,3,3//4
16,3,4,1//4
16,4,1,1//4
16,4,2,0//1
16,4,3,0//1
16,4,4,3//4
17,1,1,3//4
17,1,2,1//4
17,2,1,1//4
17,2,2,3//4
18,1,1,1//2
18,1,2,1//2
18,1,3,0//1
18,1,4,0//1
18,2,1,0//1
18,2,2,1//2
18,2,3,1//2
18,2,4,0//1
18,3,1,0//1
18,3,2,0//1
18,3,3,1//2
18,3,4,1//2
18,4,1,1//2
18,4,2,0//1
18,4,3,0//1
18,4,4,1//2
19,1,1,3//4
19,1,2,1//4
19,1,3,0//1
19,2,1,0//1
19,2,2,3//4
19,2,3,1//4
19,3,1,1//4
19,3,2,0//1
19,3,3,3//4
20,1,1,1//4
20,1,2,3//4
20,1,3,0//1
20,1,4,0//1
20,2,1,0//1
20,2,2,1//4
20,2,3,3//4
20,2,4,0//1
20,3,1,0//1
20,3,2,0//1
20,3,3,1//4
20,3,4,3//4
20,4,1,3//4
20,4,2,0//1
20,4,3,0//1
20,4,4,1//4
21,1,1,1//4
21,1,2,3//4
21,1,3,0//1
21,2,1,0//1
21,2,2,1//4
21,2,3,3//4
21,3,1,3//4
21,3,2,0//1
21,3,3,1//4
22,1,1,1//2
22,1,2,1//2
22,1,3,0//1
22,1,4,0//1
22,2,1,0//1
22,2,2,1//2
22,2,3,1//2
22,2,4,0//1
22,3,1,0//1
22,3,2,0//1
22,3,3,1//2
22,3,4,1//2
22,4,1,1//2
22,4,2,0//1
22,4,3,0//1
22,4,4,1//2
23,1,1,1//4
23,1,2,3//4
23,1,3,0//1
23,2,1,0//1
23,2,2,1//4
23,2,3,3//4
23,3,1,3//4
23,3,2,0//1
23,3,3,1//4
24,1,1,1//2
24,1,2,1//2
24,1,3,0//1
24,1,4,0//1
24,2,1,0//1
24,2,2,1//2
24,2,3,1//2
24,2,4,0//1
24,3,1,0//1
24,3,2,0//1
24,3,3,1//2
24,3,4,1//2
24,4,1,1//2
24,4,2,0//1
24,4,3,0//1
24,4,4,1//2
25,1,1,3//4
25,1,2,1//4
25,1,3,0//1
25,1,4,0//1
25,2,1,0//1
25,2,2,3//4
25,2,3,1//4
25,2,4,0//1
25,3,1,0//1
25,3,2,0//1
25,3,3,3//4
25,3,4,1//4
25,4,1,1//4
25,4,2,0//1
25,4,3,0//1
25,4,4,3//4
26,1,1,3//4
26,1,2,1//4
26,2,1,1//4
26,2,2,3//4
27,1,1,3//4
27,1,2,1//4
27,1,3,0//1
27,2,1,0//1
27,2,2,3//4
27,2,3,1//4
27,3,1,1//4
27,3,2,0//1
27,3,3,3//4
28,1,1,3//4
28,1,2,1//4
28,2,1,1//4
28,2,2,3//4
29,1,1,3//4
29,1,2,1//4
29,2,1,1//4
29,2,2,3//4
30,1,1,1//2
30,1,2,1//2
30,1,3,0//1
30,2,1,0//1
30,2,2,1//2
30,2,3,1//2
30,3,1,1//2
30,3,2,0//1
30,3,3,1//2
31,1,1,1//2
31,1,2,1//2
31,1,3,0//1
31,2,1,0//1
31,2,2,1//2
31,2,3,1//2
31,3,1,1//2
31,3,2,0//1
31,3,3,1//2
32,1,1,1//2
32,1,2,1//2
32,2,1,1//2
32,2,2,1//2
33,1,1,3//4
33,1,2,1//4
33,1,3,0//1
33,2,1,0//1
33,2,2,3//4
33,2,3,1//4
33,3,1,1//4
33,3,2,0//1
33,3,3,3//4
34,1,1,1//2
34,1,2,1//2
34,1,3,0//1
34,1,4,0//1
34,2,1,0//1
34,2,2,1//2
34,2,3,1//2
34,2,4,0//1
34,3,1,0//1
34,3,2,0//1
34,3,3,1//2
34,3,4,1//2
34,4,1,1//2
34,4,2,0//1
34,4,3,0//1
34,4,4,1//2
35,1,1,1//2
35,1,2,1//2
35,1,3,0//1
35,2,1,0//1
35,2,2,1//2
35,2,3,1//2
35,3,1,1//2
35,3,2,0//1
35,3,3,1//2
36,1,1,1//2
36,1,2,1//2
36,2,1,1//2
36,2,2,1//2
37,1,1,3//4
37,1,2,1//4
37,1,3,0//1
37,2,1,0//1
37,2,2,3//4
37,2,3,1//4
37,3,1,1//4
37,3,2,0//1
37,3,3,3//4
38,1,1,1//2
38,1,2,1//2
38,1,3,0//1
38,2,1,0//1
38,2,2,1//2
38,2,3,1//2
38,3,1,1//2
38,3,2,0//1
38,3,3,1//2
39,1,1,3//4
39,1,2,1//4
39,2,1,1//4
39,2,2,3//4
40,1,1,3//4
40,1,2,1//4
40,1,3,0//1
40,1,4,0//1
40,2,1,0//1
40,2,2,3//4
40,2,3,1//4
40,2,4,0//1
40,3,1,0//1
40,3,2,0//1
40,3,3,3//4
40,3,4,1//4
40,4,1,1//4
40,4,2,0//1
40,4,3,0//1
40,4,4,3//4
41,1,1,1//2
41,1,2,1//2
41,1,3,0//1
41,1,4,0//1
41,2,1,0//1
41,2,2,1//2
41,2,3,1//2
41,2,4,0//1
41,3,1,0//1
41,3,2,0//1
41,3,3,1//2
41,3,4,1//2
41,4,1,1//2
41,4,2,0//1
41,4,3,0//1
41,4,4,1//2
42,1,1,3//4
42,1,2,1//4
42,1,3,0//1
42,2,1,0//1
42,2,2,3//4
42,2,3,1//4
42,3,1,1//4
42,3,2,0//1
42,3,3,3//4
43,1,1,1//2
43,1,2,1//2
43,1,3,0//1
43,2,1,0//1
43,2,2,1//2
43,2,3,1//2
43,3,1,1//2
43,3,2,0//1
43,3,3,1//2
44,1,1,3//4
44,1,2,1//4
44,1,3,0//1
44,1,4,0//1
44,2,1,0//1
44,2,2,3//4
44,2,3,1//4
44,2,4,0//1
44,3,1,0//1
44,3,2,0//1
44,3,3,3//4
44,3,4,1//4
44,4,1,1//4
44,4,2,0//1
44,4,3,0//1
44,4,4,3//4
45,1,1,1//4
45,1,2,3//4
45,1,3,0//1
45,2,1,0//1
45,2,2,1//4
45,2,3,3//4
45,3,1,3//4
45,3,2,0//1
45,3,3,1//4
46,1,1,1//2
46,1,2,1//2
46,2,1,1//2
46,2,2,1//2
47,1,1,3//4
47,1,2,1//4
47,1,3,0//1
47,2,1,0//1
47,2,2,3//4
47,2,3,1//4
47,3,1,1//4
47,3,2,0//1
47,3,3,3//4
48,1,1,1//4
48,1,2,3//4
48,1,3,0//1
48,2,1,0//1
48,2,2,1//4
48,2,3,3//4
48,3,1,3//4
48,3,2,0//1
48,3,3,1//4
49,1,1,1//4
49,1,2,3//4
49,1,3,0//1
49,1,4,0//1
49,2,1,0//1
49,2,2,1//4
49,2,3,3//4
49,2,4,0//1
49,3,1,0//1
49,3,2,0//1
49,3,3,1//4
49,3,4,3//4
49,4,1,3//4
49,4,2,0//1
49,4,3,0//1
49,4,4,1//4
50,1,1,1//2
50,1,2,1//2
50,1,3,0//1
50,2,1,0//1
50,2,2,1//2
50,2,3,1//2
50,3,1,1//2
50,3,2,0//1
50,3,3,1//2
51,1,1,1//2
51,1,2,1//2
51,1,3,0//1
51,2,1,0//1
51,2,2,1//2
51,2,3,1//2
51,3,1,1//2
51,3,2,0//1
51,3,3,1//2
52,1,1,3//4
52,1,2,1//4
52,1,3,0//1
52,2,1,0//1
52,2,2,3//4
52,2,3,1//4
52,3,1,1//4
52,3,2,0//1
52,3,3,3//4
53,1,1,1//2
53,1,2,1//2
53,1,3,0//1
53,2,1,0//1
53,2,2,1//2
53,2,3,1//2
53,3,1,1//2
53,3,2,0//1
53,3,3,1//2
54,1,1,1//2
54,1,2,1//2
54,2,1,1//2
54,2,2,1//2
55,1,1,1//4
55,1,2,3//4
55,2,1,3//4
55,2,2,1//4
56,1,1,3//4
56,1,2,1//4
56,2,1,1//4
56,2,2,3//4
57,1,1,1//2
57,1,2,1//2
57,1,3,0//1
57,2,1,0//1
57,2,2,1//2
57,2,3,1//2
57,3,1,1//2
57,3,2,0//1
57,3,3,1//2
58,1,1,3//4
58,1,2,1//4
58,2,1,1//4
58,2,2,3//4
59,1,1,1//2
59,1,2,1//2
59,1,3,0//1
59,2,1,0//1
59,2,2,1//2
59,2,3,1//2
59,3,1,1//2
59,3,2,0//1
59,3,3,1//2
60,1,1,3//4
60,1,2,1//4
60,2,1,1//4
60,2,2,3//4
61,1,1,1//4
61,1,2,3//4
61,1,3,0//1
61,2,1,0//1
61,2,2,1//4
61,2,3,3//4
61,3,1,3//4
61,3,2,0//1
61,3,3,1//4
62,1,1,1//2
62,1,2,1//2
62,1,3,0//1
62,1,4,0//1
62,2,1,0//1
62,2,2,1//2
62,2,3,1//2
62,2,4,0//1
62,3,1,0//1
62,3,2,0//1
62,3,3,1//2
62,3,4,1//2
62,4,1,1//2
62,4,2,0//1
62,4,3,0//1
62,4,4,1//2
63,1,1,1//4
63,1,2,3//4
63,1,3,0//1
63,1,4,0//1
63,2,1,0//1
63,2,2,1//4
63,2,3,3//4
63,2,4,0//1
63,3,1,0//1
63,3,2,0//1
63,3,3,1//4
63,3,4,3//4
63,4,1,3//4
63,4,2,0//1
63,4,3,0//1
63,4,4,1//4
64,1,1,1//4
64,1,2,3//4
64,1,3,0//1
64,1,4,0//1
64,2,1,0//1
64,2,2,1//4
64,2,3,3//4
64,2,4,0//1
64,3,1,0//1
64,3,2,0//1
64,3,3,1//4
64,3,4,3//4
64,4,1,3//4
64,4,2,0//1
64,4,3,0//1
64,4,4,1//4
65,1,1,3//4
65,1,2,1//4
