trial_id,project_id,candidate_id,requirements,requirement_count,duration,operates_during_research,admission_probability,research_cost
1,project_1,candidate_1,module_3,1,1,true,1//4,2//1
1,project_2,candidate_2,module_3,1,1,true,1//4,2//1
2,project_1,candidate_1,module_1;module_2;module_4,3,3,true,3//4,4//1
2,project_2,candidate_2,module_2;module_3;module_4,3,3,true,3//4,4//1
3,project_1,candidate_1,module_2;module_3,2,2,true,1//2,4//1
3,project_2,candidate_2,module_2;module_5,2,2,true,1//2,4//1
4,project_1,candidate_1,module_2;module_3;module_4,3,3,true,1//4,4//1
4,project_2,candidate_2,module_1;module_2;module_4,3,3,true,1//4,4//1
5,project_1,candidate_1,module_1;module_2,2,3,true,1//2,0//1
5,project_2,candidate_2,module_1;module_2,2,3,true,1//2,0//1
6,project_1,candidate_1,module_1;module_2;module_3,3,3,true,3//4,4//1
6,project_2,candidate_2,module_1;module_2;module_3,3,3,true,3//4,4//1
7,project_1,candidate_1,module_1,1,3,true,1//4,0//1
7,project_2,candidate_2,module_1,1,3,true,1//4,0//1
8,project_1,candidate_1,module_1;module_2;module_3,3,2,true,1//4,4//1
8,project_2,candidate_2,module_1;module_2;module_3,3,2,true,1//4,4//1
9,project_1,candidate_1,module_1;module_2,2,3,true,1//2,0//1
9,project_2,candidate_2,module_2;module_3,2,3,true,1//2,0//1
10,project_1,candidate_1,module_2;module_4,2,1,true,3//4,2//1
10,project_2,candidate_2,module_1;module_4,2,1,true,3//4,2//1
11,project_1,candidate_1,module_1;module_3,2,2,true,3//4,2//1
11,project_2,candidate_2,module_2;module_3,2,2,true,3//4,2//1
12,project_1,candidate_1,module_3,1,2,true,1//4,2//1
12,project_2,candidate_2,module_2,1,2,true,1//4,2//1
13,project_1,candidate_1,module_2,1,3,true,1//2,0//1
13,project_2,candidate_2,module_4,1,3,true,1//2,0//1
14,project_1,candidate_1,module_3;module_4,2,2,true,1//4,4//1
14,project_2,candidate_2,module_1;module_4,2,2,true,1//4,4//1
15,project_1,candidate_1,module_2;module_3,2,2,true,1//4,0//1
15,project_2,candidate_2,module_1;module_3,2,2,true,1//4,0//1
16,project_1,candidate_1,module_5,1,1,true,3//4,2//1
16,project_2,candidate_2,module_3,1,1,true,3//4,2//1
17,project_1,candidate_1,module_1;module_2,2,2,true,1//2,4//1
17,project_2,candidate_2,module_1;module_3,2,2,true,1//2,4//1
18,project_1,candidate_1,module_1;module_2,2,1,true,3//4,0//1
18,project_2,candidate_2,module_1;module_2,2,1,true,3//4,0//1
19,project_1,candidate_1,module_1;module_2;module_3,3,3,true,1//2,0//1
19,project_2,candidate_2,module_1;module_2;module_3,3,3,true,1//2,0//1
20,project_1,candidate_1,module_1;module_2;module_3,3,2,true,1//4,2//1
20,project_2,candidate_2,module_1;module_2;module_3,3,2,true,1//4,2//1
21,project_1,candidate_1,module_1;module_2,2,3,true,1//4,4//1
21,project_2,candidate_2,module_1;module_2,2,3,true,1//4,4//1
22,project_1,candidate_1,module_1;module_3,2,3,true,3//4,2//1
22,project_2,candidate_2,module_1;module_3,2,3,true,3//4,2//1
23,project_1,candidate_1,module_1;module_2;module_3,3,2,true,1//2,4//1
23,project_2,candidate_2,module_1;module_2;module_3,3,2,true,1//2,4//1
24,project_1,candidate_1,module_2,1,1,true,3//4,4//1
24,project_2,candidate_2,module_5,1,1,true,3//4,4//1
25,project_1,candidate_1,module_2,1,1,true,1//4,2//1
25,project_2,candidate_2,module_1,1,1,true,1//4,2//1
26,project_1,candidate_1,module_2;module_3,2,1,true,1//2,2//1
26,project_2,candidate_2,module_2;module_3,2,1,true,1//2,2//1
27,project_1,candidate_1,module_1,1,1,true,1//2,2//1
27,project_2,candidate_2,module_2,1,1,true,1//2,2//1
28,project_1,candidate_1,module_2,1,2,true,3//4,2//1
28,project_2,candidate_2,module_1,1,2,true,3//4,2//1
29,project_1,candidate_1,module_2;module_3,2,1,true,1//2,2//1
29,project_2,candidate_2,module_1;module_2,2,1,true,1//2,2//1
30,project_1,candidate_1,module_1;module_2;module_4,3,1,true,1//4,0//1
30,project_2,candidate_2,module_1;module_3;module_4,3,1,true,1//4,0//1
31,project_1,candidate_1,module_1;module_2,2,3,true,3//4,0//1
31,project_2,candidate_2,module_1;module_3,2,3,true,3//4,0//1
32,project_1,candidate_1,module_2;module_3;module_4,3,2,true,1//4,4//1
32,project_2,candidate_2,module_1;module_2;module_4,3,2,true,1//4,4//1
33,project_1,candidate_1,module_1;module_2;module_3,3,1,true,3//4,0//1
33,project_2,candidate_2,module_1;module_2;module_3,3,1,true,3//4,0//1
34,project_1,candidate_1,module_1,1,1,true,1//2,0//1
34,project_2,candidate_2,module_2,1,1,true,1//2,0//1
35,project_1,candidate_1,module_1,1,1,true,1//4,2//1
35,project_2,candidate_2,module_3,1,1,true,1//4,2//1
36,project_1,candidate_1,module_2;module_3;module_4,3,2,true,1//2,2//1
36,project_2,candidate_2,module_1;module_2;module_3,3,2,true,1//2,2//1
37,project_1,candidate_1,module_1;module_2;module_3,3,3,true,1//2,0//1
37,project_2,candidate_2,module_1;module_2;module_3,3,3,true,1//2,0//1
38,project_1,candidate_1,module_1;module_2;module_3,3,1,true,3//4,0//1
38,project_2,candidate_2,module_1;module_2;module_3,3,1,true,3//4,0//1
