trial_id,method,source_size,retained_size,removed_count,library_reduction,budget_kind,budget_fraction,budget_amount,passive_value,research_option_premium,total_value,signed_operational_loss,signed_generative_loss,signed_total_dynamic_loss,operational_loss,generative_loss,total_dynamic_loss,future_value_loss,retained_ids,decomposition_gate
1,frontier_only,5,2,3,3//5,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2,true
1,innovation_safe,5,5,0,0//1,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_2;strategy_3;strategy_4,true
1,approx_operational,5,2,3,3//5,passive_value,1//10,35//32,1925//192,0//1,1925//192,175//192,0//1,175//192,175//192,0//1,175//192,true,inactive;strategy_3,true
1,approx_generative,5,1,4,4//5,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
2,frontier_only,5,2,3,3//5,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1,true
2,innovation_safe,5,4,1,1//5,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_3;strategy_4,true
2,approx_operational,5,2,3,3//5,passive_value,1//10,35//32,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1,true
2,approx_generative,5,1,4,4//5,research_option_premium,1//20,0//1,0//1,0//1,0//1,175//16,0//1,175//16,175//16,0//1,175//16,true,inactive,true
3,frontier_only,5,3,2,2//5,none,0//1,0//1,1225//128,0//1,1225//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_2,true
3,innovation_safe,5,4,1,1//5,none,0//1,0//1,1225//128,0//1,1225//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_2;strategy_4,true
3,approx_operational,5,3,2,2//5,passive_value,1//10,245//256,1225//128,0//1,1225//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_2,true
3,approx_generative,5,1,4,4//5,research_option_premium,1//20,0//1,0//1,0//1,0//1,1225//128,0//1,1225//128,1225//128,0//1,1225//128,true,inactive,true
4,frontier_only,5,3,2,2//5,none,0//1,0//1,1225//128,0//1,1225//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_4,true
4,innovation_safe,5,3,2,2//5,none,0//1,0//1,1225//128,0//1,1225//128,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_2;strategy_4,true
4,approx_operational,5,3,2,2//5,passive_value,1//10,245//256,2275//256,0//1,2275//256,175//256,0//1,175//256,175//256,0//1,175//256,true,inactive;strategy_2;strategy_3,true
4,approx_generative,5,1,4,4//5,research_option_premium,1//20,0//1,0//1,0//1,0//1,1225//128,0//1,1225//128,1225//128,0//1,1225//128,true,inactive,true
5,frontier_only,5,2,3,3//5,none,0//1,0//1,1225//128,0//1,1225//128,0//1,27//256,27//256,0//1,27//256,27//256,true,inactive;strategy_1,true
5,innovation_safe,5,3,2,2//5,none,0//1,0//1,1225//128,27//256,2477//256,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_1;strategy_4,true
5,approx_operational,5,2,3,3//5,passive_value,1//10,245//256,1225//128,0//1,1225//128,0//1,27//256,27//256,0//1,27//256,27//256,true,inactive;strategy_1,true
5,approx_generative,5,2,3,3//5,research_option_premium,1//20,27//5120,525//128,135//256,1185//256,175//32,-27//64,323//64,175//32,0//1,323//64,true,inactive;strategy_3,true
6,frontier_only,5,2,3,3//5,none,0//1,0//1,175//16,0//1,175//16,0//1,0//1,0//1,0//1,0//1,0//1,false,inactive;strategy_4,true
