trial_id,seed,belief_count,strategy_count,module_count,module_overlap,actual_module_overlap,closure_structure,source_closure_size,frontier_density,actual_frontier_density,candidate_quality,actual_candidate_quality,generator_complementarity,research_cost,project_delay,admission_probability,regime_persistence,discount_factor,horizon,deletion_order,source_passive_value,source_research_option_premium,source_total_value,frontier_only_future_value_loss,frontier_only_total_dynamic_loss,active_carrier_count,operationally_redundant_carrier_count,dominated_generatively_valuable_count,dominated_generatively_valuable_fraction,dominated_generatively_valuable_conditional_fraction,frontier_closure_J,interaction_classification,genuine_closure_contrast,high_rich_value,high_poor_value,low_rich_value,low_poor_value,all_decomposition_gates,frontier_passive_gate,safe_value_gate,operational_budget_gate,generative_budget_gate,theorem_evidence,evidence_class
1,2360913233,3,5,4,low,0//1,identity,4,3//4,3//4,1//1,23//24,1,2//1,1,1//4,1//2,3//4,4,strategy_1;strategy_4;strategy_2;strategy_3,175//16,0//1,175//16,false,0//1,4,4,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
2,2241695188,4,5,4,medium,4//9,identity,4,3//4,11//16,5//4,83//64,3,4//1,3,3//4,1//4,3//4,4,strategy_2;strategy_1;strategy_4;strategy_3,175//16,0//1,175//16,false,0//1,4,4,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
3,3020151134,2,5,5,low,2//9,blocks,5,1//4,1//4,5//4,115//96,2,4//1,2,1//2,1//2,3//4,4,strategy_3;strategy_2;strategy_1;strategy_4,1225//128,0//1,1225//128,false,0//1,4,2,0,0//1,0//1,0//1,separable,true,1225//128,1225//128,1225//256,1225//256,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
4,388315961,4,5,4,high,7//12,identity,4,1//4,3//8,5//4,77//64,3,4//1,3,1//4,1//2,3//4,4,strategy_1;strategy_4;strategy_2;strategy_3,1225//128,0//1,1225//128,false,0//1,4,3,0,0//1,0//1,0//1,separable,false,1225//128,1225//128,1225//256,1225//256,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
5,3964027497,2,5,4,low,0//1,hierarchy,4,1//4,3//8,1//1,53//48,2,0//1,3,1//2,1//4,3//4,4,strategy_4;strategy_2;strategy_1;strategy_3,1225//128,27//256,2477//256,true,27//256,4,3,0,0//1,0//1,-189//512,substitution,true,2477//256,1225//128,2693//512,1225//256,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
6,4106816449,4,5,3,medium,4//9,hierarchy,3,1//2,3//4,1//1,31//32,3,4//1,3,3//4,3//4,3//4,4,strategy_3;strategy_4;strategy_1;strategy_2,175//16,0//1,175//16,false,0//1,4,3,0,0//1,0//1,0//1,separable,true,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
7,4178138131,4,6,3,medium,7//15,blocks,3,3//4,7//10,5//4,41//32,1,0//1,3,1//4,1//2,3//4,4,strategy_1;strategy_2;strategy_5;strategy_4;strategy_3,175//16,81//512,5681//512,false,0//1,5,5,0,0//1,0//1,0//1,separable,false,5681//512,5681//512,2989//512,2989//512,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
8,1105679915,2,4,4,high,2//3,blocks,4,3//4,2//3,5//4,41//32,3,4//1,2,1//4,1//2,3//4,4,strategy_2;strategy_1;strategy_3,175//16,0//1,175//16,false,0//1,3,3,0,0//1,0//1,0//1,separable,false,175//16,175//16,175//32,175//32,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
9,4215303590,4,4,3,high,5//9,hierarchy,3,3//4,2//3,1//1,63//64,2,0//1,3,1//2,1//2,3//4,4,strategy_3;strategy_2;strategy_1,175//16,135//4096,44935//4096,false,0//1,3,2,0,0//1,0//1,0//1,separable,false,44935//4096,44935//4096,377//64,377//64,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
10,453727762,4,6,4,low,1//10,identity,4,1//4,7//20,5//4,29//24,2,2//1,1,3//4,1//2,3//4,4,strategy_2;strategy_1;strategy_5;strategy_3;strategy_4,2625//256,0//1,2625//256,false,0//1,5,4,0,0//1,0//1,-13725//32768,substitution,true,2625//256,2625//256,228623//32768,107449//16384,true,true,true,true,true,false,randomized finite-model robustness diagnostic; not theorem evidence
