factor,level,trial_count,frontier_positive_loss_count,frontier_positive_loss_frequency,mean_frontier_signed_loss,mean_frontier_compression_ratio,innovation_safe_positive_loss_count,innovation_safe_positive_loss_frequency,mean_innovation_safe_compression_ratio,silent_generative_asset_count,active_asset_count,silent_generative_asset_frequency,substitution_count,complementarity_count,zero_interaction_count,substitution_frequency,complementarity_frequency,zero_interaction_frequency,primitive_predicate_count
frontier_density,sparse,512,196,49//128,20747551//33554432,1//2,0,0//1,1//6,196,2560,49//640,127,71,314,127//512,71//512,157//256,256
frontier_density,dense,512,202,101//256,15666619//25165824,1//3,0,0//1,1//12,192,2560,3//40,129,70,313,129//512,35//256,313//512,256
module_overlap,low,512,201,201//512,62180093//100663296,5//12,0,0//1,0//1,191,2560,191//2560,127,72,313,127//512,9//64,313//512,256
module_overlap,high,512,197,197//512,15682259//25165824,5//12,0,0//1,1//4,197,2560,197//2560,129,69,314,129//512,69//512,157//256,256
module_complementarity,weak,512,199,199//512,62842051//100663296,5//12,0,0//1,1//8,194,2560,97//1280,127,72,313,127//512,9//64,313//512,256
module_complementarity,strong,512,199,199//512,10344513//16777216,5//12,0,0//1,1//8,194,2560,97//1280,129,69,314,129//512,69//512,157//256,256
project_cost,low,512,293,293//512,7603045//8388608,5//12,0,0//1,1//8,286,2560,143//1280,193,97,222,193//512,97//512,111//256,256
project_cost,high,512,105,105//512,33672589//100663296,5//12,0,0//1,1//8,102,2560,51//1280,63,44,405,63//512,11//128,405//512,256
duration,short,512,300,75//128,117763133//100663296,5//12,0,0//1,1//8,292,2560,73//640,192,107,213,3//8,107//512,213//512,256
duration,long,512,98,49//256,1786499//25165824,5//12,0,0//1,1//8,96,2560,3//80,64,34,414,1//8,17//256,207//256,256
admission,low,512,111,111//512,1482493//8388608,5//12,0,0//1,1//8,108,2560,27//640,64,46,402,1//8,23//256,201//256,256
admission,high,512,287,287//512,107119213//100663296,5//12,0,0//1,1//8,280,2560,7//64,192,95,225,3//8,95//512,225//512,256
persistence,low,512,196,49//128,7662967//12582912,5//12,0,0//1,1//8,190,2560,19//256,128,68,316,1//4,17//128,79//128,256
persistence,high,512,202,101//256,63605393//100663296,5//12,0,0//1,1//8,198,2560,99//1280,128,73,311,1//4,73//512,311//512,256
