scope,factor,level,interaction_sign,count,denominator,exact_frequency,simulation_only
overall,,,substitution,256,1024,1//4,true
overall,,,complementarity,141,1024,141//1024,true
overall,,,zero,627,1024,627//1024,true
primitive_predicate,computed_primitive_predicate,false,substitution,1,512,1//512,true
primitive_predicate,computed_primitive_predicate,false,complementarity,141,512,141//512,true
primitive_predicate,computed_primitive_predicate,false,zero,370,512,185//256,true
primitive_predicate,computed_primitive_predicate,true,substitution,255,512,255//512,true
primitive_predicate,computed_primitive_predicate,true,complementarity,0,512,0//1,true
primitive_predicate,computed_primitive_predicate,true,zero,257,512,257//512,true
factor,frontier_density,dense,substitution,129,512,129//512,true
factor,frontier_density,dense,complementarity,70,512,35//256,true
factor,frontier_density,dense,zero,313,512,313//512,true
factor,frontier_density,sparse,substitution,127,512,127//512,true
factor,frontier_density,sparse,complementarity,71,512,71//512,true
factor,frontier_density,sparse,zero,314,512,157//256,true
factor,module_overlap,high,substitution,129,512,129//512,true
factor,module_overlap,high,complementarity,69,512,69//512,true
factor,module_overlap,high,zero,314,512,157//256,true
factor,module_overlap,low,substitution,127,512,127//512,true
factor,module_overlap,low,complementarity,72,512,9//64,true
factor,module_overlap,low,zero,313,512,313//512,true
factor,module_complementarity,strong,substitution,129,512,129//512,true
factor,module_complementarity,strong,complementarity,69,512,69//512,true
factor,module_complementarity,strong,zero,314,512,157//256,true
factor,module_complementarity,weak,substitution,127,512,127//512,true
factor,module_complementarity,weak,complementarity,72,512,9//64,true
factor,module_complementarity,weak,zero,313,512,313//512,true
factor,project_cost,high,substitution,63,512,63//512,true
factor,project_cost,high,complementarity,44,512,11//128,true
factor,project_cost,high,zero,405,512,405//512,true
factor,project_cost,low,substitution,193,512,193//512,true
factor,project_cost,low,complementarity,97,512,97//512,true
factor,project_cost,low,zero,222,512,111//256,true
factor,duration,long,substitution,64,512,1//8,true
factor,duration,long,complementarity,34,512,17//256,true
factor,duration,long,zero,414,512,207//256,true
factor,duration,short,substitution,192,512,3//8,true
factor,duration,short,complementarity,107,512,107//512,true
factor,duration,short,zero,213,512,213//512,true
factor,admission,high,substitution,192,512,3//8,true
factor,admission,high,complementarity,95,512,95//512,true
factor,admission,high,zero,225,512,225//512,true
factor,admission,low,substitution,64,512,1//8,true
factor,admission,low,complementarity,46,512,23//256,true
factor,admission,low,zero,402,512,201//256,true
factor,persistence,high,substitution,128,512,1//4,true
factor,persistence,high,complementarity,73,512,73//512,true
factor,persistence,high,zero,311,512,311//512,true
factor,persistence,low,substitution,128,512,1//4,true
factor,persistence,low,complementarity,68,512,17//128,true
factor,persistence,low,zero,316,512,79//128,true
