trial_id,grid,point_id,budget_fraction,budget,optimal_total_value,normalized_total_value,optimal_masks,optimal_library_ids,optimal_burdens,operational_values,generative_values,optimizer_count,feasible_library_count,capacity_feasible_gate,enumeration_certificate,next_point_id,next_budget,forward_shadow_value
1,registered,B0,0//1,0//1,0//1,0//1,0,inactive,0//1,0//1,0//1,1,1,true,complete-enumeration:32,B25,5//2,175//48
1,registered,B25,1//4,5//2,875//96,112000//256843,4;16,base_3;inactive|frontier_addition;inactive,1//1;2//1,875//96,0//1,2,5,true,complete-enumeration:32,B50,5//1,455//128
1,registered,B50,1//2,5//1,13825//768,221200//256843,19,base_1;base_2;frontier_addition;inactive,5//1,13825//768,0//1,1,19,true,complete-enumeration:32,B75,15//2,22349//40960
1,registered,B75,3//4,15//2,951847//49152,951847//1027372,26,base_2;closure_carrier;frontier_addition;inactive,6//1,175//12,78349//16384,1,27,true,complete-enumeration:32,B100,10//1,5035//8192
1,registered,B100,1//1,10//1,256843//12288,1//1,27;31,base_1;base_2;closure_carrier;frontier_addition;inactive|base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,8//1;10//1,13825//768,11881//4096,2,32,true,complete-enumeration:32,,,
1,attainable,A00,,0//1,0//1,0//1,0,inactive,0//1,0//1,0//1,1,1,true,complete-enumeration:32,A01,1//1,875//96
1,attainable,A01,,1//1,875//96,112000//256843,16,frontier_addition;inactive,1//1,875//96,0//1,1,2,true,complete-enumeration:32,A02,2//1,0//1
1,attainable,A02,,2//1,875//96,112000//256843,4;16,base_3;inactive|frontier_addition;inactive,1//1;2//1,875//96,0//1,2,5,true,complete-enumeration:32,A03,3//1,175//32
1,attainable,A03,,3//1,175//12,179200//256843,18,base_2;frontier_addition;inactive,3//1,175//12,0//1,1,9,true,complete-enumeration:32,A04,4//1,124277//49152
1,attainable,A04,,4//1,280359//16384,841077//1027372,24,closure_carrier;frontier_addition;inactive,4//1,1225//128,123559//16384,1,13,true,complete-enumeration:32,A05,5//1,43723//49152
1,attainable,A05,,5//1,13825//768,221200//256843,19,base_1;base_2;frontier_addition;inactive,5//1,13825//768,0//1,1,19,true,complete-enumeration:32,A06,6//1,22349//16384
1,attainable,A06,,6//1,951847//49152,951847//1027372,26,base_2;closure_carrier;frontier_addition;inactive,6//1,175//12,78349//16384,1,23,true,complete-enumeration:32,A07,7//1,0//1
1,attainable,A07,,7//1,951847//49152,951847//1027372,26,base_2;closure_carrier;frontier_addition;inactive,6//1,175//12,78349//16384,1,27,true,complete-enumeration:32,A08,8//1,25175//16384
