trial_id,method,objective_name,optimal_objective,selected_masks,selected_library_ids,selected_burdens,selected_cardinalities,operational_values,generative_values,total_values,optimizer_count,frontier_preserved,closure_preserved,exact_safe,exact_productive_value_preserved,selected_library_certificate,enumeration_certificate
1,minimum_weight_safe,burden,10//1,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,10//1,6,13825//768,11881//4096,256843//12288,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
1,minimum_cardinality_safe,cardinality,6,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,10//1,6,13825//768,11881//4096,256843//12288,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
1,frontier_only_minimum_weight,burden,5//1,19,base_1;base_2;frontier_addition;inactive,5//1,4,13825//768,0//1,13825//768,1,true,false,false,false,mask=19:base_1;base_2;frontier_addition;inactive,complete-enumeration:32
1,rechecked_safe_pruning_endpoint,registered_deletion_order,10//1,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,10//1,6,13825//768,11881//4096,256843//12288,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
2,minimum_weight_safe,burden,9//1,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1,6,9275//768,403//12288,49601//4096,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
2,minimum_cardinality_safe,cardinality,6,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1,6,9275//768,403//12288,49601//4096,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
2,frontier_only_minimum_weight,burden,3//1,17,base_1;frontier_addition;inactive,3//1,3,9275//768,0//1,9275//768,1,true,false,false,false,mask=17:base_1;frontier_addition;inactive,complete-enumeration:32
2,rechecked_safe_pruning_endpoint,registered_deletion_order,9//1,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1,6,9275//768,403//12288,49601//4096,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
3,minimum_weight_safe,burden,7//1,25,base_1;closure_carrier;frontier_addition;inactive,7//1,4,2275//192,61//256,9283//768,1,true,true,true,true,mask=25:base_1;closure_carrier;frontier_addition;inactive,complete-enumeration:32
3,minimum_cardinality_safe,cardinality,4,25,base_1;closure_carrier;frontier_addition;inactive,7//1,4,2275//192,61//256,9283//768,1,true,true,true,true,mask=25:base_1;closure_carrier;frontier_addition;inactive,complete-enumeration:32
3,frontier_only_minimum_weight,burden,5//1,17,base_1;frontier_addition;inactive,5//1,3,2275//192,0//1,2275//192,1,true,false,false,false,mask=17:base_1;frontier_addition;inactive,complete-enumeration:32
3,rechecked_safe_pruning_endpoint,registered_deletion_order,7//1,25,base_1;closure_carrier;frontier_addition;inactive,7//1,4,2275//192,61//256,9283//768,1,true,true,true,true,mask=25:base_1;closure_carrier;frontier_addition;inactive,complete-enumeration:32
4,minimum_weight_safe,burden,8//1,25,base_1;closure_carrier;frontier_addition;inactive,8//1,4,9275//768,0//1,9275//768,1,true,true,true,true,mask=25:base_1;closure_carrier;frontier_addition;inactive,complete-enumeration:32
4,minimum_cardinality_safe,cardinality,4,25,base_1;closure_carrier;frontier_addition;inactive,8//1,4,9275//768,0//1,9275//768,1,true,true,true,true,mask=25:base_1;closure_carrier;frontier_addition;inactive,complete-enumeration:32
4,frontier_only_minimum_weight,burden,5//1,17,base_1;frontier_addition;inactive,5//1,3,9275//768,0//1,9275//768,1,true,false,false,true,mask=17:base_1;frontier_addition;inactive,complete-enumeration:32
4,rechecked_safe_pruning_endpoint,registered_deletion_order,8//1,25,base_1;closure_carrier;frontier_addition;inactive,8//1,4,9275//768,0//1,9275//768,1,true,true,true,true,mask=25:base_1;closure_carrier;frontier_addition;inactive,complete-enumeration:32
5,minimum_weight_safe,burden,10//1,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,10//1,6,4725//256,0//1,4725//256,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
5,minimum_cardinality_safe,cardinality,6,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,10//1,6,4725//256,0//1,4725//256,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
5,frontier_only_minimum_weight,burden,5//1,21,base_1;base_3;frontier_addition;inactive,5//1,4,4725//256,0//1,4725//256,1,true,false,false,true,mask=21:base_1;base_3;frontier_addition;inactive,complete-enumeration:32
5,rechecked_safe_pruning_endpoint,registered_deletion_order,10//1,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,10//1,6,4725//256,0//1,4725//256,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
6,minimum_weight_safe,burden,9//1,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1,6,2275//128,0//1,2275//128,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
6,minimum_cardinality_safe,cardinality,6,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1,6,2275//128,0//1,2275//128,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
6,frontier_only_minimum_weight,burden,5//1,19,base_1;base_2;frontier_addition;inactive,5//1,4,2275//128,0//1,2275//128,1,true,false,false,true,mask=19:base_1;base_2;frontier_addition;inactive,complete-enumeration:32
6,rechecked_safe_pruning_endpoint,registered_deletion_order,9//1,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1,6,2275//128,0//1,2275//128,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
7,minimum_weight_safe,burden,10//1,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,10//1,6,2275//128,0//1,2275//128,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
7,minimum_cardinality_safe,cardinality,6,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,10//1,6,2275//128,0//1,2275//128,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
7,frontier_only_minimum_weight,burden,5//1,22,base_2;base_3;frontier_addition;inactive,5//1,4,2275//128,0//1,2275//128,1,true,false,false,true,mask=22:base_2;base_3;frontier_addition;inactive,complete-enumeration:32
7,rechecked_safe_pruning_endpoint,registered_deletion_order,10//1,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,10//1,6,2275//128,0//1,2275//128,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
8,minimum_weight_safe,burden,9//1,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1,6,8575//768,17//128,8677//768,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
8,minimum_cardinality_safe,cardinality,6,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1,6,8575//768,17//128,8677//768,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
8,frontier_only_minimum_weight,burden,3//1,17,base_1;frontier_addition;inactive,3//1,3,8575//768,0//1,8575//768,1,true,false,false,false,mask=17:base_1;frontier_addition;inactive,complete-enumeration:32
8,rechecked_safe_pruning_endpoint,registered_deletion_order,9//1,31,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,9//1,6,8575//768,17//128,8677//768,1,true,true,true,true,mask=31:base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,complete-enumeration:32
