trial_id,interval_id,lower_lambda,upper_lambda,lower_optimal_burdens,upper_optimal_burdens,demand_defined,resource_demand_elasticity,channel_defined,operational_contribution,generative_contribution,productive_value_elasticity,channel_decomposition_gate
1,E025_050,1//4,1//2,8//1,8//1,true,0//1,true,0//1,0//1,0//1,true
1,E050_100,1//2,1//1,8//1,6//1,true,-1//4,true,-42000//256843,92475//1027372,-75525//1027372,true
1,E100_200,1//1,2//1,6//1,4//1,true,-1//3,true,-246400//951847,135630//951847,-110770//951847,true
1,E200_400,2//1,4//1,4//1,1//1,true,-3//4,true,-22400//841077,-123559//280359,-393077//841077,true
2,E025_050,1//4,1//2,3//1,3//1,true,0//1,true,0//1,0//1,0//1,true
2,E050_100,1//2,1//1,3//1,1//1,true,-2//3,true,-8//53,0//1,-8//53,true
2,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
2,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
3,E025_050,1//4,1//2,5//1,1//1,true,-4//5,true,-2//13,0//1,-2//13,true
3,E050_100,1//2,1//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
3,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
3,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
4,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
4,E050_100,1//2,1//1,5//1,1//1,true,-4//5,true,-9//53,0//1,-9//53,true
4,E100_200,1//1,2//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
4,E200_400,2//1,4//1,1//1,1//1,true,0//1,true,0//1,0//1,0//1,true
5,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
5,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
5,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-5//27,0//1,-5//27,true
5,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-25//66,0//1,-25//66,true
6,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
6,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
6,E100_200,1//1,2//1,5//1,3//1,true,-2//5,true,-5//26,0//1,-5//26,true
6,E200_400,2//1,4//1,3//1,1//1,true,-2//3,true,-8//21,0//1,-8//21,true
7,E025_050,1//4,1//2,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
7,E050_100,1//2,1//1,5//1,5//1,true,0//1,true,0//1,0//1,0//1,true
