slice_factor,slice_level,n,metric,parameter,defined_n,exact_value
overall,all,1024,greedy_positive_frequency,all,1024,0//1
overall,all,1024,greedy_optimality_gap_mean,all,1024,0//1
overall,all,1024,greedy_optimality_gap_max,all,1024,0//1
overall,all,1024,safe_weight_compression_ratio,all,1024,31//160
overall,all,1024,safe_cardinality_compression_ratio,all,1024,1//8
overall,all,1024,frontier_only_positive_loss_frequency,all,1024,199//512
overall,all,1024,frontier_only_normalized_value_loss,all,1024,277431482744485189502831128393172942583644150588384236809030438522035640278170390421970422840935172660457573765957725748553801250696967435405242928522140984195944483403483789958555129845985165934625904895997877588660147503780041996113606194590723517502636769320454074022343101721086451077755518157677096880723336892156985471514621822876087337736052327025249081542400093831955322347696620051826509935689923115839888755264991678104403419853773408493404692836054561876983669490080829958516650305313834039847255259405409458789300965760357114145798021960068534219855315547208446475593147593441571364701927583050418268090224031438825943357330435048061003903860350737921315923253889507541804281593734117524623725661801940044828664907600807809359196843808288231994073524291170195750207705773925583263334997417443422968036797204274295425116482899495275766831152611893522197189374880214756524281455664576074244028830847019586785723675955402109695404147916632941861807368111960524951088721990445345112498329865504436380057048165580448521730419736999370375524937//7895500831865316757785787661401573546968064958047673284734543327454142146492316921210421671236485317726599680380575845345697273082639737865998857743849699287065141667937224340195518203558111756236424667983235055186430729371542197933614697714228280777730871219355559345060950740806454830258600665971296869791347680308244899362950032302846172824548318217365854579921532753718744762662887454616020573698095156804200143886172276150579600905733551672713590711824186671989908902412755072769754918225382856729160043587816786014210293042158011001333342508846820596315656778735375611085672661132460157202817218823192435405188097754790180970387148187902724027738417633511108342725905363740127433084828176590644536139062355859506139522514155866323670100536758973285084363963925069499047142137217192797706918541838649882844799631882222653173524904300299972160387643258035485572673295991061846398266197063016440384302762430658854897353376132210998367005421580959523261513554079326346092130177737668566806275267576502934143347257473342737368533161506126915214868480
overall,all,1024,registered_capacity_nonconcavity_frequency,all,1024,97//1024
overall,all,1024,attainable_capacity_nonconcavity_frequency,all,1024,921//1024
overall,all,1024,lambda_breakpoint_count,all,1024,1043//256
overall,all,1024,positive_lambda_breakpoint_count,all,1024,787//256
overall,all,1024,normalized_value_capacity,B0,1024,0//1
overall,all,1024,normalized_value_capacity,B25,1024,24911987955449294650356258004411625714311112606003474026540382343866886301448412361642703599529206345597573853711800870637748484916665339598834769264150996743860288240432458025681857016319312046581347371713652694255815937307516987780033681821598364164889023761533491182528182260538378425079566303322228216118523843846614625875194565662277799250268409069811204103327735332460416058228988466058977908183229813954508593701246995140935259902656551092112269380868236544259324411412606515616786827318956375572925565029631390482197360621147153360447263430419148174762013705947638218083824190365758957000504688059919934827703022502360530777047315896188901663538914218467251062221056075692942384836497019125369109142795493495071252585867961469129433525883553203295857658474824568221674459268623106023483240827161351789728562029390713104544318227053132332379398506996250592218773683287089658402083494716512926643986807872610784075647583399696015603555155878108955876816837499835770602967286512189999617775381050544112992923536912291058886679353766311294974293558419680543810562270990701176677014115734822040274322030093937269793091919946134578181277483598085479993234563538758711933559632811911371//34094658146982546288946329928714407950917680336178604463638848822381696745824781244244889361491301943387164065843367939360952787619483834319093600892848303596116575056513671875658708839037859069477967576739855265416077168075827129842690386259416090240144044079576876285629073287543737548865936744328814470006554279227863610090206848198534114404407338561081163854241781167687666957989998375050905953219449697225962398927384372818241036273204108977980716790837477781399095167545853903749022043460818439340474014456669983101413506581689440405140984388335433482445835970520916283776540284736330515165534417343435206673761682486001812586726369057187183526797487933898036009818937403406598801117192272734025760439427432818478738143726286930512913426882757030415605894759493245423406837022363926907681388108213446725678136537066936169724109921338396736511833768918135580628481429628743183987623491842822378004684662744829199137335239744226923630178166631616707185803975620148036741015013372256897142781243774496919690739010757674645133709001595541310546199379386882394910930346547983069546800292547537716791894486578195464344919793309089150620139601367558714707103921788317151702533771100160000
overall,all,1024,normalized_value_capacity,B50,1024,32629736796400214907275559614845178218664826062607143333155537785550706029567296659197581932989624726281200126069164886672465885050108710868738160749229358172027473737899996952244622679880493391678817556536929087215130600889743620732836402543530311510585976774406939596974748197498853410263356751602442376815077318225457193292491346028595518843412635289677878427386698895879825828102379735629764270089382221554373117973711814221566434985252771777220000018839455189463510081206064280866138527662080509177103103089975740754043746879042285146089258839465084613723852489603893466685007810809184383375488959050395954039355309634248254997081188224564200216274956572485639551821340941156756024294128686489075386778226097343404948112540131246953289624324297641757095467367860873405859103467862884646023018421467326518741507219913105336006740153540256907926900156139300474722248086119698390162634942155386105959//35268344947679387451946422657081322576058844723749356853181836465761158487176012891130262646711178227400726712639897366373734326083849882904335901173291410694823038313013940480402091923665013283751205950226760536856800058695713072362848536548775551480223829522118444488578634251510908995360471002420725540133384529219511245098939123264508060771110626689379931320859837138219202885354783799435828123091878058637104030528589217078633194397664140580189790025878021387088628439091485083610652868248997541942380768286398093241928406523728691041644193014432167138291042198527653543724169914214054091663634670092118044720887264153574564573516677693143771720689251565132508269730038798270435097957247065587333799808574139110379094844314714505039197201201374478313507100196268521222501545188470562456107743196784077616618681547172105107211182218911976026540363671987283693853797371237661631206870417789149511680
overall,all,1024,normalized_value_capacity,B75,1024,238604753648580940437801869414309046547394126688350466668107539325954658893654269931048063007429822268747496460828024937115167310497253609219614986762861995128220734040211200001392530203129043333335188325350243144611019089850272728432816840777896945063209217507060426954274699808861069768914041417442734670608354695832351346805653632069//240021570364324077770190074327012754439823959560610156786951739144416194623105863366257950296386049227122674912547453743941678420298990136069242208570934458287513052907945797454626712735543744344379269712494972062765769813167962819964660268357059051067567310466616309265063169581707466733347905410671816681041451411775373392850835210240
overall,all,1024,normalized_value_capacity,B100,1024,1//1
overall,all,1024,registered_capacity_shadow,B0_B25,1024,539342273413//144955146240
overall,all,1024,registered_capacity_shadow,B25_B50,1024,67687297141//57982058496
overall,all,1024,registered_capacity_shadow,B50_B75,1024,40576787303//96636764160
overall,all,1024,registered_capacity_shadow,B75_B100,1024,23893109//452984832
overall,all,1024,resource_demand_elasticity,E025_050,1024,-3954971//28385280
overall,all,1024,operational_elasticity_contribution,E025_050,1024,-19390017910458551936259323814257350018844936788960742022737944575232185135784332487744030366440128792723225526738191759941099603651415816521651470786164060209611120334355413718451686781801493439849576885455310689974004733987610050975182776349144042530669997451087460045065079664774383962677783478030915746924882870807//731515538856222222042607491875396993599436640944707627210847971432384840548649428825165260989766475220942169031621211030015229470853899384581594322830144988307168940681435037960172849990723867540844533231732789156576119823695175994169023292717121440136543046689017045672373454558513701243462035086931037146958753126400
overall,all,1024,generative_elasticity_contribution,E025_050,1024,4407221195249015653850997490473334360506538610097268540617570073031586979546786033888831931860461666096835770634373103787868807414967234484997978006227303212923138417721537378741167524370921870578322674648857391299969680407809874073609385118254726667080638760947985875331602486848198180948456043557370576526325870533279982876421972472854067577500078620674230651865695918437969633829885784548999338788432529578866549616379227659673397//1654027620026148924484324343777967682999222012326414126657141629288326239195342234563942199404127789345827281406501108978318510719644028371653287675969929872688275676878810345079071832889978746992661839928514047519848875336188387548350110444968478878823012470781720504193557153174144646845419435583442709101052782636797290113722634855822774241969430630284219644704396065153279821827314700761732519731459339935619869708961439764316160000
overall,all,1024,productive_value_elasticity,E025_050,1024,-10748513305791470535060745712958640855823735354344107110497273249711102572784915163925813797349988255719677477668492091139029483556912215636502869112685301636983071450140199982206224873186440655791439332407709953680268705205333295531409265300391238427808328428474435633964885999973634883545896847800518586753930781131740913246145765136460621429145463862303693477504669326205613642103230685329433383941065154296661861344850400496734557//450820757342810841752757587865949892277215971965404740137307048627482187414360466350131815786552751784260990743465886078452128288985491490200472180296681129574316387377276688531163119398452194366253084382429708074955871587056467251699220063360417268491422940705804287510826834244644310275084102017916433849669972737486846386238344277415978172053617162472329487648381937677553897546654145334789347063548096765798515650549634425815040000
overall,all,1024,resource_demand_elasticity,E050_100,1024,-4435883//14192640
