trial_id,frontier_density,module_overlap,module_complementarity,project_cost,duration,admission,persistence,method,source_size,retained_size,removed_count,retention_ratio,compression_ratio,frontier_loss,closure_loss_count,passive_value,research_option_premium,total_value,signed_operational_loss,signed_generative_loss,signed_total_dynamic_loss,decomposition_gate,retained_ids
1,dense,low,strong,low,short,high,low,frontier_only,6,4,2,2//3,1//3,0//1,4,13825//768,0//1,13825//768,0//1,11881//4096,11881//4096,true,base_1;base_2;frontier_addition;inactive
1,dense,low,strong,low,short,high,low,innovation_safe,6,6,0,1//1,0//1,0//1,0,13825//768,11881//4096,256843//12288,0//1,0//1,0//1,true,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive
1,dense,low,strong,low,short,high,low,approx_operational,6,4,2,2//3,1//3,0//1,4,13825//768,0//1,13825//768,0//1,11881//4096,11881//4096,true,base_1;base_2;frontier_addition;inactive
1,dense,low,strong,low,short,high,low,approx_generative,6,2,4,1//3,2//3,33//2,3,2275//768,91577//8192,347531//24576,1925//128,-67815//8192,55385//8192,true,closure_carrier;inactive
2,sparse,low,weak,high,short,high,high,frontier_only,6,3,3,1//2,1//2,0//1,3,9275//768,0//1,9275//768,0//1,403//12288,403//12288,true,base_1;frontier_addition;inactive
2,sparse,low,weak,high,short,high,high,innovation_safe,6,6,0,1//1,0//1,0//1,0,9275//768,403//12288,49601//4096,0//1,0//1,0//1,true,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive
2,sparse,low,weak,high,short,high,high,approx_operational,6,2,4,1//3,2//3,5//4,3,175//16,0//1,175//16,875//768,403//12288,4801//4096,true,base_1;inactive
2,sparse,low,weak,high,short,high,high,approx_generative,6,2,4,1//3,2//3,41//4,3,175//64,77071//16384,121871//16384,7175//768,-229601//49152,76533//16384,true,closure_carrier;inactive
3,sparse,high,weak,low,long,high,high,frontier_only,6,3,3,1//2,1//2,0//1,1,2275//192,0//1,2275//192,0//1,61//256,61//256,true,base_1;frontier_addition;inactive
3,sparse,high,weak,low,long,high,high,innovation_safe,6,4,2,2//3,1//3,0//1,0,2275//192,61//256,9283//768,0//1,0//1,0//1,true,base_1;closure_carrier;frontier_addition;inactive
3,sparse,high,weak,low,long,high,high,approx_operational,6,2,4,1//3,2//3,1//1,1,175//16,0//1,175//16,175//192,61//256,883//768,true,base_1;inactive
3,sparse,high,weak,low,long,high,high,approx_generative,6,2,4,1//3,2//3,19//2,3,1225//384,635//512,6805//1536,3325//384,-513//512,11761//1536,true,closure_carrier;inactive
4,sparse,high,strong,low,long,low,low,frontier_only,6,3,3,1//2,1//2,0//1,3,9275//768,0//1,9275//768,0//1,0//1,0//1,true,base_1;frontier_addition;inactive
4,sparse,high,strong,low,long,low,low,innovation_safe,6,4,2,2//3,1//3,0//1,0,9275//768,0//1,9275//768,0//1,0//1,0//1,true,base_1;closure_carrier;frontier_addition;inactive
4,sparse,high,strong,low,long,low,low,approx_operational,6,3,3,1//2,1//2,0//1,3,9275//768,0//1,9275//768,0//1,0//1,0//1,true,base_1;frontier_addition;inactive
4,sparse,high,strong,low,long,low,low,approx_generative,6,1,5,1//6,5//6,53//4,6,0//1,0//1,0//1,9275//768,0//1,9275//768,true,inactive
5,dense,low,strong,high,long,high,high,frontier_only,6,4,2,2//3,1//3,0//1,4,4725//256,0//1,4725//256,0//1,0//1,0//1,true,base_1;base_3;frontier_addition;inactive
5,dense,low,strong,high,long,high,high,innovation_safe,6,6,0,1//1,0//1,0//1,0,4725//256,0//1,4725//256,0//1,0//1,0//1,true,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive
5,dense,low,strong,high,long,high,high,approx_operational,6,4,2,2//3,1//3,0//1,4,4725//256,0//1,4725//256,0//1,0//1,0//1,true,base_1;base_3;frontier_addition;inactive
5,dense,low,strong,high,long,high,high,approx_generative,6,1,5,1//6,5//6,81//4,6,0//1,0//1,0//1,4725//256,0//1,4725//256,true,inactive
6,dense,low,weak,high,long,high,high,frontier_only,6,4,2,2//3,1//3,0//1,2,2275//128,0//1,2275//128,0//1,0//1,0//1,true,base_1;base_2;frontier_addition;inactive
6,dense,low,weak,high,long,high,high,innovation_safe,6,6,0,1//1,0//1,0//1,0,2275//128,0//1,2275//128,0//1,0//1,0//1,true,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive
