trial_id,corner,raw_library_ids,raw_library_valid,frontier,closure,passive_value,research_option_premium,total_value,shared_catalog,shared_closure,raw_compressed_value_gate
1,L00,base_1;base_2;base_3;inactive,true,23//4;23//4;6//1,core_a;core_b;core_c,6125//384,0//1,6125//384,true,true,true
1,L01,base_1;base_2;base_3;closure_carrier;inactive,true,23//4;23//4;6//1,bridge;core_a;core_b;core_c;trigger_a;trigger_b,6125//384,66019//16384,982057//49152,true,true,true
1,L10,base_1;base_2;base_3;frontier_addition;inactive,true,23//4;23//4;33//4,core_a;core_b;core_c,13825//768,0//1,13825//768,true,true,true
1,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,23//4;23//4;33//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,13825//768,11881//4096,256843//12288,true,true,true
2,L00,base_1;base_2;base_3;inactive,true,15//4;17//4;4//1,core_a;core_b;core_c,175//16,0//1,175//16,true,true,true
2,L01,base_1;base_2;base_3;closure_carrier;inactive,true,15//4;17//4;4//1,core_a;core_b;core_c;expansion,175//16,249623//786432,8851223//786432,true,true,true
2,L10,base_1;base_2;base_3;frontier_addition;inactive,true,15//4;17//4;21//4,core_a;core_b;core_c,9275//768,0//1,9275//768,true,true,true
2,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,15//4;17//4;21//4,core_a;core_b;core_c;expansion,9275//768,403//12288,49601//4096,true,true,true
3,L00,base_1;base_2;base_3;inactive,true,4//1;15//4;17//4,core_a;core_b;core_c,175//16,0//1,175//16,true,true,true
3,L01,base_1;base_2;base_3;closure_carrier;inactive,true,4//1;15//4;17//4,core_a;core_b;core_c;expansion,175//16,11//32,361//32,true,true,true
3,L10,base_1;base_2;base_3;frontier_addition;inactive,true,4//1;15//4;21//4,core_a;core_b;core_c,2275//192,0//1,2275//192,true,true,true
3,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,4//1;15//4;21//4,core_a;core_b;core_c;expansion,2275//192,61//256,9283//768,true,true,true
4,L00,base_1;base_2;base_3;inactive,true,15//4;17//4;15//4,core_a;core_b;core_c,8225//768,0//1,8225//768,true,true,true
4,L01,base_1;base_2;base_3;closure_carrier;inactive,true,15//4;17//4;15//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,8225//768,0//1,8225//768,true,true,true
4,L10,base_1;base_2;base_3;frontier_addition;inactive,true,15//4;17//4;21//4,core_a;core_b;core_c,9275//768,0//1,9275//768,true,true,true
4,L11,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,true,15//4;17//4;21//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,9275//768,0//1,9275//768,true,true,true
5,L00,base_1;base_2;base_3;inactive,true,6//1;23//4;25//4,core_a;core_b;core_c,525//32,0//1,525//32,true,true,true
5,L01,base_1;base_2;base_3;closure_carrier;inactive,true,6//1;23//4;25//4,bridge;core_a;core_b;core_c;trigger_a;trigger_b,525//32,0//1,525//32,true,true,true
5,L10,base_1;base_2;base_3;frontier_addition;inactive,true,6//1;8//1;25//4,core_a;core_b;core_c,4725//256,0//1,4725//256,true,true,true
