prefix_n,scope,factor,level,estimand,statistic_kind,event_count,non_event_count,observation_count,exact_sum,estimate,exact_sample_variance,interval_kind,interval_low,interval_high,mcse,warning_code,warning,simulation_precision_only
50,factor,frontier_density,sparse,frontier_positive_loss_frequency,frequency,15,9,24,15//1,5//8,,Wilson descriptive simulation interval,0.427099624427,0.788406324405,,sparse_events;sparse_nonevents,event or nonevent support is below the registered sparse-count threshold,true
50,factor,frontier_density,sparse,mean_positive_frontier_loss,mean,15,9,15,3135635//196608,627127//589824,1006277993963//811748818944,,,,0.287476616964,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
50,factor,frontier_density,sparse,innovation_safe_loss_frequency,frequency,0,24,24,0//1,0//1,,Wilson descriptive simulation interval,1.38777878078e-17,0.137976204675,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
50,factor,frontier_density,sparse,silent_generative_asset_frequency,frequency,15,105,120,15//1,1//8,,Wilson descriptive simulation interval,0.077234972734,0.19602940208,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
50,factor,frontier_density,sparse,substitution_frequency,frequency,15,9,24,15//1,5//8,,Wilson descriptive simulation interval,0.427099624427,0.788406324405,,sparse_events;sparse_nonevents,event or nonevent support is below the registered sparse-count threshold,true
50,factor,frontier_density,sparse,complementarity_frequency,frequency,0,24,24,0//1,0//1,,Wilson descriptive simulation interval,1.38777878078e-17,0.137976204675,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
50,factor,frontier_density,sparse,frontier_only_mean_compression_ratio,mean,24,0,24,12//1,1//2,0//1,,,,0,,,true
50,factor,frontier_density,sparse,innovation_safe_mean_compression_ratio,mean,24,0,24,8//3,1//9,16//621,,,,0.0327648791455,,,true
50,factor,frontier_density,dense,frontier_positive_loss_frequency,frequency,10,16,26,10//1,5//13,,Wilson descriptive simulation interval,0.224285944357,0.574651499149,,sparse_events;sparse_nonevents,event or nonevent support is below the registered sparse-count threshold,true
50,factor,frontier_density,dense,mean_positive_frontier_loss,mean,10,16,10,579949//49152,579949//491520,36597434701//24159191040,,,,0.389210123827,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
50,factor,frontier_density,dense,innovation_safe_loss_frequency,frequency,0,26,26,0//1,0//1,,Wilson descriptive simulation interval,0,0.128728921859,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
50,factor,frontier_density,dense,silent_generative_asset_frequency,frequency,10,120,130,10//1,1//13,,Wilson descriptive simulation interval,0.0423174370861,0.135814653155,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
50,factor,frontier_density,dense,substitution_frequency,frequency,12,14,26,12//1,6//13,,Wilson descriptive simulation interval,0.287558535304,0.645420612531,,sparse_events;sparse_nonevents,event or nonevent support is below the registered sparse-count threshold,true
50,factor,frontier_density,dense,complementarity_frequency,frequency,0,26,26,0//1,0//1,,Wilson descriptive simulation interval,0,0.128728921859,,sparse_events,event or nonevent support is below the registered sparse-count threshold,true
50,factor,frontier_density,dense,frontier_only_mean_compression_ratio,mean,26,0,26,26//3,1//3,0//1,,,,0,,,true
50,factor,frontier_density,dense,innovation_safe_mean_compression_ratio,mean,26,0,26,11//6,11//156,11//1560,,,,0.0164682468957,,,true
50,factor,module_overlap,low,frontier_positive_loss_frequency,frequency,13,18,31,13//1,13//31,,Wilson descriptive simulation interval,0.264155430673,0.592337375046,,sparse_events;sparse_nonevents,event or nonevent support is below the registered sparse-count threshold,true
50,factor,module_overlap,low,mean_positive_frontier_loss,mean,13,18,13,1243321//65536,1243321//851968,2578392986027//1507533520896,,,,0.362718235873,sparse_mean_support,mean support is below the registered Monte Carlo precision threshold,true
