trial_id,batch_id,within_batch_order,principal_cell_id,canonical_index,replicate_id,theorem_regime,boundary_mechanism,frontier_density,module_overlap,module_complementarity,project_cost,duration,admission,persistence,schedule_key,trial_seed,catalog_seed,project_seed,deletion_seed,trial_seed_draw,arithmetic,theorem_evidence,horizon,discount_factor,source_library_ids,source_size,source_closure_size,source_passive_value,source_research_option_premium,source_total_value,realized_frontier_supplier_fraction,realized_module_overlap,descendant_quality,frontier_only_signed_total_dynamic_loss,innovation_safe_signed_total_dynamic_loss,silent_generative_asset_count,active_asset_count,frontier_closure_J,interaction_sign,frontier_only_compression_ratio,innovation_safe_compression_ratio,four_raw_witnesses,all_compressed_states_have_raw_witnesses,raw_compressed_value_comparisons,raw_compressed_values_agree,rectangle_consistency,project_laws_follow_actual_state,frontier_density_gate,module_overlap_gate,frontier_independent_availability,frontier_independent_cost,frontier_independent_generation,frontier_independent_verification,frontier_independent_completion,frontier_independent_primitives,frontier_independent_menus,poor_to_rich_menu_inclusion,antitone_recursive_descendant_gap,nonnegative_rich_exposure,zero_poor_exposure,common_gap_action_value_identities,minimum_rich_exposure,maximum_poor_exposure,computed_primitive_predicate,primitive_interaction_sign_gate,frontier_only_passive_zero_gate,innovation_safe_exact_zero_gate,all_decompositions_exact,all_exact_outputs_rational,all_hard_gates_pass
1,1,1,C038,38,1,primitive_eligible,none,dense,low,strong,low,short,high,low,87607281556355306,88896221981659946,8586167800522669909,3512831314653794819,9036757517036230724,4741128100093410722,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,13825//768,11881//4096,256843//12288,3//4,0//1,14//3,11881//4096,0//1,1,5,-18495//16384,substitution,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
2,1,2,C105,105,1,primitive_eligible,none,sparse,low,weak,high,short,high,high,233724678206544730,3498277895596856488,6883081616334972022,136314480862404494,2419093467911050948,6456930991739391164,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,9275//768,403//12288,49601//4096,1//2,0//1,10//3,403//12288,0//1,1,5,-223831//786432,substitution,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
3,1,3,C115,115,1,primitive_eligible,none,sparse,high,weak,low,long,high,high,476531435313533109,2460065269305029637,3631297257553582253,5113167563275408147,7846288248915081370,8174774615939541214,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,2275//192,61//256,9283//768,1//2,1//1,4//1,61//256,0//1,1,5,-27//256,substitution,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
4,1,4,C023,23,1,primitive_eligible,none,sparse,high,strong,low,long,low,low,568821166051433874,6698470560631988635,8645848541155922826,4470009677930190069,2042297884948670827,11016765804257558461,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,9275//768,0//1,9275//768,1//2,1//1,14//3,0//1,0//1,0,5,0//1,zero,1//2,1//3,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
5,1,5,C126,126,1,primitive_eligible,none,dense,low,strong,high,long,high,high,1063429593103792383,6003298121730580255,1508656677020022050,1617815409092735586,4948910875388848972,1209585814232931144,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,4725//256,0//1,4725//256,3//4,0//1,16//3,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
6,1,6,C122,122,1,primitive_eligible,none,dense,low,weak,high,long,high,high,1271434422082963836,8726577458587224425,2697901784102225107,5587727715739410753,6236163130737927970,12650273022072723919,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,2275//128,0//1,2275//128,3//4,0//1,8//3,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
7,1,7,C062,62,1,primitive_eligible,none,dense,low,strong,high,long,high,low,1393667236385038358,3764105936775036162,7088435667528665215,4067725236111345615,8349966811079766799,11846946544666332882,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,2275//128,0//1,2275//128,3//4,0//1,16//3,0//1,0//1,0,5,0//1,zero,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
8,1,8,C113,113,1,primitive_eligible,none,sparse,low,weak,low,long,high,high,1434971491862265639,490778992412804868,152311022872860728,312000451548055726,1015988231911388979,13140283318259651422,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,8575//768,17//128,8677//768,1//2,0//1,13//3,17//128,0//1,1,5,-27//512,substitution,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
9,1,9,C013,13,1,primitive_eligible,none,sparse,low,strong,high,short,low,low,1495739510134079713,6515261684155880940,9198117929958940461,4049976226511332196,1015623304443813865,10548918792535116349,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,9625//768,0//1,9625//768,1//2,0//1,10//3,0//1,0//1,0,5,0//1,zero,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
10,1,10,C042,42,1,primitive_eligible,none,dense,low,weak,high,short,high,low,1585362262818965037,9101497487769862510,7715053695678875573,2400338238240519684,7838923723269633898,4610922846762351059,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,4,13825//768,0//1,13825//768,3//4,0//1,10//3,0//1,0//1,0,5,-3163//8192,substitution,1//3,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
11,1,11,C109,109,1,primitive_eligible,none,sparse,low,strong,high,short,high,high,1934880438634365868,5056193851948679910,589631954810391109,6776581306365378028,8597295948911091307,4185291587506156629,Rational{BigInt},false,4,3//4,base_1;base_2;base_3;closure_carrier;frontier_addition;inactive,6,6,2975//256,135707//196608,2420507//196608,1//2,0//1,4//1,135707//196608,0//1,1,5,-380805//524288,substitution,1//2,0//1,true,true,1920,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,0//1,0//1,true,true,true,true,true,true,true
