discount,frontier0,frontier1,candidate,old_success,added_success,old_cost,added_cost,old_premium0,old_premium1,added_premium0,added_premium1,closure_increment0,closure_increment1,interaction,classification
1//2,0//1,2//1,4//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,0//1,0//1,0//1,1//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,0//1,0//1,0//1,2//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,0//1,0//1,1//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,0//1,0//1,1//1,1//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,0//1,0//1,1//1,2//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,0//1,0//1,2//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,0//1,0//1,2//1,1//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,0//1,0//1,2//1,2//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,0//1,1//2,0//1,0//1,0//1,0//1,1//1,1//2,1//1,1//2,-1//2,substitutes
1//2,0//1,2//1,4//1,0//1,1//2,0//1,1//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,0//1,1//2,0//1,2//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,0//1,1//2,1//1,0//1,0//1,0//1,1//1,1//2,1//1,1//2,-1//2,substitutes
1//2,0//1,2//1,4//1,0//1,1//2,1//1,1//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,separable
1//2,0//1,2//1,4//1,0//1,1//2,1//1,2//1,0//1,0//1,0//1,0//1,0//1,0//1,0//1,separable
