axis,level,parameter_value,k1_low_value,k1_high_value,k1_low_action,k1_high_action
cost,low,1//16,17//15,13//10,research:scale,research:scale
cost,high,1//4,14//15,11//10,research:scale,research:scale
duration,low,1//1,13//6,17//6,research:scale,research:scale
duration,high,3//1,38//93,335//744,research:scale,research:scale
discount,low,2//5,55//128,339//640,research:scale,research:scale
discount,high,3//5,105//52,4143//1820,research:scale,research:scale
admission,low,2//3,11//12,13//12,research:scale,research:scale
admission,high,4//5,239//228,277//228,research:scale,research:scale
survival,low,3//4,142//219,12086//17739,research:scale,research:scale
survival,high,1//1,1//1,7//6,research:scale,research:scale
