iteration,float64_iteration_increment,float64_bellman_residual,float64_apriori_contraction_bound,float64_aposteriori_contraction_bound
1,5.5625,1.15625,5.5625,2.3125
2,1.15625,0.30859375,2.78125,0.6171875
3,0.30859375,0.1533203125,1.390625,0.306640625
4,0.1533203125,0.076416015625,0.6953125,0.15283203125
5,0.076416015625,0.03814697265625,0.34765625,0.0762939453125
6,0.03814697265625,0.0190582275390625,0.173828125,0.038116455078125
7,0.0190582275390625,0.009525299072265625,0.0869140625,0.01905059814453125
8,0.009525299072265625,0.0047616958618164062,0.04345703125,0.0095233917236328125
9,0.0047616958618164062,0.0023806095123291016,0.021728515625,0.0047612190246582031
10,0.0023806095123291016,0.0011902451515197754,0.0108642578125,0.0023804903030395508
11,0.0011902451515197754,0.00059510767459869385,0.00543212890625,0.0011902153491973877
12,0.00059510767459869385,0.00029755011200904846,0.002716064453125,0.00059510022401809692
13,0.00029755011200904846,0.00014877412468194962,0.0013580322265625,0.00029754824936389923
14,0.00014877412468194962,7.4386829510331154e-05,0.00067901611328125,0.00014877365902066231
15,7.4386829510331154e-05,3.7193356547504663e-05,0.000339508056640625,7.4386713095009327e-05
16,3.7193356547504663e-05,1.8596663721837103e-05,0.0001697540283203125,3.7193327443674207e-05
17,1.8596663721837103e-05,9.2983282229397446e-06,8.487701416015625e-05,1.8596656445879489e-05
18,9.2983282229397446e-06,4.6491632019751705e-06,4.2438507080078125e-05,9.298326403950341e-06
19,4.6491632019751705e-06,2.3245813736139098e-06,2.1219253540039062e-05,4.6491627472278196e-06
20,2.3245813736139098e-06,1.162290629963536e-06,1.0609626770019531e-05,2.3245812599270721e-06
21,1.162290629963536e-06,5.8114530077091331e-07,5.3048133850097656e-06,1.1622906015418266e-06
22,5.8114530077091331e-07,2.9057264683274298e-07,2.6524066925048828e-06,5.8114529366548595e-07
23,2.9057264683274298e-07,1.4528632252819307e-07,1.3262033462524414e-06,2.9057264505638614e-07
24,1.4528632252819307e-07,7.2643161708185744e-08,6.631016731262207e-07,1.4528632341637149e-07
25,7.2643161708185744e-08,3.6321580410003662e-08,3.3155083656311035e-07,7.2643160820007324e-08
26,3.6321580410003662e-08,1.8160790205001831e-08,1.6577541828155518e-07,3.6321580410003662e-08
27,1.8160790205001831e-08,9.0803951025009155e-09,8.2887709140777588e-08,1.8160790205001831e-08
28,9.0803951025009155e-09,4.5401975512504578e-09,4.1443854570388794e-08,9.0803951025009155e-09
29,4.5401975512504578e-09,2.2700987756252289e-09,2.0721927285194397e-08,4.5401975512504578e-09
30,2.2700987756252289e-09,1.1350493878126144e-09,1.0360963642597198e-08,2.2700987756252289e-09
31,1.1350493878126144e-09,5.6752469390630722e-10,5.1804818212985992e-09,1.1350493878126144e-09
32,5.6752469390630722e-10,2.8376234695315361e-10,2.5902409106492996e-09,5.6752469390630722e-10
33,2.8376234695315361e-10,1.4188117347657681e-10,1.2951204553246498e-09,2.8376234695315361e-10
34,1.4188117347657681e-10,7.0940586738288403e-11,6.4756022766232491e-10,1.4188117347657681e-10
35,7.0940586738288403e-11,3.5470293369144201e-11,3.2378011383116245e-10,7.0940586738288403e-11
36,3.5470293369144201e-11,1.7735146684572101e-11,1.6189005691558123e-10,3.5470293369144201e-11
37,1.7735146684572101e-11,8.8675733422860503e-12,8.0945028457790613e-11,1.7735146684572101e-11
38,8.8675733422860503e-12,4.4337866711430252e-12,4.0472514228895307e-11,8.8675733422860503e-12
39,4.4337866711430252e-12,2.2168933355715126e-12,2.0236257114447653e-11,4.4337866711430252e-12
40,2.2168933355715126e-12,1.1084466677857563e-12,1.0118128557223827e-11,2.2168933355715126e-12
41,1.1084466677857563e-12,5.5422333389287814e-13,5.0590642786119133e-12,1.1084466677857563e-12
42,5.5422333389287814e-13,2.7711166694643907e-13,2.5295321393059567e-12,5.5422333389287814e-13
