project,start_state,start_belief,duration,path,terminal_belief,admitted,joint_mass,path_mass,conditional_admission_mass
discover,K0,low,1,low>low,low,failure,3//16,3//4,1//4
discover,K0,low,1,low>low,low,carrier_a,3//8,3//4,1//2
discover,K0,low,1,low>low,low,carrier_b,3//16,3//4,1//4
discover,K0,low,1,low>high,high,failure,1//16,1//4,1//4
discover,K0,low,1,low>high,high,carrier_a,1//8,1//4,1//2
discover,K0,low,1,low>high,high,carrier_b,1//16,1//4,1//4
discover,K0,high,1,high>low,low,failure,1//16,1//4,1//4
discover,K0,high,1,high>low,low,carrier_a,1//8,1//4,1//2
discover,K0,high,1,high>low,low,carrier_b,1//16,1//4,1//4
discover,K0,high,1,high>high,high,failure,3//16,3//4,1//4
discover,K0,high,1,high>high,high,carrier_a,3//8,3//4,1//2
discover,K0,high,1,high>high,high,carrier_b,3//16,3//4,1//4
scale,K1,low,2,low>low>low,low,failure,9//40,9//16,2//5
scale,K1,low,2,low>low>low,low,descendant,27//80,9//16,3//5
scale,K1,low,2,low>low>high,high,descendant,3//16,3//16,1//1
scale,K1,low,2,low>high>low,low,failure,1//40,1//16,2//5
scale,K1,low,2,low>high>low,low,descendant,3//80,1//16,3//5
scale,K1,low,2,low>high>high,high,descendant,3//16,3//16,1//1
scale,K1,high,2,high>low>low,low,failure,1//8,3//16,2//3
scale,K1,high,2,high>low>low,low,descendant,1//16,3//16,1//3
scale,K1,high,2,high>low>high,high,descendant,1//16,1//16,1//1
scale,K1,high,2,high>high>low,low,failure,1//8,3//16,2//3
scale,K1,high,2,high>high>low,low,descendant,1//16,3//16,1//3
scale,K1,high,2,high>high>high,high,descendant,9//16,9//16,1//1
scale,K2,low,2,low>low>low,low,failure,9//40,9//16,2//5
scale,K2,low,2,low>low>low,low,descendant,27//80,9//16,3//5
scale,K2,low,2,low>low>high,high,descendant,3//16,3//16,1//1
scale,K2,low,2,low>high>low,low,failure,1//40,1//16,2//5
scale,K2,low,2,low>high>low,low,descendant,3//80,1//16,3//5
scale,K2,low,2,low>high>high,high,descendant,3//16,3//16,1//1
scale,K2,high,2,high>low>low,low,failure,1//8,3//16,2//3
scale,K2,high,2,high>low>low,low,descendant,1//16,3//16,1//3
scale,K2,high,2,high>low>high,high,descendant,1//16,1//16,1//1
scale,K2,high,2,high>high>low,low,failure,1//8,3//16,2//3
scale,K2,high,2,high>high>low,low,descendant,1//16,3//16,1//3
scale,K2,high,2,high>high>high,high,descendant,9//16,9//16,1//1
