schedule,belief,cell_kind,lower_price,upper_price,lower_inclusive,upper_inclusive,probe_price,optimal_objective,optimal_masks,optimal_libraries,optimal_burdens,selected_mask,selected_library,selected_burden,productive_value,operational_value,generative_value,net_value,library_breakpoint_distance,library_inverse_fragility,minimum_action_margin,action_tie_distance_linf,enumerated_count,ties_complete
equal_active,low,breakpoint,0//1,0//1,true,true,0//1,14//3,4;5;6;7,I+D;I+A+D;I+B+D;I+A+B+D,2//1;3//1;3//1;4//1,4,I+D,2//1,14//3,14//3,0//1,14//3,0//1,,3//16,3//32,8,true
equal_active,low,open_interval,0//1,1229//288,false,false,1229//576,115//288,4,I+D,2//1,4,I+D,2//1,14//3,14//3,0//1,115//288,1229//576,1//1,3//16,3//32,8,true
equal_active,low,breakpoint,1229//288,1229//288,true,true,1229//288,-557//144,0;4,I;I+D,1//1;2//1,0,I,1//1,115//288,0//1,115//288,-557//144,0//1,,3//16,3//32,8,true
equal_active,low,terminal_interval,1229//288,,false,false,1517//288,-701//144,0,I,1//1,0,I,1//1,115//288,0//1,115//288,-701//144,1//1,1517//288,23//96,23//192,8,true
equal_active,high,breakpoint,0//1,0//1,true,true,0//1,22//3,4;5;6;7,I+D;I+A+D;I+B+D;I+A+B+D,2//1;3//1;3//1;4//1,4,I+D,2//1,22//3,22//3,0//1,22//3,0//1,,3//16,3//32,8,true
equal_active,high,open_interval,0//1,2089//288,false,false,2089//576,23//288,4,I+D,2//1,4,I+D,2//1,22//3,22//3,0//1,23//288,2089//576,1//1,3//16,3//32,8,true
equal_active,high,breakpoint,2089//288,2089//288,true,true,2089//288,-1033//144,0;4,I;I+D,1//1;2//1,0,I,1//1,23//288,0//1,23//288,-1033//144,0//1,,3//16,3//32,8,true
equal_active,high,terminal_interval,2089//288,,false,false,2377//288,-1177//144,0,I,1//1,0,I,1//1,23//288,0//1,23//288,-1177//144,1//1,2377//288,245//384,245//768,8,true
carrier_heavy,low,breakpoint,0//1,0//1,true,true,0//1,14//3,4;5;6;7,I+D;I+A+D;I+B+D;I+A+B+D,2//1;4//1;4//1;6//1,4,I+D,2//1,14//3,14//3,0//1,14//3,0//1,,3//16,3//32,8,true
carrier_heavy,low,open_interval,0//1,1229//288,false,false,1229//576,115//288,4,I+D,2//1,4,I+D,2//1,14//3,14//3,0//1,115//288,1229//576,1//1,3//16,3//32,8,true
carrier_heavy,low,breakpoint,1229//288,1229//288,true,true,1229//288,-557//144,0;4,I;I+D,1//1;2//1,0,I,1//1,115//288,0//1,115//288,-557//144,0//1,,3//16,3//32,8,true
carrier_heavy,low,terminal_interval,1229//288,,false,false,1517//288,-701//144,0,I,1//1,0,I,1//1,115//288,0//1,115//288,-701//144,1//1,1517//288,23//96,23//192,8,true
carrier_heavy,high,breakpoint,0//1,0//1,true,true,0//1,22//3,4;5;6;7,I+D;I+A+D;I+B+D;I+A+B+D,2//1;4//1;4//1;6//1,4,I+D,2//1,22//3,22//3,0//1,22//3,0//1,,3//16,3//32,8,true
carrier_heavy,high,open_interval,0//1,2089//288,false,false,2089//576,23//288,4,I+D,2//1,4,I+D,2//1,22//3,22//3,0//1,23//288,2089//576,1//1,3//16,3//32,8,true
carrier_heavy,high,breakpoint,2089//288,2089//288,true,true,2089//288,-1033//144,0;4,I;I+D,1//1;2//1,0,I,1//1,23//288,0//1,23//288,-1033//144,0//1,,3//16,3//32,8,true
carrier_heavy,high,terminal_interval,2089//288,,false,false,2377//288,-1177//144,0,I,1//1,0,I,1//1,23//288,0//1,23//288,-1177//144,1//1,2377//288,245//384,245//768,8,true
descendant_heavy,low,breakpoint,0//1,0//1,true,true,0//1,14//3,4;5;6;7,I+D;I+A+D;I+B+D;I+A+B+D,3//1;4//1;4//1;5//1,4,I+D,3//1,14//3,14//3,0//1,14//3,0//1,,3//16,3//32,8,true
descendant_heavy,low,open_interval,0//1,1229//576,false,false,1229//1152,563//384,4,I+D,3//1,4,I+D,3//1,14//3,14//3,0//1,563//384,1229//1152,1//1,3//16,3//32,8,true
descendant_heavy,low,breakpoint,1229//576,1229//576,true,true,1229//576,-111//64,0;4,I;I+D,1//1;3//1,0,I,1//1,115//288,0//1,115//288,-111//64,0//1,,3//16,3//32,8,true
descendant_heavy,low,terminal_interval,1229//576,,false,false,1805//576,-175//64,0,I,1//1,0,I,1//1,115//288,0//1,115//288,-175//64,1//1,1805//576,23//96,23//192,8,true
descendant_heavy,high,breakpoint,0//1,0//1,true,true,0//1,22//3,4;5;6;7,I+D;I+A+D;I+B+D;I+A+B+D,3//1;4//1;4//1;5//1,4,I+D,3//1,22//3,22//3,0//1,22//3,0//1,,3//16,3//32,8,true
descendant_heavy,high,open_interval,0//1,2089//576,false,false,2089//1152,727//384,4,I+D,3//1,4,I+D,3//1,22//3,22//3,0//1,727//384,2089//1152,1//1,3//16,3//32,8,true
descendant_heavy,high,breakpoint,2089//576,2089//576,true,true,2089//576,-227//64,0;4,I;I+D,1//1;3//1,0,I,1//1,23//288,0//1,23//288,-227//64,0//1,,3//16,3//32,8,true
descendant_heavy,high,terminal_interval,2089//576,,false,false,2665//576,-291//64,0,I,1//1,0,I,1//1,23//288,0//1,23//288,-291//64,1//1,2665//576,245//384,245//768,8,true
