frontier_level,closure_richness,total_value,research_option_premium,research_frequency,interaction,gate_passed
0.25,0,0.945312499905,-1.03945740904e-11,0,0,true
0.5,0,1.89062499981,-2.07891481807e-11,0,0,true
0.75,0,2.83593749971,-3.11839443157e-11,0,0,true
1,0,3.78124999962,-4.15782963614e-11,0,0,true
1.25,0,4.72656249952,-5.19735365856e-11,0,0,true
1.5,0,5.67187499943,-6.23678886313e-11,0,0,true
0.25,0.2,0.945312499905,-1.03945740904e-11,0,0,true
0.5,0.2,1.89062499981,-2.07891481807e-11,0,0,true
0.75,0.2,2.83593749971,-3.11839443157e-11,0,0,true
1,0.2,3.78124999962,-4.15782963614e-11,0,0,true
1.25,0.2,4.72656249952,-5.19735365856e-11,0,0,true
1.5,0.2,5.67187499943,-6.23678886313e-11,0,0,true
0.25,0.4,1.32373307998,0.378420580065,1,-0.1775144,true
0.5,0.4,1.89062499981,-1.7286394538e-11,0.243902439024,0,true
0.75,0.4,2.83593749971,-3.11839443157e-11,0,0,true
1,0.4,3.78124999962,-4.15782963614e-11,0,0,true
1.25,0.4,4.72656249952,-5.19735365856e-11,0,0,true
1.5,0.4,5.67187499943,-6.23678886313e-11,0,0,true
0.25,0.6,2.53942075562,1.5941082557,1,-0.713053060562,true
0.5,0.6,2.86430863935,0.973683639524,1,-0.438438555404,true
0.75,0.6,3.18919652309,0.353259023344,0.780487804878,-0.114725098438,true
1,0.6,3.78125001445,1.47907277537e-08,0.341463414634,0,true
1.25,0.6,4.72656249952,-5.19735365856e-11,0.0731707317073,0,true
1.5,0.6,5.67187499943,-6.23678886313e-11,0,0,true
0.25,0.8,3.45630065116,2.51098815124,1,-0.84996542,true
0.5,0.8,3.74112937525,1.85050437541,1,-0.7850469625,true
0.75,0.8,4.02595809933,1.19002059959,1,-0.4686237,true
1,0.8,4.31078682342,0.529536823757,0.80487804878,-0.1039896875,true
1.25,0.8,4.7266411333,7.86337185579e-05,0.439024390244,0,true
1.5,0.8,5.67187499943,-6.21609430596e-11,0.19512195122,0,true
0.25,1,4.17248276562,3.2271702657,1,-0.367511645,true
0.5,1,4.4260466124,2.53542161257,1,-0.613263755469,true
0.75,1,4.67961045919,1.84367295944,1,-0.4686237,true
1,1,4.93317430597,1.15192430631,1,-0.1039896875,true
1.25,1,5.18673815276,0.460175653183,0.682926829268,0,true
1.5,1,5.67188815657,1.31570800539e-05,0.414634146341,0,true
