duration,gross_descendant_value,normalized_margin,net_innovation_margin,research_cost,margin_fragility,discount_elasticity,survival_elasticity,admission_elasticity,descendant_payoff_elasticity,research_cost_elasticity,absolute_research_cost_elasticity,discount_identity,survival_identity,admission_identity,payoff_identity,cost_identity
1,1//1,1//16,1//16,15//16,16//1,16//1,16//1,16//1,16//1,-15//1,15//1,true,true,true,true,true
1,1//1,1//8,1//8,7//8,8//1,8//1,8//1,8//1,8//1,-7//1,7//1,true,true,true,true,true
1,1//1,1//4,1//4,3//4,4//1,4//1,4//1,4//1,4//1,-3//1,3//1,true,true,true,true,true
1,1//1,3//8,3//8,5//8,8//3,8//3,8//3,8//3,8//3,-5//3,5//3,true,true,true,true,true
1,1//1,1//2,1//2,1//2,2//1,2//1,2//1,2//1,2//1,-1//1,1//1,true,true,true,true,true
1,1//1,5//8,5//8,3//8,8//5,8//5,8//5,8//5,8//5,-3//5,3//5,true,true,true,true,true
1,1//1,3//4,3//4,1//4,4//3,4//3,4//3,4//3,4//3,-1//3,1//3,true,true,true,true,true
1,1//1,7//8,7//8,1//8,8//7,8//7,8//7,8//7,8//7,-1//7,1//7,true,true,true,true,true
1,1//1,1//1,1//1,0//1,1//1,1//1,1//1,1//1,1//1,0//1,0//1,true,true,true,true,true
2,1//1,1//16,1//16,15//16,16//1,32//1,32//1,16//1,16//1,-15//1,15//1,true,true,true,true,true
2,1//1,1//8,1//8,7//8,8//1,16//1,16//1,8//1,8//1,-7//1,7//1,true,true,true,true,true
2,1//1,1//4,1//4,3//4,4//1,8//1,8//1,4//1,4//1,-3//1,3//1,true,true,true,true,true
2,1//1,3//8,3//8,5//8,8//3,16//3,16//3,8//3,8//3,-5//3,5//3,true,true,true,true,true
2,1//1,1//2,1//2,1//2,2//1,4//1,4//1,2//1,2//1,-1//1,1//1,true,true,true,true,true
2,1//1,5//8,5//8,3//8,8//5,16//5,16//5,8//5,8//5,-3//5,3//5,true,true,true,true,true
2,1//1,3//4,3//4,1//4,4//3,8//3,8//3,4//3,4//3,-1//3,1//3,true,true,true,true,true
2,1//1,7//8,7//8,1//8,8//7,16//7,16//7,8//7,8//7,-1//7,1//7,true,true,true,true,true
2,1//1,1//1,1//1,0//1,1//1,2//1,2//1,1//1,1//1,0//1,0//1,true,true,true,true,true
3,1//1,1//16,1//16,15//16,16//1,48//1,48//1,16//1,16//1,-15//1,15//1,true,true,true,true,true
3,1//1,1//8,1//8,7//8,8//1,24//1,24//1,8//1,8//1,-7//1,7//1,true,true,true,true,true
3,1//1,1//4,1//4,3//4,4//1,12//1,12//1,4//1,4//1,-3//1,3//1,true,true,true,true,true
3,1//1,3//8,3//8,5//8,8//3,8//1,8//1,8//3,8//3,-5//3,5//3,true,true,true,true,true
3,1//1,1//2,1//2,1//2,2//1,6//1,6//1,2//1,2//1,-1//1,1//1,true,true,true,true,true
3,1//1,5//8,5//8,3//8,8//5,24//5,24//5,8//5,8//5,-3//5,3//5,true,true,true,true,true
3,1//1,3//4,3//4,1//4,4//3,4//1,4//1,4//3,4//3,-1//3,1//3,true,true,true,true,true
3,1//1,7//8,7//8,1//8,8//7,24//7,24//7,8//7,8//7,-1//7,1//7,true,true,true,true,true
3,1//1,1//1,1//1,0//1,1//1,3//1,3//1,1//1,1//1,0//1,0//1,true,true,true,true,true
4,1//1,1//16,1//16,15//16,16//1,64//1,64//1,16//1,16//1,-15//1,15//1,true,true,true,true,true
4,1//1,1//8,1//8,7//8,8//1,32//1,32//1,8//1,8//1,-7//1,7//1,true,true,true,true,true
4,1//1,1//4,1//4,3//4,4//1,16//1,16//1,4//1,4//1,-3//1,3//1,true,true,true,true,true
4,1//1,3//8,3//8,5//8,8//3,32//3,32//3,8//3,8//3,-5//3,5//3,true,true,true,true,true
4,1//1,1//2,1//2,1//2,2//1,8//1,8//1,2//1,2//1,-1//1,1//1,true,true,true,true,true
4,1//1,5//8,5//8,3//8,8//5,32//5,32//5,8//5,8//5,-3//5,3//5,true,true,true,true,true
4,1//1,3//4,3//4,1//4,4//3,16//3,16//3,4//3,4//3,-1//3,1//3,true,true,true,true,true
4,1//1,7//8,7//8,1//8,8//7,32//7,32//7,8//7,8//7,-1//7,1//7,true,true,true,true,true
4,1//1,1//1,1//1,0//1,1//1,4//1,4//1,1//1,1//1,0//1,0//1,true,true,true,true,true
5,1//1,1//16,1//16,15//16,16//1,80//1,80//1,16//1,16//1,-15//1,15//1,true,true,true,true,true
5,1//1,1//8,1//8,7//8,8//1,40//1,40//1,8//1,8//1,-7//1,7//1,true,true,true,true,true
5,1//1,1//4,1//4,3//4,4//1,20//1,20//1,4//1,4//1,-3//1,3//1,true,true,true,true,true
5,1//1,3//8,3//8,5//8,8//3,40//3,40//3,8//3,8//3,-5//3,5//3,true,true,true,true,true
5,1//1,1//2,1//2,1//2,2//1,10//1,10//1,2//1,2//1,-1//1,1//1,true,true,true,true,true
5,1//1,5//8,5//8,3//8,8//5,8//1,8//1,8//5,8//5,-3//5,3//5,true,true,true,true,true
5,1//1,3//4,3//4,1//4,4//3,20//3,20//3,4//3,4//3,-1//3,1//3,true,true,true,true,true
5,1//1,7//8,7//8,1//8,8//7,40//7,40//7,8//7,8//7,-1//7,1//7,true,true,true,true,true
5,1//1,1//1,1//1,0//1,1//1,5//1,5//1,1//1,1//1,0//1,0//1,true,true,true,true,true
