research_duration,belief_index,belief_coordinate,total_value,operational_value,generative_value,total_discount_derivative,operational_discount_derivative,generative_discount_derivative,total_scaled_sensitivity,operational_scaled_sensitivity,generative_scaled_sensitivity,innovation_duration,operational_elasticity,generative_elasticity,operational_contribution,generative_contribution,action,alternate_action,winning_q,alternate_q,action_margin,action_tie_distance_linf,policy_iterations,policy_equation_residual,bellman_residual,derivative_residual,value_reconstruction_exact,channel_identity_exact,sensitivity_identity_exact,belief_second_difference,scaled_belief_curvature,local_convexity
1,1,0//1,27971295103341259190//3842010443674795399,40885//14116,237762204689121204837925//54233819422913411852284,710236441208244612699817775025310191550//14761044249306198189148052344511569201,1653895525//99630728,46348148661452104825565823058058430197684222875//1470653584598590020497102154865794443918008328,568189152966595690159854220020248153240//14761044249306198189148052344511569201,330779105//24907682,9269629732290420965113164611611686039536844575//367663396149647505124275538716448610979502082,56818915296659569015985422002024815324//10746600791014678324055563239827846681,132311642//28856633,741570378583233677209053168928934883162947566//128947524747035758868393149772745408562610707,254171355191880346627867579//139340024712436244276819516,1853925946458084193022632922322337207907368915//535345830167084130055737839017043479750206884,research:research,continue,27971295103341259190//3842010443674795399,48814618535796685623//7684020887349590798,7127971670885832757//7684020887349590798,7127971670885832757//15368041774699181596,2,0//1,0//1,0//1,true,true,true,,,boundary
1,2,1//4,28699748192594177590//3842010443674795399,48345//14116,219383650587201427295785//54233819422913411852284,712058780941005584820508803022632339550//14761044249306198189148052344511569201,1869498175//99630728,43347189438772728936932452712684610578053984225//1470653584598590020497102154865794443918008328,569647024752804467856407042418105871640//14761044249306198189148052344511569201,373899635//24907682,8669437887754545787386490542536922115610796845//367663396149647505124275538716448610979502082,56964702475280446785640704241810587164//11026473228678366359459768928192090841,149559854//34121901,3467775155101818314954596217014768846244318738//594900664514290704947197348585316076699791147,287305260511238811677155873//142968840292242106092649276,1733887577550909157477298108507384423122159369//549287777522868059121843232513778867165481124,research:research,continue,28699748192594177590//3842010443674795399,203497692659605735651//30736083549398363192,26100292881147685069//30736083549398363192,26100292881147685069//61472167098796726384,2,0//1,0//1,0//1,true,true,true,84590397654932373618606982759442685378767699619813600//23641772244204957075150607317748952722475399290597848959,1353446362478917977897711724151082966060283193917017600//23641772244204957075150607317748952722475399290597848959,convex
1,3,1//2,29450275896202668790//3842010443674795399,56475//14116,198742554744262802481115//54233819422913411852284,714075589313032923394801614812429753550//14761044249306198189148052344511569201,1054724125//49815364,20003105925207483280770394145149816519621868075//735326792299295010248551077432897221959004164,571260471450426338715841291849943802840//14761044249306198189148052344511569201,210944825//12453841,4000621185041496656154078829029963303924373615//183831698074823752562137769358224305489751041,57126047145042633871584129184994380284//11314826756231474820968833644101289721,33751172//7972011,3200496948033197324923263063223970643139498892//538928391282441601266452791677594304153980833,162090444137830414470572035//73353810683488108177264478,800124237008299331230815765805992660784874723//281826106729305093231698640318176100160536722,research:research,continue,29450275896202668790//3842010443674795399,106063995424518476405//15368041774699181596,11737108160292198755//15368041774699181596,11737108160292198755//30736083549398363192,2,0//1,0//1,0//1,true,true,true,1386827547790226625121351773466131039284881955464000//225856445874380075451531205270167507582207328807478703,22189240764643626001941628375458096628558111287424000//225856445874380075451531205270167507582207328807478703,convex
1,4,3//4,30195587173481415990//3842010443674795399,63905//14116,180717231137825868141745//54233819422913411852284,716012986816038973186343209592954187550//14761044249306198189148052344511569201,2303050075//99630728,37341471068493406537445567491471314089524296325//1470653584598590020497102154865794443918008328,572810389452831178549074567674363350040//14761044249306198189148052344511569201,460610015//24907682,7468294213698681307489113498294262817904859265//367663396149647505124275538716448610979502082,57281038945283117854907456767436335004//11601176127340829619477585789205703001,184244006//45104149,2987317685479472522995645399317705127161943706//490049284006887649365650915854369582275699779,353933697618240832771064197//150420416624070788477727036,1493658842739736261497822699658852563580971853//577916811611593779556257425930509365870707364,research:research,continue,30195587173481415990//3842010443674795399,220665873457816649969//30736083549398363192,20898823930034677951//30736083549398363192,20898823930034677951//61472167098796726384,2,0//1,0//1,0//1,true,true,true,106082201479597899819866645657801004320801687449421600//9152763003305637984448647302926862430539168498639750613,1697315223673566397117866330524816069132826999190745600//9152763003305637984448647302926862430539168498639750613,convex
1,5,1//1,30877392967417681590//3842010443674795399,69245//14116,169825265955806785920685//54233819422913411852284,717400674243550143225087501815468119550//14761044249306198189148052344511569201,2406112425//99630728,35958419468345308981598106758896743200784109975//1470653584598590020497102154865794443918008328,573920539394840114580070001452374495640//14761044249306198189148052344511569201,481222485//24907682,7191683893669061796319621351779348640156821995//367663396149647505124275538716448610979502082,57392053939484011458007000145237449564//11863126625426941411915725281817900441,192488994//48873121,2876673557467624718527848540711739456062728798//460513640364773493534297935327874976908004727,123257454206742504918223101//51272285668098398281398292,1438336778733812359263924270355869728031364399//590965971023734741841255792237761292184175524,research:research,continue,30877392967417681590//3842010443674795399,28509834527912127391//3842010443674795399,2367558439505554199//3842010443674795399,2367558439505554199//7684020887349590798,2,0//1,0//1,0//1,true,true,true,,,boundary
2,1,0//1,41903639852022667757575187470//7328971685456697237921950247,40885//14116,291866772791254911493492410477925//103455764311906738210506249686652,2304574178008045846737643050189515663391531292169549225450//53713825966225981475903935567609050820762727335943361009,1653895525//99630728,140769346688773245666117387729365039409144159845920992337175042875//5351547584680397946958823558665982952661588039745537624093484552,1843659342406436677390114440151612530713225033735639380360//53713825966225981475903935567609050820762727335943361009,330779105//24907682,28153869337754649133223477545873007881828831969184198467435008575//1337886896170099486739705889666495738165397009936384406023371138,184365934240643667739011444015161253071322503373563938036//30711058999304899855272590556422170287600140059903780509,132311642//28856633,2252309547020371930657878203669840630546306557534735877394800686//301953000563689024806588924730424966816094504851558396928131571,484854138937141565723158952511437787//208744507215341533059467172118628908,5630773867550929826644695509174601576365766393836839693487001715//1529882582875849333273951417791132950546785663535088631031940276,research:research,continue,41903639852022667757575187470//7328971685456697237921950247,75056659129126149815868608599//14657943370913394475843900494,8750620574919185699281766341//14657943370913394475843900494,8750620574919185699281766341//29315886741826788951687800988,2,0//1,0//1,0//1,true,true,true,,,boundary
2,2,1//4,2598618752164702841784100910//431115981497452778701291191,48345//14116,15839800180062590728310445816665//6085633194818043424147426452156,2331110276399972534830784887512381319052682232394145905450//53713825966225981475903935567609050820762727335943361009,1869498175//99630728,131832314269883398818410241135293950207920830303525214188511009025//5351547584680397946958823558665982952661588039745537624093484552,1864888221119978027864627910009905055242145785915316724360//53713825966225981475903935567609050820762727335943361009,373899635//24907682,26366462853976679763682048227058790041584166060705042837702201805//1337886896170099486739705889666495738165397009936384406023371138,186488822111997802786462791000990505524214578591531672436//32376845535050266703680875856589721924844087021900622109,149559854//34121901,10546585141590671905472819290823516016633666424282017135080880722//1392910839049815304733257966321322753879743149840257818416207243,32238821624912869477229710068723057//12945113903631046001530939624438124,5273292570795335952736409645411758008316833212141008567540440361//1612864345500303794140942970634828796344888838243655462186282676,research:research,continue,2598618752164702841784100910//431115981497452778701291191,321360471545834735904286579843//58631773483653577903375601976,32051678748564850578351143917//58631773483653577903375601976,32051678748564850578351143917//117263546967307155806751203952,2,0//1,0//1,0//1,true,true,true,22002326784213059024300363773186631560938570495083924485128858627604926033573880000//1466142113186775002955595076141730248293832458366937512123996431625174109940236990291,352037228547408944388805820370986104975017127921342791762061738041678816537182080000//1466142113186775002955595076141730248293832458366937512123996431625174109940236990291,convex
2,3,1//2,46589055834252025601720099470//7328971685456697237921950247,56475//14116,243747436220134616882238783919195//103455764311906738210506249686652,2360977656463466660359338264363136988706568431959751245450//53713825966225981475903935567609050820762727335943361009,1054724125//49815364,60959693259964566523225819412775062805272096206967799151768451675//2675773792340198973479411779332991476330794019872768812046742276,1888782125170773328287470611490509590965254745567800996360//53713825966225981475903935567609050820762727335943361009,210944825//12453841,12191938651992913304645163882555012561054419241393559830353690335//668943448085049743369852944833247869082698504968192203011685569,188878212517077332828747061149050959096525474556780099636//34144987106139424190579611789885778488907033372123106909,33751172//7972011,9753550921594330643716131106044010048843535393114847864282952268//1260853865661088337549745418142350163483150205624214200261904257,309201729923723608786285831702424355//116042538739979416154350289060712854,2438387730398582660929032776511002512210883848278711966070738067//850472480733821025402064366145925786924136914796230011741374938,research:research,continue,46589055834252025601720099470//7328971685456697237921950247,171998718658724462815520306645//29315886741826788951687800988,14357504678283639591360091235//29315886741826788951687800988,14357504678283639591360091235//58631773483653577903375601976,2,0//1,0//1,0//1,true,true,true,40394207319953999965087737958488010860684173135510439829784406390779850909815504000//1712261262338283561974468435064014041501596509834813393962349363124401740200117211091,646307317119263999441403807335808173770946770168167037276550502252477614557048064000//1712261262338283561974468435064014041501596509834813393962349363124401740200117211091,convex
2,4,3//4,48937943071315866659267123470//7328971685456697237921950247,63905//14116,222450068835584536772812484367985//103455764311906738210506249686652,2388237951205503940873476552788666724282830560839393185450//53713825966225981475903935567609050820762727335943361009,2303050075//99630728,114236254795779141131064255343488103826237275928828126377092981925//5351547584680397946958823558665982952661588039745537624093484552,1910590360964403152698781242230933379426264448671514548360//53713825966225981475903935567609050820762727335943361009,460610015//24907682,22847250959155828226212851068697620765247455185765625275418596385//1337886896170099486739705889666495738165397009936384406023371138,191059036096440315269878124223093337942626444867151454836//35866479911416574586725588972284826456521724171214599709,184244006//45104149,9138900383662331290485140427479048306098982074306250110167438554//1150687094631083201181358546009670881248665379586544802725531811,675159551594556919321937614419984741//243786144750887785660685572889099308,4569450191831165645242570213739524153049491037153125055083719277//1786701752185904418670884782768754541608459863496653606618129076,research:research,continue,48937943071315866659267123470//7328971685456697237921950247,365904501378239685173406806737//58631773483653577903375601976,25599043192287248100730181023//58631773483653577903375601976,25599043192287248100730181023//117263546967307155806751203952,2,0//1,0//1,0//1,true,true,true,75883893522809475365307977297408363426275921091526353606168298288193576608837784000//1972341865558145022560083689747340569867300520324982128635317734290659237191889227091,1214142296364951605844927636758533814820414737464421657698692772611097225741404544000//1972341865558145022560083689747340569867300520324982128635317734290659237191889227091,convex
2,5,1//1,50886625420021528585652435470//7328971685456697237921950247,69245//14116,210820960069574897275164334241005//103455764311906738210506249686652,2405844399873020939389421087456230415694901531335328505450//53713825966225981475903935567609050820762727335943361009,2406112425//99630728,110454524962448219363619600966192339729132019235353121097120030775//5351547584680397946958823558665982952661588039745537624093484552,1924675519898416751511536869964984332555921225068262804360//53713825966225981475903935567609050820762727335943361009,481222485//24907682,22090904992489643872723920193238467945826403847070624219424006155//1337886896170099486739705889666495738165397009936384406023371138,192467551989841675151153686996498433255592122506826280436//37294663687177879637115753027148897909632961992771806109,192488994//48873121,8836361996995857549089568077295387178330561538828249687769602462//1090532177848392107726606666991087641676124130756618248774978263,705373193394022040945087426781540759//253493576803002533433068125042456108,4418180998497928774544784038647693589165280769414124843884801231//1857847246834348206871109147181524231567205108068092890257258676,research:research,continue,50886625420021528585652435470//7328971685456697237921950247,47940837904038637010124633023//7328971685456697237921950247,173281618587228916207517791//431115981497452778701291191,173281618587228916207517791//862231962994905557402582382,2,0//1,0//1,0//1,true,true,true,,,boundary
