solution,horizon,compressed_state,belief,action
finite_horizon_exact,1,K0,low,continue
finite_horizon_exact,1,K0,high,continue
finite_horizon_exact,1,K1,low,continue
finite_horizon_exact,1,K1,high,continue
finite_horizon_exact,1,K2,low,continue
finite_horizon_exact,1,K2,high,continue
finite_horizon_exact,2,K0,low,continue
finite_horizon_exact,2,K0,high,continue
finite_horizon_exact,2,K1,low,continue
finite_horizon_exact,2,K1,high,continue
finite_horizon_exact,2,K2,low,continue
finite_horizon_exact,2,K2,high,continue
finite_horizon_exact,3,K0,low,continue
finite_horizon_exact,3,K0,high,continue
finite_horizon_exact,3,K1,low,research:scale
finite_horizon_exact,3,K1,high,research:scale
finite_horizon_exact,3,K2,low,continue
finite_horizon_exact,3,K2,high,continue
finite_horizon_exact,4,K0,low,research:discover
finite_horizon_exact,4,K0,high,continue
finite_horizon_exact,4,K1,low,research:scale
finite_horizon_exact,4,K1,high,research:scale
finite_horizon_exact,4,K2,low,continue
finite_horizon_exact,4,K2,high,continue
finite_horizon_exact,5,K0,low,research:discover
finite_horizon_exact,5,K0,high,continue
finite_horizon_exact,5,K1,low,research:scale
finite_horizon_exact,5,K1,high,research:scale
finite_horizon_exact,5,K2,low,continue
finite_horizon_exact,5,K2,high,continue
finite_horizon_exact,6,K0,low,research:discover
finite_horizon_exact,6,K0,high,continue
finite_horizon_exact,6,K1,low,research:scale
finite_horizon_exact,6,K1,high,research:scale
finite_horizon_exact,6,K2,low,continue
finite_horizon_exact,6,K2,high,continue
finite_horizon_exact,7,K0,low,research:discover
finite_horizon_exact,7,K0,high,continue
finite_horizon_exact,7,K1,low,research:scale
finite_horizon_exact,7,K1,high,research:scale
finite_horizon_exact,7,K2,low,continue
finite_horizon_exact,7,K2,high,continue
finite_horizon_exact,8,K0,low,research:discover
finite_horizon_exact,8,K0,high,continue
finite_horizon_exact,8,K1,low,research:scale
finite_horizon_exact,8,K1,high,research:scale
finite_horizon_exact,8,K2,low,continue
finite_horizon_exact,8,K2,high,continue
stationary_exact_policy_iteration,,K0,low,research:discover
stationary_float64_value_iteration,,K0,low,research:discover
stationary_exact_policy_iteration,,K0,high,continue
stationary_float64_value_iteration,,K0,high,continue
stationary_exact_policy_iteration,,K1,low,research:scale
stationary_float64_value_iteration,,K1,low,research:scale
stationary_exact_policy_iteration,,K1,high,research:scale
stationary_float64_value_iteration,,K1,high,research:scale
stationary_exact_policy_iteration,,K2,low,continue
stationary_float64_value_iteration,,K2,low,continue
stationary_exact_policy_iteration,,K2,high,continue
stationary_float64_value_iteration,,K2,high,continue
