"citation_key","authors","title","year","publication_venue","doi_or_stable_identifier","publication_status","source_url","existing_in_references_bib","topic_family","problem_class","exact_proposition_supported","recommended_citation_location","role","subsumption_risk","recommendation"
"Karp1972","Richard M. Karp","Reducibility among Combinatorial Problems","1972","Complexity of Computer Computations","10.1007/978-1-4684-2001-2_9","Published book chapter; primary source","https://link.springer.com/chapter/10.1007/978-1-4684-2001-2_9","no","set-cover complexity","ordinary set-cover decision","SET COVERING is among Karp's classic NP-complete decision problems; the paper may use it only after giving a complete polynomial reduction to the journal subclass.","Sections 2 and 4","foundational","low for the joint semantic claim; decisive against novelty for generic NP-hardness","add for the complexity theorem"
"Johnson1974","David S. Johnson","Approximation Algorithms for Combinatorial Problems","1974","Journal of Computer and System Sciences","10.1016/S0022-0000(74)80044-9","Published peer-reviewed journal article; primary source","https://www.sciencedirect.com/science/article/pii/S0022000074800449","no","set-cover approximation","ordinary unweighted set cover","Provides the early logarithmic greedy approximation analysis for ordinary unweighted set cover; it is not the direct weighted theorem.","Section 2 historical note","foundational","low","optional historical addition; use Chvatal for the algorithm proposed here"
"Lovasz1975","Laszlo Lovasz","On the Ratio of Optimal Integral and Fractional Covers","1975","Discrete Mathematics","10.1016/0012-365X(75)90058-8","Published peer-reviewed journal article; primary source","https://www.sciencedirect.com/science/article/pii/0012365X75900588","no","cover approximation and LP","fractional versus integral cover","The ratio of optimal integral and fractional covers is at most 1+log(d), where d is the maximum degree in the paper's formulation.","Section 2 or 5 if LP lineage is discussed","foundational","low","optional historical addition"
"Chvatal1979","Vasek Chvatal","A Greedy Heuristic for the Set-Covering Problem","1979","Mathematics of Operations Research","10.1287/moor.4.3.233","Published peer-reviewed journal article; primary source","https://pubsonline.informs.org/doi/10.1287/moor.4.3.233","no","weighted set cover, MILP, approximation","positive-cost weighted set cover","Formulates the binary weighted covering model and proves that minimum cost per newly covered element gives an H(d) approximation, d equal to the largest column sum.","Sections 2, 4, and 5","foundational","decisive against novelty for the cover IP and generic weighted greedy guarantee","required addition"
"Feige1998","Uriel Feige","A Threshold of ln n for Approximating Set Cover","1998","Journal of the ACM","10.1145/285055.285059","Published peer-reviewed journal article; primary source","https://doi.org/10.1145/285055.285059","no","set-cover inapproximability","ordinary unweighted set cover","A (1-o(1)) ln(n) approximation threshold holds unless NP has slightly superpolynomial-time algorithms; this is not a plain P != NP assumption.","Section 4 only if a tight threshold is discussed","foundational","low for semantic novelty; decisive against stronger generic approximation claims","conditional addition"
"DinurSteurer2014","Irit Dinur; David Steurer","Analytical Approach to Parallel Repetition","2014","Proceedings of the 46th ACM Symposium on Theory of Computing","10.1145/2591796.2591884","Published peer-reviewed conference paper; primary source","https://arxiv.org/abs/1305.1979","no","set-cover inapproximability","ordinary unweighted set cover","Corollary 1.5 states that for every fixed alpha>0 it is NP-hard to approximate set cover within (1-alpha) ln(n); reduction time depends on alpha.","Section 4 only if modern fixed-alpha hardness is stated","foundational","low for semantic novelty; decisive against generic approximation novelty","conditional addition"
"Wolsey1982","Laurence A. Wolsey","An Analysis of the Greedy Algorithm for the Submodular Set Covering Problem","1982","Combinatorica","10.1007/BF02579435","Published peer-reviewed journal article; primary source","https://link.springer.com/article/10.1007/BF02579435","no","submodular cover","minimum-cost full submodular cover","For nondecreasing submodular integer-valued z with z(empty)=0, greedy has ratio H(max_j z({j})).","Sections 2 and 5 only after proving every assumption","foundational","high if the paper calls general closure submodular without proof","required to police the submodular-cover boundary; cite only if relevant"
"NemhauserWolseyFisher1978","George L. Nemhauser; Laurence A. Wolsey; Marshall L. Fisher","An Analysis of Approximations for Maximizing Submodular Set Functions---I","1978","Mathematical Programming","10.1007/BF01588971","Published peer-reviewed journal article; primary source","https://link.springer.com/article/10.1007/BF01588971","no","maximum coverage and submodular maximization","cardinality-constrained monotone submodular maximization","For normalized nondecreasing submodular maximization under |S|<=K, greedy attains at least 1-((K-1)/K)^K of optimum, tending to 1-1/e.","Section 2 or 6 solely for the budgeted-maximization distinction","foundational","high if maximum coverage is conflated with minimum-cost exact cover","conditional addition"
"GolovinKrause2011","Daniel Golovin; Andreas Krause","Adaptive Submodularity: Theory and Applications in Active Learning and Stochastic Optimization","2011","Journal of Artificial Intelligence Research","10.1613/jair.3278","Published peer-reviewed journal article; primary source","https://www.jair.org/index.php/jair/article/view/10731","yes","adaptive submodularity","adaptive sequential stochastic selection","Adaptive-greedy guarantees require adaptive monotonicity and adaptive submodularity while item outcomes are revealed sequentially.","Section 2","methodological","moderate if the static retention problem is incorrectly described as adaptive submodular","reuse; explicitly distinguish from static one-time retention"
"Beasley1987","John E. Beasley","An Algorithm for Set Covering Problem","1987","European Journal of Operational Research","10.1016/0377-2217(87)90141-X","Published peer-reviewed journal article; primary source","https://www.sciencedirect.com/science/article/pii/037722178790141X","no","exact set-cover algorithms and reduction","ordinary set cover","Combines problem-reduction tests, dual ascent, subgradient optimization, and LP, with reported computational tests up to 400 rows and 4000 columns.","Section 5","methodological","moderate against novelty for generic exact/reduction machinery","required or pair with Fisher-Kedia"
"FisherKedia1990","Marshall L. Fisher; Pradeep Kedia","Optimal Solution of Set Covering/Partitioning Problems Using Dual Heuristics","1990","Management Science","10.1287/mnsc.36.6.674","Published peer-reviewed journal article; primary source","https://pubsonline.informs.org/doi/10.1287/mnsc.36.6.674","no","exact set-cover algorithms","set covering and set partitioning","Gives an exact branch-and-bound approach using dual LP heuristics for set covering/partitioning models.","Section 5","methodological","moderate against novelty for generic exact algorithms","add as exact-algorithm antecedent"
