instance_id,algorithm_id,relative_gap,par2_seconds,solved,record_path,record_sha256
V2-B-N064-R032-C01-X01,cardinality_greedy,4//5,0.675283833,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/cardinality_greedy__mandatory_only.toml,434f9d3fcd2196fc9a15b3e282c7698270fbe312ff804cdb3011b614be24cf24
V2-B-N064-R032-C01-X01,declared_source_order,1//5,0.965414166,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/declared_source_order__mandatory_only.toml,b1d7cc2a6fa4b3f72983567e1769cab90d3408f85a2a183a9c972df719dfd3b4
V2-B-N064-R032-C01-X01,heaviest_safe_first,1//5,0.781877542,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/heaviest_safe_first__mandatory_only.toml,ee040aa0f456071f09f691075cb144562c82a96ccae4173d6a45706e235f3632
V2-B-N064-R032-C01-X01,lightest_safe_first,2//1,0.98239275,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/lightest_safe_first__mandatory_only.toml,d9710c64582ddb7f8350163d42dc81377000763346265685ea4f078833c3dd97
V2-B-N064-R032-C01-X01,maximum_immediate_burden_release,1//5,0.892145292,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/maximum_immediate_burden_release__mandatory_only.toml,2559cd2784e3353b1b7f8f3b395f2b609907db60f9bf5663287cd8e5a8f8a9fe
V2-B-N064-R032-C01-X01,minimum_unique_carrier_exposure,0//1,0.76008825,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/minimum_unique_carrier_exposure__mandatory_only.toml,2ef789529873e71412867941f3f2526917a7e5608a4ee7d4302cf8680b0a6fea
V2-B-N064-R032-C01-X01,multistart_random_rechecked_deletion_32,1//5,5.4739185,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,207193a19af3ffbc8748a569be3ee633d142ec128644351c90e86d8d57c8b5be
V2-B-N064-R032-C01-X01,random_order_rechecked_deletion,1//1,0.8824895,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/random_order_rechecked_deletion__mandatory_only.toml,50ad14cd02d952ecc751a5236df6d0212c4e2c9e03527092e3484c02df1b76eb
V2-B-N064-R032-C01-X01,weighted_greedy,0//1,0.683332834,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/weighted_greedy__mandatory_only.toml,b166b946673ade867039320d654006812c91edf0e117a02fd721d530be9c7f8a
V2-B-N064-R032-C01-X01,weighted_greedy_reverse_delete,0//1,0.517663625,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X01/weighted_greedy_reverse_delete__mandatory_only.toml,87f25199ae40045591f97d9994f799026594ebefcf3cb7ec6da0833bd6d7409c
V2-B-N064-R032-C01-X02,cardinality_greedy,1//1,0.733314291,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/cardinality_greedy__mandatory_only.toml,2bc689c98b62cee76bde510234724ef9328279e4401e3835d6478ff7251081e7
V2-B-N064-R032-C01-X02,declared_source_order,3//5,1.044382834,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/declared_source_order__mandatory_only.toml,af2623097e44c6ab7bb13330a3a63262ba8b54f220dc90b86f10db5682691772
V2-B-N064-R032-C01-X02,heaviest_safe_first,0//1,1.245387125,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/heaviest_safe_first__mandatory_only.toml,3f3b3df56fb8e7ccbe67ac85f32e6d8935f83658726a6b765c43b863ea86550d
V2-B-N064-R032-C01-X02,lightest_safe_first,9//5,1.012704833,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/lightest_safe_first__mandatory_only.toml,d695e817e0e3007cbb18a7f5cdb7a18f954e0e05957fa6c1b2b98527e33835ba
V2-B-N064-R032-C01-X02,maximum_immediate_burden_release,0//1,0.945161042,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/maximum_immediate_burden_release__mandatory_only.toml,31c1d0bd4b69953a0a3d5b1a0aeb72a1bdf0991ad2ca4675c279c5063377d7f0
V2-B-N064-R032-C01-X02,minimum_unique_carrier_exposure,1//5,0.779865125,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/minimum_unique_carrier_exposure__mandatory_only.toml,7c391b191cb821fc775a262ccae74b1a28f983a00a3983ce09fdea921889f609
V2-B-N064-R032-C01-X02,multistart_random_rechecked_deletion_32,0//1,5.721002208,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,11d94b3cbe3d907e74411d2d9457d3888e1aa9d3e3b99b6cdb3f4edd763498cd
V2-B-N064-R032-C01-X02,random_order_rechecked_deletion,6//5,1.036092959,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/random_order_rechecked_deletion__mandatory_only.toml,acc6f47f2fb7160b01f2985c00171295f680b4d507b0e676324eacf12f6c1dd4
V2-B-N064-R032-C01-X02,weighted_greedy,0//1,0.459272375,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/weighted_greedy__mandatory_only.toml,a5d48dbde7c917c858ad01df9a0b01c986af01eedd9afaf52d8bda28553a8d48
V2-B-N064-R032-C01-X02,weighted_greedy_reverse_delete,0//1,0.587753542,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C01-X02/weighted_greedy_reverse_delete__mandatory_only.toml,c13a8b5dc9934da8f455e664c58ec4d17348721dadece4428ca7a475533aa975
V2-B-N064-R032-C02-X01,cardinality_greedy,2//27,0.685840583,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/cardinality_greedy__mandatory_only.toml,e31bdeaaa822d128b2beb9c7106140523fc3ec8fb2802dc635140fb29603a45a
V2-B-N064-R032-C02-X01,declared_source_order,2//9,0.676389125,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/declared_source_order__mandatory_only.toml,bf5c6e8ba4265fc6a7447de1799526a7be7380d48bd80bb414856a91d1eec76a
V2-B-N064-R032-C02-X01,heaviest_safe_first,0//1,1.085587958,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/heaviest_safe_first__mandatory_only.toml,c3a8bd477f2fcc2a32d747172f5ecd5fa3b7b30647d7a4610441c4d13cb1be9e
V2-B-N064-R032-C02-X01,lightest_safe_first,14//27,0.827427917,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/lightest_safe_first__mandatory_only.toml,55640e4679818826478d40972c919ac4644a7db33b374741799178ca5d2b20e4
V2-B-N064-R032-C02-X01,maximum_immediate_burden_release,0//1,0.992507583,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/maximum_immediate_burden_release__mandatory_only.toml,4d790179ea83326dd762bb2777c54b8c5908ea79413c24975d5c894e43c65928
V2-B-N064-R032-C02-X01,minimum_unique_carrier_exposure,1//27,1.104145916,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/minimum_unique_carrier_exposure__mandatory_only.toml,cb0e5b6536f99b177c52c95e392f6b607c395fdf578ab7022f6459d51a022f74
V2-B-N064-R032-C02-X01,multistart_random_rechecked_deletion_32,2//27,5.719500416,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,ffbc5ee32d7cfed3d13fa2ae2b41ed93d031dc8bf2d731a05e14b86a5b315aeb
V2-B-N064-R032-C02-X01,random_order_rechecked_deletion,16//27,0.797104875,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/random_order_rechecked_deletion__mandatory_only.toml,c656da1ec35415094c6d3bab6930dff398edc18f22559e376ae6579f4085ea7f
V2-B-N064-R032-C02-X01,weighted_greedy,1//27,0.692430375,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/weighted_greedy__mandatory_only.toml,ae1507740410ce025d925f18bb20a65bddae414ea6ecc50adb6fbd317c2ca03f
V2-B-N064-R032-C02-X01,weighted_greedy_reverse_delete,0//1,0.532541292,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X01/weighted_greedy_reverse_delete__mandatory_only.toml,d8532681ebe590cdd10176268d1987ac4bc14d74b35a2566f2356c306ddd17cc
V2-B-N064-R032-C02-X02,cardinality_greedy,1//17,0.582930083,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/cardinality_greedy__mandatory_only.toml,d37983289c67b12bb5f58a448048727d76b72796692f8ea51843c4080c790d09
V2-B-N064-R032-C02-X02,declared_source_order,14//17,1.167090042,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/declared_source_order__mandatory_only.toml,9b466176e7a903d70a2959424541e9dbfa359edfe8000325ca7c3dde3e2b9b1a
V2-B-N064-R032-C02-X02,heaviest_safe_first,1//17,0.723823292,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/heaviest_safe_first__mandatory_only.toml,d82f6422817efef1f091d2d6aee263e213bfef5e98baadf8a6412e6f4c0e8ba7
V2-B-N064-R032-C02-X02,lightest_safe_first,14//17,0.824468417,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/lightest_safe_first__mandatory_only.toml,7cdb2e48887c109099ed8bbafe2388d44c0787e2c4eedf4141564c2a76c04d01
V2-B-N064-R032-C02-X02,maximum_immediate_burden_release,1//17,1.135459042,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/maximum_immediate_burden_release__mandatory_only.toml,64b3572908e2ae9fc5eb008c035c701b04bee59a2ae92b895b7bdb4fdb384247
V2-B-N064-R032-C02-X02,minimum_unique_carrier_exposure,1//17,1.058070292,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/minimum_unique_carrier_exposure__mandatory_only.toml,aab6de8be086205eca12d70b8f8a3a06fb3e7ad4bfe8fdfa1edc62e4a01c4708
V2-B-N064-R032-C02-X02,multistart_random_rechecked_deletion_32,0//1,6.190822875,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/multistart_random_rechecked_deletion_32__mandatory_only.toml,539313ff33ab7ba62129a50cf63c0ae7991b4c602119df4f7a7b29811bb54047
V2-B-N064-R032-C02-X02,random_order_rechecked_deletion,0//1,0.484437708,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/random_order_rechecked_deletion__mandatory_only.toml,132c1889abc3202ff9f498bd13a40cb770e3df46b3ddd4e1280bad6cb71c9341
V2-B-N064-R032-C02-X02,weighted_greedy,1//17,0.5894305,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/weighted_greedy__mandatory_only.toml,089b6668f3b805164e008ebae7b9c976f3ef569431193b401970e6b082c15327
V2-B-N064-R032-C02-X02,weighted_greedy_reverse_delete,1//17,0.583543291,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C02-X02/weighted_greedy_reverse_delete__mandatory_only.toml,6f64983e29f35f89016c0ed6ee392163a1e1dd2cffaf539b0172c626ae9e49bc
V2-B-N064-R032-C03-X01,cardinality_greedy,0//1,0.850918583,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X01/cardinality_greedy__mandatory_only.toml,a5a33bb8155f98a542f1d34e9a619fe2cd1d8f99e374ea386af04dacbd064c82
V2-B-N064-R032-C03-X01,declared_source_order,1//10,1.264469541,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X01/declared_source_order__mandatory_only.toml,17d365cd72dacf4b11f027d8fb740832f6ef809f2103639529c0213f53f0a6e9
V2-B-N064-R032-C03-X01,heaviest_safe_first,0//1,0.634309083,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X01/heaviest_safe_first__mandatory_only.toml,9edc3cd42f8b8821343bf03f430f3024f9cc423fd200b0b639ce003ff86100b8
V2-B-N064-R032-C03-X01,lightest_safe_first,1//5,1.015726916,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X01/lightest_safe_first__mandatory_only.toml,df5b7f10df8b078dce3dd718f6ae995cedbbd520f673a0c9edc2195f6bfaa075
V2-B-N064-R032-C03-X01,maximum_immediate_burden_release,0//1,0.636371292,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X01/maximum_immediate_burden_release__mandatory_only.toml,991842dc21ad98e11c32192efc51fdfbf8cdfc0b5b3b1ef3a651a541fa1362d4
V2-B-N064-R032-C03-X01,minimum_unique_carrier_exposure,0//1,0.87869875,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X01/minimum_unique_carrier_exposure__mandatory_only.toml,9c32de944ff8f8dda1ce934f8f0dc8853718cd58b7fc2a5f3a9191eaa6a5d535
V2-B-N064-R032-C03-X01,multistart_random_rechecked_deletion_32,0//1,6.083391083,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X01/multistart_random_rechecked_deletion_32__mandatory_only.toml,7833d02ad35b6c7237de7c303781841fc7b229270696db17261c130b90ee62f8
V2-B-N064-R032-C03-X01,random_order_rechecked_deletion,0//1,0.904575916,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X01/random_order_rechecked_deletion__mandatory_only.toml,623b82a567ae5cda7a2632ecb1f0d6d78c1e2d6a285ab3a0a4127d2e2210a40f
V2-B-N064-R032-C03-X01,weighted_greedy,0//1,0.617688875,true,experiments/algorithmic_compression_v2/results/raw_runs/V2-B-N064-R032-C03-X01/weighted_greedy__mandatory_only.toml,d1e6a71c662a32725d98186816bd6a540b2486ff61c64c6999c497f8dfa8d166
