family,algorithm_id,algorithm,available_n,median_total_checks,q25_total_checks,q75_total_checks,trace_join_key
adversarial,declared_source_order,Declared source order,21,274,72,1058,adversarial|declared_source_order|primary
adversarial,heaviest_safe_first,Heaviest safe first,21,202,68,560,adversarial|heaviest_safe_first|primary
adversarial,lightest_safe_first,Lightest safe first,21,274,62,1058,adversarial|lightest_safe_first|primary
adversarial,maximum_immediate_burden_release,Maximum immediate release,21,202,68,560,adversarial|maximum_immediate_burden_release|primary
adversarial,minimum_unique_carrier_exposure,Minimum unique-carrier exposure,21,274,72,1058,adversarial|minimum_unique_carrier_exposure|primary
adversarial,multistart_random_rechecked_deletion_32,32-start random deletion,21,8768,2222,33856,adversarial|multistart_random_rechecked_deletion_32|primary
adversarial,random_order_rechecked_deletion,Random-order deletion,21,274,68,1058,adversarial|random_order_rechecked_deletion|primary
small_exact,declared_source_order,Declared source order,24,110.0,43.5,201.5,small_exact|declared_source_order|primary
small_exact,heaviest_safe_first,Heaviest safe first,24,110.0,42.0,207.0,small_exact|heaviest_safe_first|primary
small_exact,lightest_safe_first,Lightest safe first,24,110.0,43.5,201.5,small_exact|lightest_safe_first|primary
small_exact,maximum_immediate_burden_release,Maximum immediate release,24,110.0,42.0,207.0,small_exact|maximum_immediate_burden_release|primary
small_exact,minimum_unique_carrier_exposure,Minimum unique-carrier exposure,24,110.0,43.5,207.0,small_exact|minimum_unique_carrier_exposure|primary
small_exact,multistart_random_rechecked_deletion_32,32-start random deletion,24,3474.0,1339.0,6553.0,small_exact|multistart_random_rechecked_deletion_32|primary
small_exact,random_order_rechecked_deletion,Random-order deletion,24,106.0,41.0,201.5,small_exact|random_order_rechecked_deletion|primary
structured,declared_source_order,Declared source order,112,20318.0,4014.0,36654.0,structured|declared_source_order|primary
structured,heaviest_safe_first,Heaviest safe first,112,20318.0,4014.0,36654.0,structured|heaviest_safe_first|primary
structured,lightest_safe_first,Lightest safe first,112,20318.0,4014.0,36654.0,structured|lightest_safe_first|primary
structured,maximum_immediate_burden_release,Maximum immediate release,112,20318.0,4014.0,36654.0,structured|maximum_immediate_burden_release|primary
structured,minimum_unique_carrier_exposure,Minimum unique-carrier exposure,112,20318.0,4014.0,36654.0,structured|minimum_unique_carrier_exposure|primary
structured,multistart_random_rechecked_deletion_32,32-start random deletion,98,129024.0,128440.5,1.172908e6,structured|multistart_random_rechecked_deletion_32|primary
structured,random_order_rechecked_deletion,Random-order deletion,112,20318.0,4014.0,36654.0,structured|random_order_rechecked_deletion|primary
