instance_id,family,size,full_status,mandatory_status,original_variables,reduced_variables,variables_removed,variable_reduction_fraction,original_requirements,reduced_requirements,requirements_removed,requirement_reduction_fraction,forced_selections,fixed_point_iterations,full_par2_seconds,mandatory_par2_seconds,log_par2_difference_full_minus_mandatory,full_node_count,mandatory_node_count,node_difference_full_minus_mandatory,log1p_node_difference_full_minus_mandatory,full_record_path,full_record_sha256,mandatory_record_path,mandatory_record_sha256
V2-A-N007-R006-X01,small_exact,N7-R6,SOLVED,SOLVED,7,3,4,0.5714285714285714,6,2,4,0.6666666666666666,2,4,3.546917708,1.868495084,0.6409456361187472,1,1,0,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,3ae1a8a260d2ffbd8b7ea53a45c75967c7ab3eb36a5002b3bbad607f1b133921,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/jump_highs_tagged_cover__mandatory_only.toml,b683b01a128f428054e586bdfe7409fe8f2ee3e110869df41f3930558da1ebe1
V2-A-N007-R006-X02,small_exact,N7-R6,SOLVED,SOLVED,7,4,3,0.42857142857142855,6,3,3,0.5,1,4,4.940415625,1.161979125,1.4473247687237523,1,1,0,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,9762685b07a329a59ae485ffc0ed0cb7352e38f69b24b05429d5eb3af9957dd1,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/jump_highs_tagged_cover__mandatory_only.toml,33459ef89478b351ca6b6e1601f7d1fd8aed0abc4d430d0163845995f0c4355a
V2-A-N007-R006-X03,small_exact,N7-R6,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,7,0,7,1.0,6,0,6,1.0,3,9,2.697584209,1.62560025,0.5064795028950554,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,2e71357983e8943cbe954162b4f9c7608b2f85efdb0a2d4cfa0abf19aca4c07c,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/jump_highs_tagged_cover__mandatory_only.toml,78aa5f4a481182f84f3886a44565b67dd01d92b7d6943c77be3b4b950a4ae4fd
V2-A-N007-R006-X04,small_exact,N7-R6,PROCESS_INTERRUPTED,PROCESS_INTERRUPTED,,,,,,,,,,,600.0,600.0,0.0,,,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X04/jump_highs_tagged_cover__full_fixed_point.toml,199c5683f01151f0eaaaf5a88c11326c9e945acd5eaf826b4d460369d4208e6e,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X04/jump_highs_tagged_cover__mandatory_only.toml,ca024587bd85513c56f24d78772d82d73a810c0e43fd76ba7ccb1f7dac623ff6
V2-A-N007-R010-X01,small_exact,N7-R10,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,7,0,7,1.0,10,0,10,1.0,4,9,3.292080417,2.61713775,0.22943845175420208,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/jump_highs_tagged_cover__full_fixed_point.toml,e85d09e2489e3e3a7fb5ef6e62c729a20f8ad1a9687045ceda169e1be33156fc,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X01/jump_highs_tagged_cover__mandatory_only.toml,eefcf1b2cbc67d2e62435bda9f23ed8f61ff8adbd114560eb229e7fd0d673e51
V2-A-N007-R010-X02,small_exact,N7-R10,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,7,0,7,1.0,10,0,10,1.0,2,8,5.226696416,2.477410333,0.746565624040443,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/jump_highs_tagged_cover__full_fixed_point.toml,4b8c3a73312350a95886979dc6a6df5f2aa06220e949246ef5feea8709e4c444,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X02/jump_highs_tagged_cover__mandatory_only.toml,447044dfe7efcb9dd0e7488f3d6ca1746c0410604819a51b91d3983d8f8210ea
V2-A-N007-R010-X03,small_exact,N7-R10,SOLVED,SOLVED,7,6,1,0.14285714285714285,10,9,1,0.1,1,2,4.137214833,1.591836291,0.9551345659419925,1,1,0,0.0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/jump_highs_tagged_cover__full_fixed_point.toml,6140b4bd791a9f7b564fc7f3e032d2e171afc53b99618609fcbc157da5461849,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X03/jump_highs_tagged_cover__mandatory_only.toml,2936c3418885145a174a3cec676c9bff76643526b13804e43e304f7580c9b3f0
V2-A-N007-R010-X04,small_exact,N7-R10,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,7,0,7,1.0,10,0,10,1.0,3,8,4.641652208,2.177801583,0.7567544623574192,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/jump_highs_tagged_cover__full_fixed_point.toml,a3be6f573727def88a09ca18b3814c1f2ca5e36e5155973963935bb1a84a1d45,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R010-X04/jump_highs_tagged_cover__mandatory_only.toml,0735042bbf8cfb37fbbcfe24c72e4e5e03fcb08d1ad07317fa974e51f2e4fa39
V2-A-N011-R006-X01,small_exact,N11-R6,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,11,0,11,1.0,6,0,6,1.0,4,11,2.519855,1.073622417,0.8531629929519343,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,d6e429dbcaf2eb2797ae7ad87c39dddac6336d75a689469ed9f99714cfa1c672,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X01/jump_highs_tagged_cover__mandatory_only.toml,f13efa07741060b437930ff83886246b80f274875598c02698a561fe3f150839
V2-A-N011-R006-X02,small_exact,N11-R6,SOLVED_BY_EXACT_PREPROCESSING,SOLVED,11,0,11,1.0,6,0,6,1.0,2,12,4.286387083,2.274003917,0.6339020884769053,,0,,,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,f0789e5d883782c33da5ec65a7144bc011fb35b24fa0c3dccb9fb7a48f1a2910,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N011-R006-X02/jump_highs_tagged_cover__mandatory_only.toml,2089854d56f0e6a16c1712fac878b5053e93e0e8be919ac7ecc3bc7f16bcff37
