instance_id,family,size,rule,applications,variables_removed,requirements_removed,record_path,record_sha256
V2-A-N007-R006-X01,small_exact,N7-R6,empty_contribution,2,2,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,3ae1a8a260d2ffbd8b7ea53a45c75967c7ab3eb36a5002b3bbad607f1b133921
V2-A-N007-R006-X01,small_exact,N7-R6,mandatory_strategy_propagation,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,3ae1a8a260d2ffbd8b7ea53a45c75967c7ab3eb36a5002b3bbad607f1b133921
V2-A-N007-R006-X01,small_exact,N7-R6,duplicate_coverage,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,3ae1a8a260d2ffbd8b7ea53a45c75967c7ab3eb36a5002b3bbad607f1b133921
V2-A-N007-R006-X01,small_exact,N7-R6,coverage_dominance,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,3ae1a8a260d2ffbd8b7ea53a45c75967c7ab3eb36a5002b3bbad607f1b133921
V2-A-N007-R006-X01,small_exact,N7-R6,forced_selection_propagation,1,0,4,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,3ae1a8a260d2ffbd8b7ea53a45c75967c7ab3eb36a5002b3bbad607f1b133921
V2-A-N007-R006-X01,small_exact,N7-R6,infeasible_requirement,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,3ae1a8a260d2ffbd8b7ea53a45c75967c7ab3eb36a5002b3bbad607f1b133921
V2-A-N007-R006-X01,small_exact,N7-R6,mandatory_requirement_carrier,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,3ae1a8a260d2ffbd8b7ea53a45c75967c7ab3eb36a5002b3bbad607f1b133921
V2-A-N007-R006-X01,small_exact,N7-R6,mandatory_strategy,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,3ae1a8a260d2ffbd8b7ea53a45c75967c7ab3eb36a5002b3bbad607f1b133921
V2-A-N007-R006-X01,small_exact,N7-R6,redundant_requirement,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X01/jump_highs_tagged_cover__full_fixed_point.toml,3ae1a8a260d2ffbd8b7ea53a45c75967c7ab3eb36a5002b3bbad607f1b133921
V2-A-N007-R006-X02,small_exact,N7-R6,empty_contribution,2,2,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,9762685b07a329a59ae485ffc0ed0cb7352e38f69b24b05429d5eb3af9957dd1
V2-A-N007-R006-X02,small_exact,N7-R6,mandatory_strategy_propagation,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,9762685b07a329a59ae485ffc0ed0cb7352e38f69b24b05429d5eb3af9957dd1
V2-A-N007-R006-X02,small_exact,N7-R6,duplicate_coverage,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,9762685b07a329a59ae485ffc0ed0cb7352e38f69b24b05429d5eb3af9957dd1
V2-A-N007-R006-X02,small_exact,N7-R6,coverage_dominance,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,9762685b07a329a59ae485ffc0ed0cb7352e38f69b24b05429d5eb3af9957dd1
V2-A-N007-R006-X02,small_exact,N7-R6,forced_selection_propagation,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,9762685b07a329a59ae485ffc0ed0cb7352e38f69b24b05429d5eb3af9957dd1
V2-A-N007-R006-X02,small_exact,N7-R6,infeasible_requirement,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,9762685b07a329a59ae485ffc0ed0cb7352e38f69b24b05429d5eb3af9957dd1
V2-A-N007-R006-X02,small_exact,N7-R6,mandatory_requirement_carrier,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,9762685b07a329a59ae485ffc0ed0cb7352e38f69b24b05429d5eb3af9957dd1
V2-A-N007-R006-X02,small_exact,N7-R6,mandatory_strategy,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,9762685b07a329a59ae485ffc0ed0cb7352e38f69b24b05429d5eb3af9957dd1
V2-A-N007-R006-X02,small_exact,N7-R6,redundant_requirement,1,0,3,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X02/jump_highs_tagged_cover__full_fixed_point.toml,9762685b07a329a59ae485ffc0ed0cb7352e38f69b24b05429d5eb3af9957dd1
V2-A-N007-R006-X03,small_exact,N7-R6,empty_contribution,1,1,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,2e71357983e8943cbe954162b4f9c7608b2f85efdb0a2d4cfa0abf19aca4c07c
V2-A-N007-R006-X03,small_exact,N7-R6,mandatory_strategy_propagation,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,2e71357983e8943cbe954162b4f9c7608b2f85efdb0a2d4cfa0abf19aca4c07c
V2-A-N007-R006-X03,small_exact,N7-R6,duplicate_coverage,0,0,0,experiments/algorithmic_compression_v2/results/raw_runs/V2-A-N007-R006-X03/jump_highs_tagged_cover__full_fixed_point.toml,2e71357983e8943cbe954162b4f9c7608b2f85efdb0a2d4cfa0abf19aca4c07c
