instance_id,family,size,replicate_id,generation_status,strategy_count_requested,requirement_count_requested,frontier_rows_requested,module_rows_requested,coverage_density_level,coverage_density_realized,module_overlap_level,module_overlap_realized,bundle_prevalence_level,bundle_prevalence_realized,unique_carrier_frequency_level,unique_carrier_frequency_realized,weight_dispersion_level,frontier_module_correlation_level,frontier_module_association_realized,mechanism,mechanism_parameter,generation_path,instance_path,instance_sha256
V2-A-N007-R006-X01,small_exact,N7-R6,1,GENERATED,7,6,2,4,one_eighth,11//36,low_clustered,1//9,zero,0//1,one_eighth,1//6,low_1_to_3,independent,2//5,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N007-R006-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N007-R006-X01.toml,8986180bc450f71cba610788820dbc8093479dcdcb45e517401789bb3ab44881
V2-A-N007-R006-X02,small_exact,N7-R6,2,GENERATED,7,6,2,4,one_eighth,1//3,high_clustered,1//12,one_eighth,1//6,zero,0//1,high_powers_of_two,independent,7//15,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N007-R006-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N007-R006-X02.toml,a1f5f661041129f0b3ba2f1a88ecb346ad243b91ea3fc5a43f5afbda1e149c25
V2-A-N007-R006-X03,small_exact,N7-R6,3,GENERATED,7,6,2,4,three_eighths,7//18,low_clustered,19//90,zero,0//1,zero,0//1,low_1_to_3,positive_aligned,2//15,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N007-R006-X03.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N007-R006-X03.toml,893658abc8b2cd0fd69331ff27f7eac162c805b3af5fe70c3b0cbdf9bd981c08
V2-A-N007-R006-X04,small_exact,N7-R6,4,GENERATED,7,6,2,4,three_eighths,7//18,high_clustered,5//24,one_eighth,1//6,one_eighth,1//6,high_powers_of_two,positive_aligned,2//15,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N007-R006-X04.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N007-R006-X04.toml,87adaa318fc6970874c610f73540e555b878951610dd115c6f56ec2c491141f7
V2-A-N007-R010-X01,small_exact,N7-R10,1,GENERATED,7,10,4,6,one_eighth,19//60,low_clustered,2//15,zero,0//1,one_eighth,1//10,low_1_to_3,independent,0//1,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N007-R010-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N007-R010-X01.toml,e3128fdf33c46edb7de4901cbaa02798e9e6d9f61c7af93bb7caf8dbdf5d26ea
V2-A-N007-R010-X02,small_exact,N7-R10,2,GENERATED,7,10,4,6,one_eighth,1//3,high_clustered,1//9,one_eighth,1//6,zero,0//1,high_powers_of_two,independent,1//3,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N007-R010-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N007-R010-X02.toml,fe3631b55508eb8c2145f80af159366f532a75cf6d918e19c183a73de3c3c8d3
V2-A-N007-R010-X03,small_exact,N7-R10,3,GENERATED,7,10,4,6,three_eighths,23//60,low_clustered,197//900,zero,0//1,zero,0//1,low_1_to_3,positive_aligned,-4//15,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N007-R010-X03.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N007-R010-X03.toml,cfa6015faf816040cbc8b08d169b699b02db6218f7c0138756f109ec836e1a62
V2-A-N007-R010-X04,small_exact,N7-R10,4,GENERATED,7,10,4,6,three_eighths,23//60,high_clustered,1//9,one_eighth,1//6,one_eighth,1//10,high_powers_of_two,positive_aligned,-1//15,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N007-R010-X04.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N007-R010-X04.toml,3d579d3337267985e352d8f6859478051d66210f3b85da73c3b0c2b207c9ef7b
V2-A-N011-R006-X01,small_exact,N11-R6,1,GENERATED,11,6,2,4,one_eighth,11//60,low_clustered,1//21,zero,0//1,one_eighth,1//6,low_1_to_3,independent,8//45,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N011-R006-X01.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N011-R006-X01.toml,dcb3dab35116edb47d3c5801104e40f46c0aae3fb956ed4058051429150576a8
V2-A-N011-R006-X02,small_exact,N11-R6,2,GENERATED,11,6,2,4,one_eighth,1//5,high_clustered,1//17,one_eighth,1//10,zero,0//1,high_powers_of_two,independent,2//15,none,none,experiments/algorithmic_compression_v2/results/generation/V2-A-N011-R006-X02.toml,experiments/algorithmic_compression_v2/results/instances/V2-A-N011-R006-X02.toml,2a5992189be12696a8dfaf8c4c81bf50ae5ea639ddcb0d10e62f705b819ff7dc
