schedule,source_mask,source_library,source_burden,feasible_masks,optimal_objective,optimal_masks,optimal_libraries,burden_reduction,frontier,closure,productive_low,productive_high,enumerated_count,feasible_count,all_optima_feasible,productive_value_preserved,ties_complete
equal_active,0,I,1//1,0,1//1,0,I,0//1,0//1;0//1,,115//288,23//288,1,1,true,true,true
equal_active,1,I+A,2//1,1,2//1,1,I+A,0//1,0//1;0//1,1,1//1,7//6,2,1,true,true,true
equal_active,2,I+B,2//1,2,2//1,2,I+B,0//1,0//1;0//1,1,1//1,7//6,2,1,true,true,true
equal_active,3,I+A+B,3//1,1;2;3,2//1,1;2,I+A;I+B,1//1,0//1;0//1,1,1//1,7//6,4,3,true,true,true
equal_active,4,I+D,2//1,4,2//1,4,I+D,0//1,2//1;4//1,1,14//3,22//3,2,1,true,true,true
equal_active,5,I+A+D,3//1,4;5,2//1,4,I+D,1//1,2//1;4//1,1,14//3,22//3,4,2,true,true,true
equal_active,6,I+B+D,3//1,4;6,2//1,4,I+D,1//1,2//1;4//1,1,14//3,22//3,4,2,true,true,true
equal_active,7,I+A+B+D,4//1,4;5;6;7,2//1,4,I+D,2//1,2//1;4//1,1,14//3,22//3,8,4,true,true,true
carrier_heavy,0,I,1//1,0,1//1,0,I,0//1,0//1;0//1,,115//288,23//288,1,1,true,true,true
carrier_heavy,1,I+A,3//1,1,3//1,1,I+A,0//1,0//1;0//1,1,1//1,7//6,2,1,true,true,true
carrier_heavy,2,I+B,3//1,2,3//1,2,I+B,0//1,0//1;0//1,1,1//1,7//6,2,1,true,true,true
carrier_heavy,3,I+A+B,5//1,1;2;3,3//1,1;2,I+A;I+B,2//1,0//1;0//1,1,1//1,7//6,4,3,true,true,true
carrier_heavy,4,I+D,2//1,4,2//1,4,I+D,0//1,2//1;4//1,1,14//3,22//3,2,1,true,true,true
carrier_heavy,5,I+A+D,4//1,4;5,2//1,4,I+D,2//1,2//1;4//1,1,14//3,22//3,4,2,true,true,true
carrier_heavy,6,I+B+D,4//1,4;6,2//1,4,I+D,2//1,2//1;4//1,1,14//3,22//3,4,2,true,true,true
carrier_heavy,7,I+A+B+D,6//1,4;5;6;7,2//1,4,I+D,4//1,2//1;4//1,1,14//3,22//3,8,4,true,true,true
descendant_heavy,0,I,1//1,0,1//1,0,I,0//1,0//1;0//1,,115//288,23//288,1,1,true,true,true
descendant_heavy,1,I+A,2//1,1,2//1,1,I+A,0//1,0//1;0//1,1,1//1,7//6,2,1,true,true,true
descendant_heavy,2,I+B,2//1,2,2//1,2,I+B,0//1,0//1;0//1,1,1//1,7//6,2,1,true,true,true
descendant_heavy,3,I+A+B,3//1,1;2;3,2//1,1;2,I+A;I+B,1//1,0//1;0//1,1,1//1,7//6,4,3,true,true,true
descendant_heavy,4,I+D,3//1,4,3//1,4,I+D,0//1,2//1;4//1,1,14//3,22//3,2,1,true,true,true
descendant_heavy,5,I+A+D,4//1,4;5,3//1,4,I+D,1//1,2//1;4//1,1,14//3,22//3,4,2,true,true,true
descendant_heavy,6,I+B+D,4//1,4;6,3//1,4,I+D,1//1,2//1;4//1,1,14//3,22//3,4,2,true,true,true
descendant_heavy,7,I+A+B+D,5//1,4;5;6;7,3//1,4,I+D,2//1,2//1;4//1,1,14//3,22//3,8,4,true,true,true
