capability_id,capability_class,capability_value,component_type,closure_role
atomic::signal::momentum_20::v3,atomic_signal,momentum_20,portfolio_strategy,primary
atomic::signal::momentum_60::v3,atomic_signal,momentum_60,portfolio_strategy,primary
atomic::signal::mean_reversion_5::v3,atomic_signal,mean_reversion_5,portfolio_strategy,primary
atomic::filter::always::v3,atomic_filter,always,portfolio_strategy,primary
atomic::filter::trend_100::v3,atomic_filter,trend_100,portfolio_strategy,primary
atomic::horizon::5::v3,atomic_horizon,5,portfolio_strategy,primary
atomic::horizon::20::v3,atomic_horizon,20,portfolio_strategy,primary
atomic::allocation::equal_weight::v3,atomic_allocation,equal_weight,portfolio_strategy,primary
atomic::allocation::inverse_volatility::v3,atomic_allocation,inverse_volatility,portfolio_strategy,primary
atomic::gross::0_5::v3,atomic_gross,0.5,portfolio_strategy,primary
atomic::gross::1_0::v3,atomic_gross,1.0,portfolio_strategy,primary
atomic::exit::horizon::v3,atomic_exit,horizon,portfolio_strategy,primary
atomic::exit::signal_flip::v3,atomic_exit,signal_flip,portfolio_strategy,primary
interface::signal_filter::momentum_20+always::v3,interface_signal_filter,momentum_20+always,portfolio_strategy,primary
interface::signal_filter::momentum_20+trend_100::v3,interface_signal_filter,momentum_20+trend_100,portfolio_strategy,primary
interface::signal_filter::momentum_60+always::v3,interface_signal_filter,momentum_60+always,portfolio_strategy,primary
interface::signal_filter::momentum_60+trend_100::v3,interface_signal_filter,momentum_60+trend_100,portfolio_strategy,primary
interface::signal_filter::mean_reversion_5+always::v3,interface_signal_filter,mean_reversion_5+always,portfolio_strategy,primary
interface::signal_filter::mean_reversion_5+trend_100::v3,interface_signal_filter,mean_reversion_5+trend_100,portfolio_strategy,primary
interface::horizon_exit::5+horizon::v3,interface_horizon_exit,5+horizon,portfolio_strategy,primary
interface::horizon_exit::5+signal_flip::v3,interface_horizon_exit,5+signal_flip,portfolio_strategy,primary
interface::horizon_exit::20+horizon::v3,interface_horizon_exit,20+horizon,portfolio_strategy,primary
interface::horizon_exit::20+signal_flip::v3,interface_horizon_exit,20+signal_flip,portfolio_strategy,primary
interface::allocation_gross::equal_weight+0_5::v3,interface_allocation_gross,equal_weight+0.5,portfolio_strategy,primary
interface::allocation_gross::equal_weight+1_0::v3,interface_allocation_gross,equal_weight+1.0,portfolio_strategy,primary
interface::allocation_gross::inverse_volatility+0_5::v3,interface_allocation_gross,inverse_volatility+0.5,portfolio_strategy,primary
interface::allocation_gross::inverse_volatility+1_0::v3,interface_allocation_gross,inverse_volatility+1.0,portfolio_strategy,primary
platform::point_in_time_common_equity_data::v3,platform_data,point_in_time_common_equity_data,platform_artifact,mandatory_by_universe
platform::point_in_time_plain_etf_data::v3,platform_data,point_in_time_plain_etf_data,platform_artifact,mandatory_by_universe
platform::corporate_action_and_delisting::v3,platform_data,corporate_action_and_delisting,platform_artifact,mandatory
platform::portfolio_aggregation::v3,platform_portfolio,portfolio_aggregation,platform_artifact,mandatory
platform::cost_and_capacity_model::v3,platform_execution,cost_and_capacity_model,platform_artifact,mandatory
